No,GND No.,Name and location of the spring,Location N,Location E,Observed problems,Description,Amount
1,511 D,Senamale Spring (2.5 acres),7.073963,80.774569,There is no fence to protect the spring,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence
Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching
Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)","332,600"
2,510,Hapugahatenna Spring,7.086514,80.792216,The spring is located in a private land,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","38,400"
3,511 B,Pathanakade Spring ,7.083226,80.786813,The spring is located in a private land,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","11,750"
4,511 B,Galawatte Linda,7.081004,80.785231,"•Seepage losses occurred at side walls of the well
•The Boundaries are not demarcated","Construction of 1:3:6 (1 1/2"") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)
Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence
Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching","345,200"
5,511 B,Enasal Watta Well,7.081686,80.784547,-,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching
Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5m","588,400"
6,511 C,Diyamulla Spring,7.082521,80.779034,"•No reservation area
•Seepage losses in the side walls of the well","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching
1:3:6(1 1/2"") Cement concrete, hand mixing and placing
Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh","61,000"
7,511 C,Galkotuwa Spring,7.082521,80.779034,"•Reservation area is not allocated
•Water can now be stored","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","561,700"
8,510 A,Ambalam Kumbare Spring,7.093912,80.797935,"Reservation area is not allocated
•Unavailability of water tank
•People personally fit the pipes and take water from the spring to their houses","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings at 1.5m spacing in two rows, Beetle creeper VP at 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance
Vegetative cover improving with Areca nut seedling at 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching
Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5
Providing PVC pipes, pipe joints, etc. to convey water from tank exists at higher elevation","625,400"
9,510 A,Kolawatte Kumbure Spring,7.096052,80.798941,"•The quality of water is reduced
•Water is wasted
•The road that allocate for the well is dilapidated","Water Quality Tests 
1:3:6(1 1/2"") Cement concrete, hand mixing and placing
Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4"") concrete, 1/2"" dowels at 600mm x 600mm intervals and embedded with chicken mesh
Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5
Providing PVC pipes, pipe joints, etc. to convey water from tank exists at higher elevation","642,800"
10,510 A,Ulpath Linda in Padiyapelella Maha Vidyalaya,7.097632,80.798422,Dilapidated due to the out of use ,"Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5
Providing PVC pipes, pipe joints, etc. to convey water from tank exists at higher elevation","565,000"
