Location,Nawalapitiya,,Water Source,,Mahaweli River,,Station ID,MR5
,,,,,,,,
Date,3/1/2020,3/1/2021,1/1/2023,4/1/2023,6/1/2023,7/1/2023,1/1/2024,3/1/2024
BOD,6,2,1,2,1,<1,1,1
Chlorine,4,7,7,7,6,5,3,7
COD,6,4,6,8,12,8,2,12
Dissolved O2,7.8,5.6,6.5,7.4,7.8,7.6,7.7,5.9
Electrical Conductivity,0.07,0.06,0.07,0.07,0.04,0.04,0.05,0.05
Hardness,40,28,24,28,12,20,20,32
Nitrate (mg/l),<0.01,,0.09,1.04,0.28,0.05,0.71,0.49
pH,7.7,7.4,7.6,8,7.6,7.7,7.3,6
Phosphate,<0.01,,0.19,0.13,0.21,0.31,0.15,0.28
Temperature (Celsius),26.8,23.2,23.8,26.4,24.1,24,25.2,27
Turbidity (NTU),54,34,95,97,142,156,17,48
