Location,Ginigathhena,,Water Source,,Mahaweli River,,Station ID,MR6
,,,,,,,,
Date,3/1/2020,3/1/2021,1/1/2023,4/1/2023,6/1/2023,7/1/2023,1/1/2024,3/1/2024
BOD,7,3,<1,2,1,<1,1,1
Chlorine,4,9,6,7,6,6,4,6
COD,7,4,2,15,10,6,4,8
Dissolved O2,7.3,6.9,7.1,6.7,7.9,7.9,8.5,7.3
Electrical Conductivity,0.08,0.07,0.08,0.07,0.05,0.05,0.06,0.07
Hardness,2,32,36,24,16,28,28,36
Nitrate (mg/l),0.06,,0.1,1.33,0.84,0.33,0.45,0.67
pH,7.7,7.5,8,8.2,7.6,7.5,7,6.1
Phosphate,<0.01,,0.22,0.52,0.24,0.41,0.16,0.21
Temperature (Celsius),25.4,23.9,22.4,25.1,23.5,23,24.6,26.3
Turbidity (NTU),215,50,84,235,159,176,18,38
