Location,Watawala,,Water Source,,Mahaweli River,,Station ID,MR7
,,,,,,,,
Date,3/1/2020,3/1/2021,1/1/2023,4/1/2023,6/1/2023,7/1/2023,1/1/2024,3/1/2024
BOD,3,2,<1,2,1,1,1,2
Chlorine,5,10,6,8,7,7,4,9
COD,3,7,8,8,6,4,6,12
Dissolved O2,8.2,6.4,6.1,7,7.5,7.3,8.1,7.5
Electrical Conductivity,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.07
Hardness,2,36,24,28,20,16,24,32
Nitrate (mg/l),<0.01,,0.1,1.11,0.6,0.6,0.8,0.61
pH,7.1,7.1,8.2,8.2,7.6,7.4,6.9,6.2
Phosphate,<0.01,,0.31,0.18,0.57,0.52,0.16,0.19
Temperature (Celsius),24.3,23.7,21.6,24.4,22.9,22.2,23.5,25.3
Turbidity (NTU),145,42,74,95,116,163,9,42
