ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year
1,MWS-008_2,Proposal,Proposal-Soil and Water Conservation,Soil and Water Conservation,Key activities proposed for soil and water conservation in MWS-008-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_1.geojson,2024
2,MWS-008_2,Proposal,Proposal-Soil and Water Conservation,Landslides,Details of Reported landslides in MWS-008-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_2.geojson,2024
3,MWS-008_2,Proposal,Proposal-Minor tanks restoration,Minor tanks restoration,Details of minor tank available in MWS-008-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_3.geojson,2024
14,MWS-008_2,Proposal,Proposal-Water resource management,Domestic water supply,Estimate of domestic water supply-related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_14.geojson,2024
15,MWS-008_2,Proposal,Proposal-Water quality improvement,Water source protection,Estimate of water source protection-related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_15.geojson,2024
16,MWS-008_2,Proposal,Proposal-Stream reservation,Minor irrigation,Cost estimate of minor irrigation related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_16.geojson,2024
20,MWS-008_2,Proposal,Proposal-Water quality improvement,Minor irrigation,Details related to water pollution in MWS 008-2 belongs to Deltota DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_20.geojson,2024
22,MWS-008_2,Proposal,Proposal-Stream reservation,Stream reservation,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_008_2/Table_6_22.geojson,2024
25,MWS-008_2,Report,Report,Watershed managment plan,,IWMI,Derive,No,Text,,,,2024
26,MWS-008_2,Map,Map,Atlas,,IWMI,Derive,No,Image,,,,2024
27,MWS-008_2,Photo,Photo,Photo,,IWMI,Derive,Yes,Photo,,,,2024
28,MWS-008_2,Detail,Location,Building,,SD,Raw,Yes,Vector,,,,
29,MWS-008_2,Detail,Water features,Water features-point,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pt/HY_Hydro_Pt_MWS_008_2.geojson,
30,MWS-008_2,Detail,Water features,Water features-line,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Li/HY_Hydro_Li_MWS_008_2.geojson,
31,MWS-008_2,Detail,Water features,Water features-polygon,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/Hydro_Pg/HY_Hydro_Pg_MWS_008_2.geojson,
32,MWS-008_2,Detail,Trasport,Raod,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/08_TRP/TR_Transport/TR_Transport_Pt_MWS_008_2.geojson,
33,MWS-008_2,Detail,Location ,Places,,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/09_PLC/CA_Toponym/CA_Toponym_Pt_MWS_008_2.geojson,
22,MWS-008_2,Proposal,Proposal-Product and entrepreneurships developments,Pecoe Trail,,,,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/PekoeTrail_Li.geojson,2024
22,MWS-008_2,Proposal,Proposal-Product and entrepreneurships developments,Tourist attract places,,,,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/Tourism_Places.geojson,2024
22,MWS-008_2,Proposal,Proposal-Product and entrepreneurships developments,Economic hubs,,,,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/UMW/Economic_Hubs.geojson,2024
