"Table 5.16: Total Cost Estimate for Stream Reservation Proposals","","","","",""
"GND.No.","Scheme","Problem.to.be.addressed...Recommendation","N","E","Estimated.Cost"
"978","Muthusenawaththa Culvert","Soil erosion of lands on both sides. Recommend to constructs a leader drain 1mx1mx100m long with a cascaded drop.","7.19529","80.66995","286000"
"978","Galaha Oya","Soil erosion of lands on both sides of very long distance over 10km. Recommend 1.Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval. 
2. Apply mulching, organic manure and NPK fertilizer. 
3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 5000 m2.","7.20239","80.66243","3471000"
"977","Diyanilla Kandura","Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper creepers for a distance of 50m.","7.21146","80.67653","61100"
"977","Palugama Kandura","Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 400m.","7.20713","80.67586","244400"
"977","Bellwood Janapada Waththa Kandura","Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper creepers for a distance of 300m.","7.20605","80.67608","183300"
"977","Bellwood Janapada Waththa Kandura 2","Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper /betel creepers for a distance of 400m.","7.20933","80.68338","244400"
"977","Bellwood Janapada Waththa Kandura 1","Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 500m.","7.20622","80.68576","305500"
"980","Podi Oya","High soil erosion of lands on both sides during rainy days. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers mixed with riparian plants for a distance of 600m.","7.20319","80.66975","366600"
"981","Torrent near Mrs. Samantha's house","Soil erosion of lands on both sides. Recommend 1. Construct 1mx1mx 50m long leader drain with drops. 2.Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 100m mixed with riparian plants.","7.20118","80.66105","191100"
"981","Torrent near Malberiya","Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 100m mixed with riparian plants.","7.20296","80.65843","61100"
"981","Maldeniya Kandura, Dunali road","Soil erosion of lands on both sides. Recommend 1. Construct 1mx1mx 100m long leader drain with drops. 2.Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 100m.","7.20726","80.65554","321100"
"981","Kithulmulla stream","Soil erosion of lands on both sides is about 3km. Recommend 1. to construct (SABO) boulder rubble dams six numbers or more across the stream (Size 3m x 2mx 1m) with gabion boxes. 2. To plant two rows of areca nut seedlings, Gliricidia, and pepper/ betel creepers for a distance of 1600m mixed with riparian plants.","7.21857","80.64946","1190800"
"981","Galaha Oya","Bank erosion on lands on both sides is about 750m. Recommend dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval. 2. Apply mulching, organic manure and NPK fertilizer. 3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 1500 m2.","7.20239","80.66243","1041300"
"979","Little Weliya Janapada Kandura 1","Soil erosion of lands on both sides and canal bed due to high slope. Recommend 1mx 1m x 200m length of leader drains.","7.17650","80.68487","520000"
"979","Heidiwaththa Kandura","Soil erosion of lands on both sides and discarding domestic waste by nearby settlements. Recommend 1. To conduct public awareness and organize a waste management program. 2. To provide hybrid coconut and graft fruit seedlings at concessionary rates for dwellers to grow along the stream edges.","7.17931","80.68466","91000"
"979","Torrent from Araliyagama spring","Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 200m.","7.18023","80.69114","122200"
"976","Torrent near Uda Deltota","Soil erosion of lands on both sides. Recommend 1. Construct 1mx1mx 50m long leader drain with drops. 2.Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 100m mixed with riparian plants.","7.20211","80.67303","191100"
"976","Gallanthenna Oya","Bank erosion on both sides about 1200m. 1. to construct (SABO) boulder rubble dams two numbers across the stream (Size 3m x 2mx 1m) with gabion boxes. 2. To plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 600m mixed with riparian plants.","7.19417","80.68571","600600"
"976","Torrent near the Galaha Hospital","Soil erosion of lands on both sides. Recommend 1. Construct 1mx1mx 100m long leader drain with two or drops. 2.Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 200m.","7.19351","80.67614","382200"
"976","Kumarakanda Kandura","Bank erosion on both sides. Plant Vetiver grass on both sides about 50m.","7.19132","80.67665","5200"
"976","Nutson Kotasa Kandura","Bank erosion on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 100m.","7.19567","80.67803","61100"
"976","Torrent 1 from Gallanthenna Janapadaya","Bank erosion on both sides. Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 300m and grow riparian plants ","7.19580","80.68187","183300"
"976","Galpihilla Kandura","Soil erosion of lands on both sides. Recommend 1. Construct 1mx1mx 150m long leader drain with two or drops. 2.Plant two rows of areca nut seedlings, Gliricidia and pepper/ betel creepers for a distance of 200m.","7.19450","80.68562","451100"
