"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-001 belongs to Deltota DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N or X","E or Y",,,,,,
"1","976","Udadelthota","1. Soil conservation practices - Pahalagama (25 - 60°)","1","7.198624","80.671372","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,,"2","7.201434","80.670341","4 ha","Lock and spills and stone terracing, as applied","400 m-1","1,600,000","Labour and other basic services by the Local community","0.25 Years"
,,,,"1","7.200358","80.66895","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,,"5","7.200322","80.699167","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Osalla Peak (70°)","1","7.202309","80.673086","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Udadelthota Waththa (65°)","1","7.198199","80.677015","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Delthota Waththa (30 - 50°) and Maintaining aforest cover or Planting perenial crops such as pepper, coffee etc. - 125 ha","1","7.195892","80.681325","250 ha","Live fencing/SALT - 50 ha","250 m-1","12,500,000","Labour and other basic services by the Local community","1 Year"
,,,,,,,,"Lock and spills - 50 ha","400 m-1","20,000,000","Labour and other basic services by the Local community","1 Year"
,,,,,,,,"Stone terracing - 15 ha","2,500 m-1","37,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Kumarawaththa (35°)","1","7.191418","80.67654","18 ha","Lock and spills and stone terracing, as applied - 10 ha","400 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,,,,,,"Live fencing/SALT and stone terracing, as applied - 8 ha","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices - Udakala Gammanaya (30°)","1","7.184915","80.679452","16 ha","Lock and spills and stone terracing, as applied - 10 ha","400 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,,,,,,"Live fencing/SALT and stone terracing, as applied- 6 ha","250 m-1","1,500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","89,100,000",,,,,,,,,,,
