"Table 5.23: Proposed interventions MWS-001 of the Deltota Divisional Secretariat","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate..LKR.","Amount..LKR.","Duration"
"Distribute woody & fruit Plants to the families around the forest ","Around Kirimetiya, Gallanthenna, Bopitiya (Part 1, 2 and 3), 
Galaha (Part 1 and 2) and Delthota Pinus Plantations","Purchasing fruit plants (9\"x6\")","300","Seedlings","300","90,000","2025"
"","","Production of Seedlings (9\"x6\")       
(Forest plants)","900","Seedlings","50","45,000",""
"","","Loading                                             
(01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",""
"","","unloading                          (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",""
"","","Transportation and distribution (2000 Seedlings/
Lorry load)","1","Lorry load","7,500","7,500",""
"",""," ","","","Sub Total","147,500",""
"","","Contingency (10%)","","","","14,750",""
"",""," ","","","Total","162,250",""
"Conduct Awareness Programs
","Around Kirimetiya, Gallanthenna, Bopitiya (Part 1, 2 and 3), 
Galaha (Part 1 and 2) and Delthota Pinus Plantations","Refreshments","250","Packs","400","100,000","2025"
"","","Fuel                                                  (Rs3,750/programs) - Two visits 
(for organizing and conducting program)","10","Lump sum","3,750","37,500",""
"","","Stationaries (file covers/ Handouts)","5","Lump sum","2,500","12,500",""
"",""," "," "," ","Sub total","150,000",""
"","","Contingency (10%)"," "," "," ","15,000",""
"",""," "," "," ","Total ","165,000",""
"Erect display boards","Around Kirimetiya, Gallanthenna, Bopitiya (Part 1, 2 and 3), 
Galaha (Part 1 and 2) and Delthota Pinus Plantations","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","6","Boards","24,250","145,500","2025"
"","","Transportation of boards","6","Truck load","5,000","30,000",""
"","","Metal, Sand and Cement mixture for erection of board","6","Lump sum","750","4,500",""
"","","Fixing Boards 
(2 Man days/Board)","12","Man days","2,500","30,000",""
"",""," "," "," ","Sub Total","210,000",""
"","","Contingency (10%)"," "," "," ","21,000",""
"",""," "," "," ","Total","231,000",""
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement) (1.5 km)","Kirimetiya Pinus Plantation","Seedling Production (12\"x8\")","900","Seedlings","100","90,000","2025
"
"","","Transportation of seedlings to the site, (300 Seedlings / Lorry load)","3","Lorry loads","7,500","22,500",""
"","","loading and unloading (300 plants/ Man day)","3","Man days","2,500","7,500",""
"","","Seedling transportation within the field (1000/6 Man days)","6","Man days","2,500","15,000",""
"","","Clearing the land, holing and planting (1000 plants/15 Man days)","23","Man days","2,500","56,250",""
"","","Protective net /plant (repurposed fishnet)","900","Net","60","54,000",""
"","","Vacancy Planting -Seedling cost (20%) - Plant cost includes transportation, loading, unloading, transportation within the site","180","Seedlings","150","27,000","2026"
"","","Vacancy Planting - Holing & Planting (7 Man days)","11","Nan days","2,500","26,250",""
"","","1st year 3 maintenance,","90","Man days","2,500","225,000",""
"","","Repairing protective net ","200","Net","60","12,000",""
"",""," "," "," ","Sub Total","523,500",""
"","","Contingency (10%)"," "," "," ","52,350",""
"",""," "," "," ","Total","575,850",""
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement) (5 Km)
","Gallanthenna Pinus Plantation ","Seedling Production (12\"x8\")","3,000","Seedlings","100","300,000","2025
"
"","","Transportation of seedlings to the site, (300 Seedlings / Lorry load)","10","Lorry loads","7,500","75,000",""
"","","loading and unloading (300 plants/ Man day)","10","Man days","2,500","25,000",""
"","","Seedling transportation within the field (1000/6 Man days)","19","Man days","2,500","47,500",""
"","","Clearing the land, holing and planting (1000 plants/15 Man days)","75","Man days","2,500","187,500",""
"","","Protective net /plant (repurposed fishnet)","3,000","Net","60","180,000",""
"","","Vacancy Planting -Seedling cost (20%) - Plant cost includes transportation, loading, unloading, transportation within the site","600","Seedlings","150","90,000","2026"
"","","Vacancy Planting - Holing & Planting (7 Man days)","35","Nan days","2,500","87,500",""
"","","1st year 3 maintenance,","300","Man days","2,500","750,000",""
"","","Repairing protective net ","200","Net","60","12,000",""
"",""," "," "," ","Sub Total","1,742,500",""
"","","Contingency (10%)"," "," "," ","174,250",""
"",""," "," "," ","Total","1,916,750",""
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement) -  (3 Km)","Bopitiya (Part 1, 2 and 3) Pinus Plantation 46","Seedling Production (12\"x8\")","1,800","Seedlings","100","180,000","2025
"
"","","Transportation of seedlings to the site,(300 Seedlings / Lorry load)","6","Lorry loads","7,500","45,000",""
"","","loading and unloading (300 plants/ Man day)","6","Man days","2,500","15,000",""
"","","Seedling transportation within the field (1000/6 Man days)","11","Man days","2,500","27,500",""
"","","Clearing the land, holing and planting (1000 plants/15 Man days)","45","Man days","2,500","112,500",""
"","","Protective net /plant (repurposed fishnet)","1,800","Net","60","108,000",""
