"Table 5.26: Five year plan MWS-001","","","","","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"2024","2025","2026","2027","2028",,,,,
,,"RP","DP","RP","DP","RP","DP","RP","DP","RP","DP"
"978","Galaha","1","2","-","1",".5","1","-","1","-","-"
"977","Palugama","1","1","1","-","-","-","-","-","-","-"
"980","Perawatta East","-","1","1","1","1","1","-","-","-","1"
"981","Perawatta West","-","1","-","1","1","1","-","-","1","-"
"979","Suduwella","2","1","1","1","1","1",".5","1","-","1"
"976","Uda Deltota","1","1","1","1","-","1","-","-","-","-"
,"Total","5","7","4","5","3.5","5",".5","2","1","2"
