"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-001 belongs to Deltota DS Division","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Total.Cost..LKR..","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","N or X","E or Y","","","","",""
"1","976","Udadelthota","1. Renovation of natural drains - Galaha oya","1","7.202572","80.669722","4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","400,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ",""," ","1","7.202427","80.671835","4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","400,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","2. Renovation of natural drains - Palugama oya","1","7.201328","80.67214","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","3. Renovation of natural drains - Kandura from Galaha town 1","1","7.197467","80.67455","750 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","75,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","4. Renovation of natural drains - Kandura from Galaha town 2","4","7.198085","80.671542","600  m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","5. Renovation of natural drains - Kandura near Udadelthota","4","7.2021111","80.673026","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","6. Renovation of natural drains - Galahathenna Oya","4","7.194172","80.685711","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","250,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","7. Renovation of natural drains - Kandura near Galahathenna Hospital","1","7.193506","80.676144","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","8. Renovation of natural drains - Kumarakanda Kandura","2","7.191318","80.676649","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
