"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-002-1","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Uniti.Cost..LKR..","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","N or X","E or Y","","","","","",""
"1","1034","Wetakepotha","1. Soil conservation practices - near Wetakepotha Mosque (45°) ","2","7.174512","80.717534","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","2. Soil conservation practices - near Wetakepotha Mosque (45°) ","1","7.17517","80.718408","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","3. Soil conservation practices - near Deltota Mafawla Ulama Arab School (80°) ","4","7.173139","80.718945","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","4. Soil conservation practices - near Deltota Arab School (60°) ","4","7.172956","80.71791","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," ","5. Soil conservation practices - near Deltota Arab School Madadeniya (45°) ","1","7.172227","80.717838","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,750,000",""," ",,,,,,,,,
"2","1037","Medakekila","1. Soil conservation practices - Medakekila (70°) ","3","7.174624","80.706709","0.1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","25,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","2. Soil conservation practices - Medakekila (75°) ","1","7.173663","80.70769","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
" "," ","","3. Soil conservation practices - Medakekila (60°) ","2","7.173707","80.709117","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","837,500"," "," ",,,,,,,,,
"3","1039","Pattiyagama Udagama","1. Soil conservation practices - Niththawela (60°) ","5","7.15871","80.720126","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1 Year"
" "," ","","2. Soil conservation practices - Pattiyagama (65°) ","5","7.159058","80.715036","","","","","",""
" "," "," ","3. Soil conservation practices - Pattiyagama Udagama (70°) ","5","7.157552","80.71677","","","","","",""
"Sub Total","5,000,000"," "," ",,,,,,,,,
"4","1040","Gonangoda","1. Soil conservation practices - Old Hospital Junction (50°) ","5","7.15423","80.706158","18 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,500,000","Labour and other basic services by the Local community","0.5 Years"
" "," "," ","2. Soil conservation practices - Old Hospital (60°) ","3","7.15573","80.707702","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," ","3. Soil conservation practices - Sisila Hospital (75°) ","3","7.156615","80.70685","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," ","4. Soil conservation practices - Vishakarama Buddhist Center (80°) ","5","7.156902","80.703267","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," ","2. Building a drain","1","7.155333","80.708605","300 m x 1 m x 1 m","Drain","3,000 m-3","900,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","7,025,000"," "," ",,,,,,,,,
"5","1041","Karagaskada North","1. Soil conservation practices - Great Valley (Upper) (60°) ","3","7.180257","80.697949","60 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","15,000,000","Labour and other basic services by the Local community","2 Years"
