"Table 5.21: Total Cost Estimate for Stream Reservation Proposals","","","","",""
"GND.No.","Scheme","Problem.to.be.addressed...Recommendation","N","E","Estimated.Cost"
"1040","Torrent of Thenne Ela ","Soil erosion of lands on both sides. Recommend planting two rows of areca nut seedlings, Gliricidia, and pepper/ Betel creepers for a distance of 200m mixed with riparian plants.","7.15596","80.707358","61100"
"1040","Kalugala Oya","Soil erosion of lands on both sides is about 750 m in length. Recommend 1. Construct (3mx2mx1m) three SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara / Kaduru / Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 600 m2 ","7.157017","80.706613","767520"
"1040","Torrent near the temple","Soil erosion of lands on both sides is about 700m in length. Recommend 1. Construct (2mx2mx1m) two SABO-boulder dams across the stream where the canal is steep. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2 ","7.156739","80.703891","364000"
"1040","Torrent neat Mr. Premasiri’ s House","Soil erosion of lands on both sides due to steepness. Recommend 1. to construct a few leaders drain drop structures of a total of 100m in length. 2. Grow areca nut trees and Betel or pepper creepers along the canal embankment for 300m length.","7.156637","80.70406","351650"
"1043","Greatweliya torrent 2","Soil erosion of lands on both sides is about 100 m in length. Recommend 1. Construct (3mx2mx1m) one SABO-boulder dam across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2 ","7.194288","80.705246","221000"
"1043","Greatweliya torrent 1","Soil erosion of lands on both sides is about 750 m in length. Recommend 1. Construct (3mx2mx1m) two SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara / Kaduru / Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2 ","7.194818","80.703922","303550"
"1043","Greatweliya torrent 3","Soil erosion of lands on both sides is about 800 m in length. Recommend 1. Construct (2mx2mx1m) two SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 400 m2 ","7.180065","80.202067","294840"
"1043","Greatweliya Ela 1","Soil erosion of lands on both sides is about 500 m in length. Recommend 1. Construct (2mx2mx1m) three SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 600 m2 ","7.180335","80.703264","442260"
"1043","Ounchi Waththa Dola","Soil erosion of lands on both sides is about 700 m in length. Recommend 1. Construct (3mx2mx1m) three SABO-boulder dams across the stream. 
2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2 ","7.194051","80.709311","524550"
"1046","Kandegama torrent 1","Soil erosion of lands on both sides is about 600 m in length. Recommend 1. Construct (2mx2mx1m) three SABO-boulder dams across the stream. 
2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2 ","7.166503","80.714932","225420"
"1046","Kandegama torrent 1","Soil erosion on both sides of the land during rainy days poses a risk to nearby households. Soil erosion of lands on both sides during rainy days. This situation is a risk to nearby households. Recommend 
1. to make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure, and NPK fertilizer. Covered area 400 m2 ","7.167883","80.714605","138840"
"1041","Torrent near the Karagaskada school","Soil erosion of lands on both sides. Recommend 1. to construct three or four leader drain drop structures 2. Plant two rows of areca nut seedlings, Gliricidia and Pepper/ Betel creepers for a distance of 100m mixed with riparian plants.3. Make dense planting of mixed vegetation comprising Fruit trees /Kumbuk/Mee/ Godapara / Kaduru /Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2 ","`","80.698999","204100"
"1041","Karagaskada Janapadaya torrent","Soil erosion of lands on both sides. Recommend 1. to construct three or four leader drain drop structures 2. plant two rows of areca nut seedlings, Gliricidia, and Pepper/ Betel creepers for a distance of 100m mixed with riparian plants.
3.Make dense planting of mixed vegetation comprising Fruit trees / Kumbuk /Mee / Godapara / Kaduru / Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2 ","7.1767067.177355","80.69905980.698206","122200"
"1042","Riverside torrent","Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings / Betel creepers for a distance of 200m mixed with riparian plants.","7.170504","80.703951","61100"
"1042","Lileweli Kandura","Soil erosion of lands on both sides. Recommend planting two rows of areca nut seedlings, Gliricidia, and pepper/ Betel creepers for a distance of 300m and mixed with riparian plants.","7.174968","80.70178","91650"
"1042","Torrent at the boundary of Karagaskada South and Karagaskada North","Soil erosion of lands on both sides and discarding wastes to the torrent. Recommend 1. To plant two rows of areca nut seedlings, Gliricidia and pepper/ Betel creepers for a distance of 250m mixed with riparian plants and vetiver grass at edges. 2. To construct a garbage trap with a 600mm Dia concrete pipe culvert structure with a 2m x1m x 1m Gabian box as a debris collector.","7.174663","80.699966","147875"
"1037","Torrent of Arakewela Janapadaya","Soil erosion of lands on both sides. Recommend planting two rows of areca nut seedlings, Gliricidia, and pepper/ Betel creepers for a distance of 300m mixed with riparian plants and vetiver grass.","7.179818","80.708588","91650"
"1037","Miniranwala Oya","Soil erosion of lands on both sides 1000 m length. Recommend 1. Construct (2mx2mx1m) five SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut / Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 800 m2 ","7.17545","80.705897","677040"
" "," ","Soil erosion of lands on both sides 1000 m length. Recommend 1. Construct (2mx2mx1m) five SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 300 m2 "," "," ","494130"
"1045","Deekirilla Madiththa","Soil erosion of lands on both sides 1000 m length. Recommend 1. Construct (2mx2mx1m) five SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 1200 m2 ","7.153818","80.720265","806520"
