"Table 5.32: Five-year plan MWS-002-1","","","","","","","","","","",""
"X","GN.Division","Extent..ha.","NA.","NA.","NA.","NA.","NA.","NA.","NA.","NA.","NA."
"","","2024","2025","2026","2027","2028",,,,,
"","","RP","DP","RP","DP","RP","DP","RP","DP","RP","DP"
"1040","Gonangoda","1",".5","2","1","2","1","1","2","-","2"
"1043","Greatweliya","1","3","1","1","1","1","1","1","-","1"
"1046","Kandegama","2","2","1","1","1","1","-","1","1","1"
"1041","Karagaskada North ","-","1","1","1","-","1","-","-","-","1"
"1042","Karagaskada South","-","1","-","1","-","1","-","-","-","-"
"1037","Medakekila","-","1","1","-","-","-","1","-","1","-"
"1045","Pattiyagama Gabadagama North","1","1","-","1","1","1","-","-","1","1"
"1044","Pattiyagama Gabadagama South","1","2","1","1","-","-","-","1","-","-"
"1039","Pattiyagama Udagama","1","1","1","1","-","-","-","-","-","1"
"1047","Wadiyagoda","1","1","-","1","-","-","-","1","-","1"
"1034","Wetakepotha","1","1","-","1","-","-","-","-","-","-"
"","Total","9","14.5","8","10","5","6","3","6","3","8"
