"Table 5.17: Some characteristic species recorded in MWS-002-2","","",""
"Family","Species","Endemicity","Status"
"Asteraceae","Anaphalis zeylanica","E","NT"
"Berberidaceae","Berberis ceylanica","E","VU"
"Orobanchaceae","Christisonia tricolor","E","EN"
"Lauraceae","Cinnamomum capparu-coronde","E","VU"
"Poaceae","Davidsea attenuata","EG","VU"
"Loranthaceae","Dendrophthoe suborbicularis","E","EN"
"Droseraceae","Drosera lunata","N","EN"
"Gentianaceae","Exacum walkeri","E","EN"
"Balsaminaceae","Impatiens macrophylla","E","VU"
"Melastomataceae","Kendrickia walkeri","N","VU"
"Melastomataceae","Osbeckia lanata","E","EN"
"Orchidaceae","Peristylus gardneri","E","EN"
"Myrtaceae","Rhodomyrtus tomentosa var. parviflora","NE","NT"
"Ericaceae","Rhododendron arboreum subsp. zeylanicum","ESS","VU"
"Orchidaceae","Seidenfadeniella filiformis","NE","EN"
"Orchidaceae","Phaius wallichii","NE","EN"
