"Table 5.25: Proposed interventions MWS-002-2","","","","",""
"Activity","Location","Number and Units","Unit Cost  LKR","Cost  LKR","Duration"
"Conduct awareness programmes","Gannewa-Udagama, 
Lulkandura,","4","35,000","140,000","2024 and 2025"
"Establish forest protection action groups","Gannewa-Udagama, 
Lulkandura,","2","35,000","70,000","2025"
"Maintain forest boundaries 
(2.3 Km)","Warakalawita forest","95 Boundary Posts","900","85,500","2026"
"Maintain forest boundaries 
(9.46 Km)","Piduruthalagala conservation forest,","378 Boundary posts","900","340,200","2026"
"Erect display boards","Gannewa-Udagama, 
Lulkandura,","4 Boards","38,500","154,000","2025"
"Distribute energy efficient stows","Gannewa-Udagama, 
Lulkandura,","100 Units","1,100","110,000","2025"
"Conversion of Pinus in to broadleaved species & maintenance (4 years)","1- 1 block,Hanguranketha beat","12","553,940","6,647,280","2026-2030"
"Maintenance of converted plantations & Maintenance (4 years)","1-5 sub block, Hanguranketha beat","11.5","554,760","6,379,740","2027- 2031"
"Establish live fence with Hana & maintenance","Warakalawita","2.27 km","386,000","876,220","2025 - 2026"
"Total",,,,"14,802,940",
