Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programmes,"Gannewa-Udagama, 
Loolkandura,",4,"7,500","30,000",2024 and 2025
Establish forest protection action groups (With fire protection items),"Gannewa-Udagama, Loolkandura, ",2,"30,000","60,000",2025
Maintain forest boundaries,Warakalawita forest,2.3 Km /95 Boundary Posts, 195/ Boundary post,"37,050",2025 and 2028
Maintain forest boundaries,"Piduruthalagala conservation forest, ",9.46 Km / 378 Boundary posts, 220/ Boundary post,"166,320",2025 and 2028
Erect display boards,"Gannewa-Udagama,  Loolkandura,",4 Boards,"20,000","80,000",2025
Distribute energy efficient stows,"Gannewa-Udagama, Loolkandura,",100 Units,500,"50,000",12025
Conversion of Pinus in to broadleaved species,"1- 1 block, Hanguranketha beat ",12,"150,000","1,800,000",2026
Maintenance of converted plantations,"1-5 sub block, Hanguranketha beat ",11.5,"150,000","1,725,000",2027
Maintenance of converted plantations,"1- 1 block, Hanguranketha beat ",12,"100,000","1,200,000",2027-2030
Maintenance of converted plantations,"1-5 sub block, Hanguranketha beat ",11.5,"100,000","1,150,000",2028-2031
Establish live fence with Hana,Warakalawita,2.27 km,"200,000","454,000",2025
Maintenance of Live fence,Warakalawitya,2.27 km,"90000
(5 times)","450,000",2026 - 2030
,Total,,,"7,202,370",
