No,GND,Issues Faced by Farmers,Expectations
1,Gedereiyawa,"Crop damage due to wild animals (Monkey, Peacock)", Reduced crop damage from animals. Provide electric fences
2,Gedereiyawa,"Marketing issues for selling vegetables, fruits and paddy",Improve marketing channels for better prices.
3,Gedereiyawa,Finding suitable paddy and vegetable seeds,Easy access to good quality vegetable and paddy seeds.
4,Gedereiyawa,Feeding issues for cows and goats (lack of grass lands),Improved feed supply and better management for livestock.
5,Gedereiyawa,"Limited access to resources for processing rice, curry powder, and other value-added products","Access to processing facilities (inputs, machines), providing capital for making value-added products."
6,Gedereiyawa,Need of enough practice and knowledge for paddy cultivation,Support training programs 
7,Gedereiyawa,Need for trays for paddy cultivation,Access to trays to support paddy cultivation.
8,Gedereiyawa,Less storage facilities for vegetables,Provide storage facilities for vegetables
9,Gedereiyawa,Post-harvest losses,Provide necessities for reduce post-harvest losses
10,Gedereiyawa,"Problems associated with animal husbandry (Lack of lands, lack of funds for making animal sheds and buy animals, lack of animals)",Provide land and funding facilities
