"Table 2.6: Age group categorization of the population of MWS-003 (GN-wise)","","","","","","","",""
"GND.No","GND.Name","X0.5","X6.14","X15.20","X21.35","X36.55","X56.60","X60."
"946","Uduwela Udagama East","98","226","252","226","300","170","80"
"947","Uduwela Udagama West","158","302","720","521","407","356","216"
"948","Uduwela Pallegama South","49","116","51","112","133","184","61"
"949","Uduwela Pallegama East","31","38","117","185","163","44","29"
"950","Uduwela Pallegama West","29","68","106","102","173","42","94"
"951","Ratemulla","105","297","219","856","1091","132","305"
"952","Monarangala","62","80","71","639","727","103","145"
"953","Wathuliyadda2","53","72","59","531","610","63","125"
"954","Uduwelawatta Colony","107","231","149","514","478","87","79"
"955","Galthenna","31","84","67","157","259","67","133"
"962","Nehiniwela","39","63","87","106","166","38","132"
"963","Godompitiya","46","66","50","96","201","140","41"
"964","Pooliyadda","23","46","93","48","129","42","71"
"966","Ethulgama West","87","113","36","276","185","159","53"
"967","Ethulgama North ","30","102","167","247","65","50","108"
"Total","948","1,904","2,244","4,616","5,087","1,677","1,672",
