"Table 2.7: Occupational details of the community of MWS-003 (GN-wise)","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12"
,,"Executive/ Manager","Clerk","Industrial","Security Services","Foreign employment","Masonry","Carpenter","Animal Husbandry","Business","Apparel","Labour","Agriculture","Plantations","Others"
"946","Uduwela Udagama East","1","12","11","27","12","10","13","11","16","9","95","34","4","3"
"947","Uduwela Udagama West","7","10","5","12","30","150","12","10","32","56","82","23","6","287"
"948","Uduwela Pallegama South","3","8","7","22","11","17","3","4","33","13","49","33","3",
"949","Uduwela Pallegama East","3","4","6","12","11","16","5","4","6","7","8","6","12","35"
"950","Uduwela Pallegama West","5","4","5","67","6","40","2","4","8","6","41","20","-","-"
"951","Ratemulla","2","260",,"30","22","28","40",,"8","41",,"835",,
"952","Monarangala","3","17","19","12","24","41","18","8","35","27","35","38","12","15"
"953","Wathuliyadda2","2","12","15","12","9","95","18","24","28","20","15","24","5","3"
"954","Uduwelawatta Colony",,,"13","17","29","18","7","20","12","70","250","54",,
"955","Galthenna","1","13","12","13","8","21","6","3","16","13","43","86",,"49"
"962","Nehiniwela",,"36","20","22","3","11","6","20","12","15","49","32","12","15"
"963","Godompitiya","6","16","1","2","16","22","1","1","22","28","3","14","4","6"
"964","Pooliyadda","12","52","17","12","1","17","12","3","7","9","38","69",,"12"
"966","Ethulgama West","7","10","9","17","6","5","6","19","12","8","47","52","19",
"967","Ethulgama North",,"15","7","21","5","7","4","12","11","9","117","62","13",
"Total","52","469","147","298","193","498","153","143","258","331","872","1382","90","425",
