"Table 5.15: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND","Scheme Name","Problem to be addressed  Need","Coordinates","Recommended Remedial Actions","Estimated Cost","NA"
"946","Udadampola anicut","Anicut restoration need","7.24601","80.648576","1. Chip off weathered concrete surfaces     2. Drill, fix and grout 16mm dia \"T \" shape dowels at 500mm intervals   3. Apply grade 25 concrete 125mm thick curtaining    4. Provide anicut planks","780,000"
"946","Udadampola canal","Reservation, repairs & Backfilling","7.24601","80.648576","1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length of about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","226,200"
"946","Uda-assadduma canal","Reservation, repairs & Backfilling","7.246005","80.64504","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","226,200"
"946","Rankiriyagolla anicut","Anicut gate refurbishment","7.24733","80.644803","Remove perished gates and provide new components","195,000"
"946","Rankiriyagolla  canal (1)","Reservation, repairs & Backfilling","7.247344","80.644858","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"946","Rankiriyagolla  canal (2)","Reservation, repairs & Backfilling","7.248852","80.645576","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"946","Rankiriyagolla  canal (3)","Reservation, repairs & Backfilling","7.249503","80.646469","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"946","Palle-assadduma canal","Reservation, repairs & Backfilling","7.246136","80.645318","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"947","Diddeniya Oya","Reservation, tree  planting","7.24777","80.64348","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","142,610"
"948","Kebalewa canal","Leaks in the canal.","7.254828056","80.65229722","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kebalewa canal","Leaks in the canal.","7.254683889","80.6526775","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kebalewa canal","Leaks in the canal.","7.253777778","80.65583889","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kebalewa canal","Leaks in the canal.","7.254970833","80.65583889","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kebalewa canal","Leaks in the canal.","7.254970833","80.65583889","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kebalewa canal","Upstream embankment collapse and retaining wall required","7.254828056","80.65229722","Provide 15m long x2m high RCC retaining wall","520,000"
"948","Kebalewa canal","Leaks in the canal.","7.254970833","80.65540556","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kalaldora canal","Leaks in the canal.","7.254043333","80.65204611","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kalaldora canal","Leaks in the canal.","7.253825556","80.65213889","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kalaldora canal","Leaks in the canal and overflow","7.255235","80.65355556","Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking","897,000"
"948","Kalaldora canal","Leaks in the canal and overflow","7.253975","80.6526325","Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking","897,000"
"948","Kalaldora canal","Leaks in the canal and overflow","7.254208056","80.65297222","Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking","897,000"
