"Table 5.19: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND","Scheme.Name","Problem.to.be.addressed","Coordinates","Recommended.Remedial.Actions","Estimated.Cost..LKR.","NA."
"946","Udadampola","Reservation, and boundary making","7.245996","80.648483","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 300 m. 2. Protection by turfing sods with vetiver grass rows. Or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","339,300"
"947","Lunuwella ","Embankment  erosion & sewerage mixing","7.24951","80.64201","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Construct a garbage trap with net  and diversion","182,000"
"947","Ihala Madiththa","No reservation, Garbage inflow","7.24935","80.63963","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Construct a garbage trap with net","182,000"
"947","Pokune Ela","No reservation. Garbage inflow","7.24836","80.64213","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Construct a garbage trap with net","182,000"
"947","Ellana Ihala Ela","No reservation. Garbage inflow","7.245714","80.634956","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Construct a garbage trap with net","182,000"
"947","Ellana Ihala Ela","No reservation, Garbage inflow","7.246942","80.634651","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Construct a garbage trap with net","182,000"
"947","Hunupihilla","No reservation. Garbage inflow","7.24807","80.634013","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Construct a garbage trap with net","182,000"
"947","do","No reservation. Garbage inflow","7.249594","80.63376","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Construct a garbage trap with net","182,000"
"947","do","Protect, embankment & reservation","7.24968","80.632208","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 300 m2.","189,150"
"947","do","Protect, embankment & reservation","7.1448827","80.381073","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 300 m2.","189,150"
