"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-003","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","946","Uduwela Udagama East","No special issues are reported",,,,,,,,,
"2","947","Uduwela Udagama West","1. Soil conservation practices in Ellenakumbura Home Garden (25°)","1","7.2486700","80.6433900","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices in Ethulgama Upalihimi Shri Sobhitharamaya (60°)","1","7.2525000","80.6401000","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices in Udagama, already cultivated (60°)","1","7.2471300","80.6423400","0.1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,052,500",,,,,,,,,,,
"3","948","Uduwela Pallegama South","1. Establishing a soil bund","3","7.2556389","80.6534167","80 m","Soil Bund","400 m-1","32,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices in the land of Mrs. N.K.G. Leelawathi (25°)","1","7.2548611","80.6526972","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil and conservation at the land of Mr. Herbert Jayasinghe (65°)","4","7.2551944","80.6536111","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices at the land of Mr. Siri Sugath Ranasinghe (70°)","3","7.2550000","80.6535833","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation at the lands of Akaragala (Middle) (65°)","1","7.2552222","80.6534167","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices at the lands of other (75°)","1","7.2551944","80.6538611","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,282,000",,,,,,,,,,,
"4","949","Uduwela Pallegama East","1. Soil conservation practices in Kekiriwela (80° - 90°)","1","7.2489800","80.6591400","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation in Mudunepara (Home garden) (85°)","5","7.2502400","80.6583400","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","6,000,000",,,,,,,,,,,
"5","950","Uduwela Pallegama West","1. Soil conservation in lands near Galpoththa Hena Road (35°)","3","7.2508200","80.6567100","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","1,600,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation in lands (Homegarden) neer Beerawala Oya (70°)","1","7.2487700","80.6536400","0.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","100,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,700,000",,,,,,,,,,,
"6","951","Ratemulla","1. Soil conservation measures in 'Janaudanaya', Hanthana Rajamaha Viharaya (20°)","2","7.2453900","80.6486700","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","2,400,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,400,000",,,,,,,,,,,
"7","952","Monarangala","No special issues are reported",,,,,,,,,
"8","953","Wathuliyadda","1. Soil conservation practices in Ginihiriyawaththe/Home Garden (70°)","5","7.262611111","80.671500","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices in Wathuliyadda/Home Garden (65°)","3","7.260777778","80.6480000","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices in Wewekele Imbulathenna/Home Garden (85° - 90°)","5","7.263230556","80.6477800","15 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,750,000","Labour and other basic services by the Local community","1 Year"
,,,"4. Stone terracing in N. Premachandra, Wathuliyadda, 70°","1","7.261805556","80.65205556","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","7,125,000",,,,,,,,,,,
"9","954","Uduwelawaththa","No special issues are reported",,,,,,,,,
"10","955","Galthenna","1. Soil conservation practices in Home Gardens/Galthenna (55°)","3","7.25675000","80.64466667","12.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,125,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","3,125,000",,,,,,,,,,,
"11","962","Nehiniwela","1. Soil conservation practices in home gardens, Nahiniwela (70° - 80°)","4","7.250377.2595557.251357.25357.254972","80.66929 80.6682, 80.66653 80.66525 80.68581","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1 Year"
