"Table 5.3: Key activities proposed for soil and water conservation in MWS-003","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,"N or X","E or Y",,,,,,
"1","946","Uduwela Udagama East","1. Renovation of Ududampala Kandura as a Leader Drain/Main Drain","2","7.2459960","80.6484830","4 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"400,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of Leader Drain/Kandura along the road to Devalaya, 65°","1","7.2371720","80.6375470","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Establishing a Retaining Wall - Near Mr. Sunil Premathilake's house, 40°","4","7.2455940","80.6471630","30 m x 2 m","Retaining Wall (Masonry)",,"1,320,000","By the project","0.25 Years"
,,,"4. Establishing a Retaining Wall - Community Center, Udagama, 60°","3","7.2457680","80.6460120","9 m x 2 m","Retaining Wall (Masonry)",,"396,000","By the project","0.25 Years"
,,,"5. Establishing a Retaining Wall at Hanthana Temple Road, 60°","4","7.2421710","80.6408170","10 m x 2 m","Retaining Wall (Concrete)",,"440,000","By the project","0.25 Years"
,,,"6. Establishing a Retaining Wall near Udakanda Sangaraja Senasanaya, 50°","3","7.2350800","80.6369840","5 m x 2 m","Retaining Wall (Masonry)",,"220,000","By the project","0.25 Years"
,,,"8. Stone layering/terracing the stair case near Udagama Welfare Society/Community Center","1","7.2467160","80.6435020","150 m x 1.5 m x 1 m","Stone terracing","3000 m-3","675,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
"Sub Total","3,551,000",,,,,,,,,,,
"2","947","Uduwela Udagama West","1. Renovation of eight (8) Leader Drains","5","7.249517.24935","80.6420180.63963","10.1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"1,010,000","Labour and other basic services by the Local community/ Shramadana","1 Year"
,,,,"1","7.2483600","80.6396300",,,,,,
,,,,"5","7.245717.246947.24807","80.6349680.6346580.63402",,,,,,
,,,,"1","7.2495900","80.6337600",,,,,,
