No.,GND No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Add.Coordinates,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,946,Uduwela Udagama East,1. Rennovation of Ududampala Kandura as a Leader Drain/Main Drain,2,1,7.246,80.64848,,4 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"400,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
2,946,Uduwela Udagama East,"2. Establishing a Retaining Wall - Near Mr. Sunil Premathilake's house, 40°",4,1,7.24559,80.64716,,30 m x 3 m,Retaining Wall using stones,"2,000.00 m-2","90,000.00",,Funds by the Project,0.25 Years
3,946,Uduwela Udagama East,"3. Establishing a Retaining Wall - Community Center, Udagama, 60°",3,1,7.24577,80.64601,,6 m x 9 m,Retaining Wall using stones,"2,000.00 m-2","54,000.00",,Funds by the Project,0.25 Years
4,946,Uduwela Udagama East,"4. Establishing a Retaining Wall at Hanthana Temple Road, 60°",4,1,7.24217,80.64082,,10 m x 4 m,Retaining Wall/Side Wall of the bridge,"2,000.00 m-2","40,000.00",,Funds by the Project,0.25 Years
5,946,Uduwela Udagama East,"5. Establishing a Retaining Wall near Udakanda Sangaraja Senasanaya, 50°",3,1,7.23508,80.63698,,3 m x 5 m,Retaining Wall using stones,"2,000.00 m-2","15,000.00",,Funds by the Project,0.25 Years
6,946,Uduwela Udagama East,"6. Rennovation of Leader Drain/Kandura along the road to Devalaya, 65°",1,1,7.23717,80.63755,,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
7,946,Uduwela Udagama East,8. Stone terracing the stair case near Udagama Welfare Society/Community Center,1,1,7.24672,80.6435,,0.15 m x 1.5 m x 1 m,Stone terracing,"2,500.00 m-1","675,000.00","1,374,000.00",,0.25 Years
8,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,5,1,7.24951,80.64201,"7.24935, 90.63963",10.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"1,010,000.00",,Labour and other basic services by the Local community/ Shramadana,1 Year
9,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,1,2,7.24836,80.63963,,10.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,,Labour and other basic services by the Local community/ Shramadana,2 Year
10,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,1,3,7.24571,80.63496,"7.24694, 80.63465  
7.24807 ,80.63402 ",10.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,,Labour and other basic services by the Local community/ Shramadana,3 Year
11,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,1,4,7.24959,80.63376,,10.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,,Labour and other basic services by the Local community/ Shramadana,4 Year
12,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,4,5,7.24968,80.63221,,10.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,,,Labour and other basic services by the Local community/ Shramadana,5 Year
