FID,No_,GN_Divisio,GN_Divis_1,Point_sour,N_or_X,E_or_Y,Place,Non_point,N,E,Add__Coord,Recommende,No__of_Toi,Unit_Cost,Total_Cost,Contributi,Time_frame,Soil Erosion Class
0,1,946,Uduwela Udagama East,N/A,N/A,N/A, ,Addition of household waste/garbage to Boholu Ambe Water Source,7.245988,80.645572, ,Awareness programmes, ,0,"50,000.00",Labour and other basic services by the Local community,0.5 Years,4
1,2,946,Uduwela Udagama East, , , , ,Potential to add of human waste to water sources,7.24598,80.64577, ,"Providing toilet facility
Introducing methods to convert household waste into organic fertilizers",3,0, ,"Funded by the project
Water quality analysis by NWSDB/WRB
Local/Central governments","0.25 Years
0.5 Years",1
2,3,947,Uduwela Udagama West,N/A,N/A,N/A, ,Addition of human waste and garbage of line houses/estate houses to Elleena Kandura,7.245714,80.634956,"7.246942, 80.634651
7.24807, 80.634018",Awareness programmes, ,0,"50,000.00",Labour and other basic services by the Local community,0.5 Years,5
3,4,947,Uduwela Udagama West, , , , ,Addition of household waste/garbage to Hunugale Pihilla Kanadura,7.246896389,80.63631417, ,Providing toilet facility to line-houses/estate houses,10,0, ,Funded by the project,0.5 Years,3
4,5,947,Uduwela Udagama West, , , , ,Addition of household waste/garbage to Hunu Pihilla/Galaha Road,7.248413,80.634607, ,Preparation of place for collecting household wastes/garbage properly, ,0,"100,000.00",Local/Central governments,0.25 Years,5
5,6,948,Uduwela Pallegama South,N/A,N/A,N/A, ,"Addition of agrochemicals to the water source at the land of Mr. Karunapala, Uduwela",7.2567875,80.652539, ,"Awareness programmes
Regular water quality analysis - 3 samples, every six months", ,25000,"50000
450000","Funded by the project
Water quality analysis by NWSDB/WRB
","0.25 Years
3 Years",4
6,7,949,Uduwela Pallegama East,N/A,N/A,N/A, ,Addition of waste and animal excreta to Inkandura Water Project,7.24873,80.66143, ,"Covered with a mesh
Regular water quality analysis - 3 samples, every six months", ,25000,"300000
450000","Labour and other basic services by the Local community
Funded by the project
Water quality analysis by NWSDB/WRB","0.25 Years
3 Years",4
7,8,950,Uduwela Pallegama West,N/A,N/A,N/A, ,Addition of animal and human excreta to the water paths/Toilets of estates,7.25127,80.65728, ,"Covered with mesh and appropriate other ways. 
Building up of toilets
Awareness programmes
Regular water quality analysis - 3 samples, every six months",5,25000,"300000
450000","Labour and other basic services by the Local community
Funded by the project
District Secretariats and Divisional Secretariats 
Water quality analysis by NWSDB/WRB","0.25 Years
0.5 Years
0.25 Years
3 Years",1
8,9,951,Ratemulla,N/A,N/A,N/A, ,Addition of animal waste and garbages to Uragala Oya,7.232947,80.650231, ,Awareness programmes, ,0,"50,000.00",Labour and other basic services by the Local community,0.25 Years,4
9,10,951,Ratemulla, , , , ,Addition of toilet wastes into water of Uragala Oya,7.232134,80.650066, ,Introducing methods to remove household wastes/Producing organic fertilizers, ,0, ,Funded by the project,0.5 Years,1
10,11,951,Ratemulla, , , , ,Addition of plastic and polythene into the water source 04,7.226422,80.6496, ,Preparation of place for collecting household wastes/garbage properly, ,0,"100,000.00",District Secretariats and Divisional Secretariats,0.25 Years,5
11,12,951,Ratemulla, , , , ,Addition of human wastes of Uduwela Buddhist School,7.25118,80.646936, ,"Providing toilet facility to line-houses/estate houses
Providing toilet facility to Uduwela Buddhist School","25
6",0, ,Local/Central governments,"1 Year
0.5 Years",3
