FID,No_,GND,Scheme_Nam,Problem_to,N,E,Recommende,Estimated,Soil Erosion Class
0,1,946,Udadampola,"Reservation, and boundary making",7.245996,80.648483,"1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 300 m. 2. Protection by turfing sods with vetiver grass rows. Or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.",261000,2
1,2,947,Lunuwella,Embankment  erosion & sewerage mixing,7.24951,80.64201,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Construct a garbage trap with net  and diversion",140000,5
2,3,947,Ihalamadiththa,"No reservation, Garbage inflow",7.24935,80.63963,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Construct a garbage trap with net",140000,2
3,4,947,Pokune Ela,No reservation. Garbage inflow,7.24836,80.64213,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows
3. Construct a garbage trap with net",140000,4
4,5,947,Ellana Ihala Ela,No reservation. Garbage inflow,7.245714,80.634956,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Construct a garbage trap with net",140000,5
5,6,947,Ellana Ihala Ela,"No reservation, Garbage inflow",7.246942,80.634651,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Construct a garbage trap with net",140000,1
6,7,947,Hunupihilla,No reservation. Garbage inflow,7.24807,80.634013,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Construct a garbage trap with net",140000,3
7,8,947,do,No reservation. Garbage inflow,7.249594,80.63376,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Construct a garbage trap with net",140000,1
8,9,947,do,"Protect, embankment & reservation",7.24968,80.632208,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 300 m2.",145500,4
9,10,947,do,"Protect, embankment & reservation",7.246896389,80.63631389,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 300 m2.",145500,3
10,11,947,Lunuwela,"Protect, embankment & reservation",7.25084,80.641876,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",126000,4
11,12,947,Hunugalepihilla,Protect reservation/encroachments,7.25022,80.638154,"1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows. 3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 400 m2.",165000,4
12,13,949, confluence of Thelubu Falls & Diddeniya Oya,Need to improve forest cover and riparian plants for erosion control,7.25425,80.65792,"Plant single row of areca nut tree and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna etc. for 1.5m wide and 300m long reservation",68100,1
