"Table 2.5: GN-wise demographic details of the MWS-004-2","","","","",""
"GND.No","GND.Name","No.of.Houses","No.of.Families","Female","Male"
"971","Ankelipitiya","265","305","485","452"
"959","Batagalla","184","208","426","378"
"968","Ethulgama East","185","206","346","329"
"965","Ethulgama South","229","247","467","402"
"972","Haputale Egodagama","325","352","579","568"
"970","Haputale Pallegama","255","305","478","465"
"969","Haputale Udagama","265","309","306","508"
"958","Hipppala","221","229","393","383"
"956","Kossinna","311","330","612","543"
"973","Moragolla","367","392","657","624"
"986","Pinnagolla","241","286","437","473"
"957","Pussatenna","286","302","612","593"
"961","Thalathuoya East","170","208","376","345"
"960","Thalathuoya West","163","192","327","289"
""," Total","3,467","3,871","6,501","6,352"
