"Table 2.6: Age group categorization of the population of MWS-004-2 (GN-wise)","","","","","","","",""
"GND.No","GND.Name","X0.5","X6..14","X15.20","X21.35","X36.55","X56.60","X60."
"971","Ankelipitiya","52","124","54","196","284","71","156"
"959","Batagalla","47","42","58","138","262","85","172"
"968","Ethulgama East","51","69","107","140","185","55","68"
"965","Ethulgama South","66","140","68","40","198","278","79"
"972","Haputale Egodagama","52","138","71","282","343","135","126"
"970","Haputale Pallegama","54","159","81","203","257","88","101"
"969","Haputale Udagama","63","153","73","149","162","113","101"
"958","Hipppala","20","77","59","213","205","32","170"
"956","Kossinna","97","165","64","436","194","22","177"
"973","Moragolla","82","133","176","297","266","157","170"
"986","Pinnagolla","48","122","60","114","201","240","125"
"957","Pussatenna","59","217","156","239","265","72","197"
"961","Thalathuoya East","35","65","55","175","182","60","149"
"960","Thalathuoya West","42","52","53","130","179","45","115"
"","Total","768","1,727","1,079","2,638","2,982","1,213","1,906"
