"Table 5.13: Cost estimate of domestic water supply and water source protection-related proposals","","","","",""
"GND.No.","Scheme","Problem.to.be.addressed.Recommendation","N","E","Estimated.Cost"
"971","Kivul Pihilla tube well","Unacceptable taste and is not suitable for drinking. Recommend providing RO filter for drinking water","1,235,000","1,235,000","1,235,000"
"971","Galaha Galthenna spring","Low Quantity and Quality of water. Recommend 1. To Provide 20 Cu.m or larger tank and reforesting around spring by mixed vegetation comprising Kumbuk/Mee/Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval 2. Apply mulching, organic manure and NPK fertilizer 3. Introduction of bamboo, vetiver grass and riparian plants. Covered area 200 Sq.m","455,000","455,000","455,000"
"965","Udaraawa spring","Acquisition of 0.5-acre reservation, reforestation and fencing","325,000","325,000","325,000"
"965","Boowelikada trough","1. Construction of a Shelter for bathing 2. Acquisition of 0.5-acre reservation .3. Dense planting of mixed vegetation comprising Kumbuk/Mee/Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval 4. Apply mulching, organic manure and NPK fertilizer 5. Introduction of bamboo, vetiver grass and riparian plants. Covered area 500 Sq.m","245,050","245,050","245,050"
"965","Pambe ela","No fence. The side wall and bottom of the tank are damaged > recommend 1. Re-construct the tank walls. 2. Acquisition of 0.5-acre reservation .3. Dense planting of mixed vegetation comprising Kumbuk/Mee/Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval 4. Apply mulching, organic manure and NPK fertilizer 5. Introduction of bamboo, vetiver grass and riparian plants. Covered area 200 sq.m","214,500","214,500","214,500"
"968","Ambalammana well","Accumulation of silt and debris. Recommended to Cleaning the well and rebuilding of walls -3m depth","117,000","117,000","117,000"
"968","Ambalammana 7 troughs -Sriyagama division","No reservation, Contamination from household refuse, garbage mixing with runoff. Recommend 1. Public awareness on proper garbage disposal, 2. Acquisition of a quarter acre for reservation reforestation and fencing. 3. Restoration of supply pipes.","195,000","195,000","195,000"
"968","Uda Kumbura well and spring","Stock tank leaks. Recommend Internal replastering.","39,000","39,000","39,000"
"968","Thiriwanaketiya kabure tank","Stock tank leaks. Recommend Internal replastering.","52,000","52,000","52,000"
"968","Diya bubula tank","Contamination from agrochemicals Recommend 1. Dence planting of mixed vegetation comprising Kumbuk/Mee/Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval 2. Apply mulching, organic manure and NPK fertilizer 3. Introduction of bamboo, vetiver grass and riparian plants. Covered area 400 sq.m 4. Construction of a sand filter 5. Fencing around the reservation","182,390","182,390","182,390"
