"Table 5.34: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items.Needed","GNDs.Requested","Number","Unit.Cost..LKR.","Total.Cost..LKR.","Contribution.....from.line.agency..GoSL","Final.cost.to.LA..GoSL..LKR."
"Paddy yaya development program","Supply of parachute Trays
","","2,000","80","160000","75%","120000"
" ","Supply of certified seed paddy (bu)
","","5","4200","21000","100%","21000"
"","Soil testing","","10","290","2900","100%","2900"
"","Supply of Bio films (1 Liter) Bottles","","10","900","9000","100%","9000"
"","supply of Cruiser as seed Treatments","","5","900","4500","100%","4500"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence","","50","7500","375000","75%","281250"
"","Supply of Electric fence","","10","40000","400000","75%","300000"
"","Supply of Air rifles","","5","50000","250000","75%","187500"
"","Supply of Water Pumps (Robin)","","5","70000","350000","75%","262500"
"","Supply of Brush Cutters","","5","30000","150000","75%","112500"
"","Supply of Knapsac Sprayers (16L)","","2","30000","60000","75%","45000"
"Fruits","Supply of Banana Tissue Culture Seedlings- Amban","","200","130","26000","100%","26000"
"","Supply of Mandarin Seedlings","","110","300","33000","100%","33000"
"","Supply of Trichoderma (1-liter bottles)","","12","1000","12000","100%","12000"
"Constructions of 1000 sq feets Poly Tunnels","","","2","700000","1400000","75%","1050000"
"Export Crops","Coffee","Haputhale egodagama-2000","2,000","30","60,000","100%","60,000"
"Livestock","No of cow","Ethulgama south-5, Hippala-1, haputhale pallegama-2, pinnagolla-15, haputhale udagama-5, ethulgama east-2","30","250,000","7,500,000","50%","3,750,000"
" ","No of goat","Haputhale pallegama-2, thalathuoya west-2, pussathenna-10, pinnagolla-20, thalathuoya east-6","40","40,000","1,600,000","50%","800,000"
" ","No of chicks","Hippala-20, Haputhale Egoda-50, Haputhale pallegama-40, thalathuoya west-15, pussathenna-40, ankelipitiya-50, pinnagolla-50, moragolla-20, Haputhale udagama-20, Ethulgama east-50","355","1,500","532,500","50%","266,250"
" ","No of sheds – cow","Ethulgama south-5, Haputhale egodagama-3, haputhale pllegama-2, pussathenna-4, pinnagolla-13, ankelipitoya-9, haputhale udagama-5, ethulgama east-2","43","300,000","12,900,000","50%","6,450,000"
" ","No of sheds - goat","Haputhale pallegama-1, pussathenna-4, pinnagolla-30","35","150,000","5,250,000","50%","2,625,000"
"Value Added products","Curry powder grinding","Haputhale egodagama-3, Hippala-3, Haputhale pallegama-1, pinnagolla-1, ankelipitiya-1, Ethulgama east-2, haputhale udagama-1,","12","120,000","1,440,000","50%","720,000"
" ","Ginger slicing machine","Ethulgama east-1","1","150,000","150,000","50%","75,000"
"Total Cost",""," "," "," "," "," ","17,213,400"
