"Table 2.1: Administrative details of MWS-005","","","","","",""
"ID","GND No","GN Name","Total Area of the GN  ha","Area in the MWS  005  ha","X  Area belongs to MWS  005","Remarks"
"1","971","Ankelipitiya*","108.3","10.2","9.5%","Included in 004-2"
"2","998","Bawlanawatta Janapadaya*","286.1","0.2","0.1%","Included in 006-2"
"3","999","Bolepa","136.5","105.1","77.0%",
"4","984","Bootawatta North","83.5","70.1","83.9%",
"5","985","Bootawatta South","76.5","76.5","100.0%",
"6","987","Doolmure","59.5","59.5","100.0%",
"7","994","Godalawela","29.0","29.0","100.0%",
"8","989","Godamunna East","101.8","101.8","100.0%",
"9","990","Godamunna West","125.1","125.1","100.0%",
"10","970","Haputale Pallegama*","57.0","4.9","8.6%","Included in 004-2"
"11","992","Kapuliyadda East","52.8","44.8","84.8%",
"12","991","Kapuliyadda West","31.1","31.1","100.0%",
"13","975","Letiyagolla","86.2","83.2","96.6%",
"14","1000","Medadeniya*","119.9","5.0","4.1%","Included in 006-1"
"15","997","Medagama Pallegama","112.1","99.6","88.8%",
"16","996","Medagama Udagama","511.7","344.0","67.2%",
"17","973","Moragolla*","75.6","0.8","1.1%","Included in 004-2"
"18","993","Narangasthenna","50.9","50.9","100.0%",
"19","983","Nugaliyadda Ihala","62.0","62.0","100.0%",
"20","982","Nugaliyadda Pahala","42.9","42.9","100.0%",
"21","977","Palugama*","221.0","0.4","0.2%","Included in 001"
"22","1006","Pathamailapitiya South*","287.8","0.8","0.3%","Included in 007-1"
"23","986","Pinnagolla*","84.0","15.8","18.9%","Included in 004-2"
"24","988","Sinharagama*","203.3","18.6","9.2%","Included in 007-1"
"25","974","Sriyagama","347.9","202.8","58.3%",
"26","976","Udadelthota*","517.2","35.3","6.8%","Included in 001"
"27","995","Welegama","128.1","128.1","100.0%",
