"Table 2.5: GN-wise demographic details of the MWS-005","","","","",""
"GND No","GND Name","No of Houses","No of Families","Female","Male"
"999","Bolepa","224","247","438","429"
"984","Bootawatta North","393","402","669","698"
"985","Bootawatta South","179","204","348","335"
"987","Doolmure","180","216","455","420"
"994","Godalawela","148","171","319","286"
"989","Godamunna East","209","210","336","319"
"990","Godamunna West","184","210","338","342"
"992","Kapuliyadda East","124","135","238","222"
"991","Kapuliyadda West","144","176","259","268"
"975","Letiyagolla","233","243","422","395"
"997","Medagama Pallegama","226","231","412","414"
"996","Medagama Udagama","215","261","427","385"
"993","Narangasthenna","185","191","309","309"
"983","Nugaliyadda Ihala","179","212","345","354"
"982","Nugaliyadda Pahala","127","137","219","221"
"974","Sriyagama","337","367","649","641"
"995","Welegama","138","150","263","232"
,"Total","3,425","3,763","6,446","6,270"
