"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-005","","","","","","","","","","","",""
"No","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Uniti.Cost..LKR.","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","N or X","E or Y","","","","","",""
"1","974","Shriyagama","5. Soil and water conservation practices -  Ambalanmana Metal Query (30°)","5","7.217798","80.670447","2 ac","Awareness programme to practice proper soil conservation","","50,000"," ","0.25 Years"
" "," ","","6. Soil and water conservation practices -  Ambalanmana Waththa (60°)","1","7.223747","80.669493","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","7. Soil and water conservation practices -  Ambalanmana Waththa in front of Kandura (30 - 45°)","4","7.225665","80.672367","120 ha","Lock and spills - 70 ha","400 m-1","28,000,000","Labour and other basic services by the Local community","1.5 Years"
" "," ",""," "," "," "," ","","Live fencing/SALT - 50 ha","250 m-1","12,500,000","Labour and other basic services by the Local community","1.5 Years"
" "," ","","8. Soil and water conservation practices -  Ambalanmana Susana Waththa (30°)","1","7.224207","80.669459","1 ha","Lock and spills and/or live fencing/SALT/stone terracing, as applied","400 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","9. Soil and water conservation practices -  Shriyagama Temple (50°)","4","7.21829","80.677997","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","41,575,000"," "," ",,,,,,,,,
"2","975","Latiyagoolla","7. Soil conservation practices - Katukithula (70°)","5","7.220885","80.684907","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," "," ",""," "," ","Introducing perennial crops like coffee, pepper","",""," "," "
" "," ","","8. Soil conservation practices - Ltiyagolla/ Mr. Weerakoon  (30°)","4","7.219989","80.687762","0.5 ha","Lock and spills and/or live fencing/SALT/stone terracing, as applied","400 m-1","200,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","9. Soil conservation practices - Ltiyagolla (45°)","4","7.219735","80.689326","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," "," ",""," "," ","Introducing perennial crops like coffee, pepper","",""," "," "
"Sub Total","950,000"," "," ",,,,,,,,,
"3","982","Nugaliyadda Pahala","4. Soil conservation practices (65°)","3","7.229726","80.69256","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","1,500,000"," "," ",,,,,,,,,
"4","983","Nugaliyadda Ihala","9. Soil conservation practices (70°)","4","7.223696","80.686100","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,000,000"," "," ",,,,,,,,,
"5","984","Butawawaththa North","8. Soil conservation practices (70°) - Mudunakade, Mahawaththe Raod","1","7.242429","80.699138","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","625,000"," "," ",,,,,,,,,
"6","985","Butawawaththa South","1. Soil conservation practices (50°)","1","7.236013","80.701695","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
" ",""," ",""," "," ",""," ","Cultivating perennial crops (fruits, coffee, pepper etc.)"," ","",""," "
" ",""," ","1. Soil conservation practices (35°) - Sagama Temple","5","7.234497","80.700346","14 ha","Lock and spills - 4 ha","400 m-1","1,600,000","Labour and other basic services by the Local community","0.25 Years"
