"Table 5.32: Proposed interventions MWS-005 of the Pathahewaheta Divisional Secretariat","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate..LKR.","Amount..LKR.","Duration"
"Forest Boundary Maintenance- 65 Boundary posts
(2.6Km)","Karagammanaroda Reserve Forest – 
","Clearing land around boundary posts (1m circle)","7","Man days","2,500","17,500","2025"
"","","Cleaning boundary posts","7","Man days","2,500","17,500",""
"","","Painting boundary posts with Red and Yellow colours","5","Man days","2,500","12,500",""
"","","Numbering boundary posts","1","Man days","2,500","2,500",""
"","","Paint, Brushes and thinner","65","Lump sum","100","6,500",""
"",""," ","","","Sub Total","56,500",""
"",""," ","","","","5,650",""
"",""," ","","","Total","62,150",""
"Establishment and maintenance of Bio Fence with Kithul and Areca nut. (800 plants / 2 Km) Two rows in a zig zag arrangement","Karagammanaroda Reserve Forest – 
","Seedling Production (12\"x8\")","1,600","Seedlings","50","80,000","2026"
"","","Transportation of seedlings to the site, 
(300 Seedlings / Lorry load)","6","Lorry loads","7,500","45,000",""
"",""," loading and unloading 
(300 plants/ Man day)","6","Man days","2,500","15,000",""
"","","Seedling transportation within the field (1000/6 Man days)","10","Man days","2,500","25,000",""
"","","Clearing the land and holing and planting (1000 plants/25 Man days)","40","Man days","2,500","100,000",""
"","","Fertilizer 
(100g /plant)","160","Kg ","300","48,000",""
"","","Applying fertilizer
 (5 Man days /1000 plants)","8","Man days","2,500","20,000",""
"","","Vacancy Planting -Seedling cost (20%) ","320","Seedlings","300","96,000","2027"
"","","Vacancy Planting - Holing & Planting
 (7 Man days)","14","man days","2,500","35,000",""
"","","Vacancy Planting (10%)- Seedling cost ","160","Seedlings","300","48,000","2028"
"","","Vacancy Planting - Holing & Planting 
(4 Man days)","8","Man days","2,500","20,000",""
"","","1st years 
3 maintenance","72","Man days","2,500","180,000","2027"
"",""," 2nd year 
2 maintenance,","48","Man days","2,500","120,000","2028"
"","","3rd year 
2 maintenance","48","Man days","2,500","120,000","2029"
"",""," 4th year1 maintenance","24","Man days","2,500","60,000","2030"
"","","Fuel (Supervision)","1","Lump sum","60,000","60,000","2026-2030"
"",""," "," "," ","Sub Total","1,072,000",""
"","","Contingency (10%)"," "," "," ","107,200",""
"",""," "," "," ","Total","1,179,200",""
"Watershed Conservation around streams","Streams inside Karagammanaroda Reserve Forest","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","100","Seedlings","300","30,000","2027"
"","","Transportation of seedlings (300/Lorry load)","1","-","5,000","5,000",""
"","","Head transport of seedling within the site
 (5 Man days)","2","Man days","2,500","5,000",""
"","","Holing and planting 
(33 Man days)","8","Man days","2,500","20,625",""
"","","Protection wooden structures-\"Koodu\" (1.5'x1.5'x5')","100","Wooden boxes","250","25,000",""
"","","Fertilizer 
(110 gr / Seedling)","10","Kg","300","3,000",""
"","","Applying fertilizer
 (9 Man days/ha)","2","Man Days","2,500","5,625",""
"","","Vacancy Planting -Seedling cost (20%) ","20","Seedlings","300","6,000","2028"
"","","Vacancy Planting - Holing & Planting 
(7 Man days)","2.0","Man days","2,500","5,000",""
"","","Vacancy Planting (10%)- Seedling cost ","40","Seedlings","300","12,000","2029"
"","","Vacancy Planting - Holing & Planting
 (7 Man days)","1","Man days","2,500","2,500",""
"","","1st years 3 maintenance, 12Man days,
 3 times/year","9","Man days","2,500","22,500","2028"
"",""," 2nd year 2 maintenance (2 times /year) 
10 Man days","5","Man days","2,500","12,500","2029"
"","","3rd year 2 maintenance (Once only) 
8 Man days ","5","Man days","2,500","12,500","2030"
"",""," 4th year 1 maintenance (Once only) 
12 Man days","3","Man days","2,500","7,500","2031"
"","","Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2026-2031"
"",""," "," "," ","Sub Total","184,750",""
"","","Contingency"," "," "," ","18,475",""
"",""," "," "," ","Total","203,225",""
"Distribute woody & fruit Plants to 30 families around the forest","Around Karagammanaroda Reserve Forest, Kirimetiya Pinus Plantation (part 1,2,3) and Bowlana Pinus Plantation","Purchasing fruit plants (9\"x6\")","300","Seedlings","300","90,000","2026"
"","","Production of Seedlings (9\"x6\")      (Forest plants)","900","Seedlings","50","45,000",""
"","","Loading                                             (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",""
"","","Unloading                          (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",""
"","","Transportation and distribution (2000 Seedling/Lorry load)","1","Lorry load","7,500","7,500",""
"",""," "," "," ","Sub Total","147,500",""
"","","Contingency (10%)"," "," "," ","14,750",""
"",""," "," "," ","Total","162,250",""
"Conduct 05 Awareness Programs
","Around Karagammanaroda Reserve Forest, Kirimetiya Pinus Plantation (part 1,2,3) and Bowlana Pinus Plantation","Refreshments","250","Packs","400","100,000","2025"
"","","Fuel                                                  (Rs 3,750/programs) - Two visits ( for organizing and conducting program)","10","Lump sum","3,750","37,500",""
"","","Stationaries (file covers/ Handouts)","5","Lump sum","2,500","12,500",""
"",""," "," "," ","Sub total","150,000",""
"","","Contingency (10%)"," "," "," ","15,000",""
"",""," "," "," ","Total ","165,000",""
"Erect 03 display boards","Around Karagammanaroda Reserve Forest, Kirimetiya Pinus Plantation (part 1,2,3) and Bowlana Pinus Plantation","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","3","Boards","24,250","72,750","2025"
"","","Transportation of boards","3","Truck load","5,000","15,000",""
"","","Metal, Sand and Cement mixture for erection of board","3","Lump sum","750","2,250",""
"","","Fixing Boards 
(2 Man days/Board)","6","Man days","2,500","15,000",""
"",""," "," "," ","Sub Total","105,000",""
"","","Contingency (10%)"," "," "," ","10,500",""
"",""," "," "," ","Total","115,500",""
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement) – 3 Km","Kirimetiya Pinus Plantation (part 1,2,3)","Seedling Production (12\"x8\")","1,800","Seedlings","100","180,000","2025"
"","","Transportation of seedlings to the site,(300 Seedlings / Lorry load)","6","Lorry loads","7,500","45,000",""
"","","loading and unloading (300 plants/ Man day)","6","Man days","2,500","15,000",""
"","","Seedling transportation within the field (1000/6 Man days)","11","Man days","2,500","27,500",""
"","","Clearing the land, holing and planting (1000 plants/15 Man days)","45","Man days","2,500","112,500",""
"","","Protective net /plant (repurposed fishnet)","1,800","Net","60","108,000",""
"","","Vacancy Planting -Seedling cost (20%) - Plant cost includes transportation, loading, unloading, transportation within the site","360","Seedlings","150","54,000","2026"
"","","Vacancy Planting - Holing & Planting (7 Man days)","21","Nan days","2,500","52,500",""
"","","1st year 3 maintenance,","180","Man days","2,500","450,000",""
"","","Repairing protective net ","200","Net","60","12,000",""
"",""," "," "," ","Sub Total","1,044,500",""
"","","Contingency (10%)"," "," "," ","104,450",""
"",""," "," "," ","Total","1,148,950",""
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement) 4 - Km","Bowlana Pinus Plantation","Seedling Production (12\"x8\")","2,400","Seedlings","100","240,000","2026"
"","","Transportation of seedlings to the site, (300 Seedlings / Lorry load)","8","Lorry loads","7,500","60,000",""
"","","loading and unloading (300 plants/ Man day)","8","Man days","2,500","20,000",""
"","","Seedling transportation within the field (1000/6 Man days)","15","Man days","2,500","37,500",""
"","","Clearing the land, holing and planting (1000 plants/15 Man days)","60","Man days","2,500","150,000",""
