No,GN Division No.,GN Division,Land Slides,N or X,E or Y,NBRO Recommendation,Proposed Measures
1,1008,Damunugolla,Soil sloughing at Murapola Bodiya,7.225844,80.74117,Needs NBRO concern,Establishing a retaining wall (25 m x 2 m)
2,1009,Meeruppa,Breaking down and sliding the bank of the road - Dehikotuwa/Gayawaththa,7.217595,80.742195,Needs NBRO concern,Establishing a retaining wall (1000 m x 1.5 m)
3,1010,Elikewela,Soil sloughing at Meeting Center/Samithi Shalawa,7.211417,80.736327,Needs NBRO concern,Establishing a retaining wall (10 m x 2.5 m)
4,1014,Bowlana,Landsliding - Bowlana Pahala Kanda (65°),7.209766,80.71582,NBRO has visited,"Transferring occupants to other lands, Avoiding construction of heavy structures, trees etc., Monitoring continuously"
5,1015,Oluwawaththa,Falling rocks/stones down - Udumulla,7.201345,80.733664,NBRO has visited,Removal of risky boulders/stones
6,1015,Oluwawaththa,,,,,Awareness on soil conservation
7,1017,Hewawissa West,"Sliding the bank at the house of K.B.G. Rosalin, Ambakotuwa (80°)",7.208899,80.72873,Needs NBRO concern,Retaining wall (20 m x 6 m)
8,1018,Bopitiya,1. Landsliding - Kolethenna Kanda,7.193301,80.735085,NBRO has visited,"Avoiding construction of heavy structures, trees etc., Monitoring continuously"
9,1018,Bopitiya,2. Landsliding - Rathpaha,7.195977,80.741671,NBRO has visited,"Avoiding construction of heavy structures, trees etc., Monitoring continuously"
10,1022,Ududeniya Madihe,1. Land sliding - Ududeniya Muslim College,7.202347,80.746505,Needs NBRO concern,Retaining wall (3 m x 1.5 m)
11,1022,Ududeniya Madihe,2. Land sliding - Old Mosque Road,7.201802,80.74681,Needs NBRO concern,Retaining wall (10 m x 5 m)
12,1022,Ududeniya Madihe,3. Land sliding - Madihe Urumaniya,7.201387,80.744293,Needs NBRO concern,Retaining wall (5 m x 2.5 m)
