"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-006-2","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","1035","Maussawa","1. Soil conservation practices - Bopitiyawaththa Janawasama (40°)","4","7.185743","80.718795","11 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,750,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Hulankada (65°)","4","7.181127","80.72748","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Hulankada (70°)","1","7.182177","80.728802","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Nilawala (60°)","4","7.182777","80.730698","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","9,250,000",,,,,,,,,,,
"2","998","Bawlanawaththa","1. Soil conservation practices - Karagama Oya Land (90°)","5","7.194242","80.710944","50 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","12,500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Bawlanawaththa (60°)","3","7.195475","80.717931","0.75 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","187,500","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Bawlanawaththa (60°)","2","7.195292","80.718429","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Bawlanawaththa (80°)","5","7.198343","80.715644","80 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","20,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Bawlanawaththa/Mr. Weerasingha (20°)","4","7.199869","80.717041","2 ha","Lock and spills and live fencing/SALT and/or stone terracing, as applied","400 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Bawlanawaththa/Mr. Karunasena (80°)","4","7.201602","80.717936","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Bawlanawaththa (80°)","1","7.202633","80.717192","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","35,612,500",,,,,,,,,,,
"Grand Total","44,862,500",,,,,,,,,,,
