"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-006-2","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Uniti.Cost..LKR..","Total.Cost..LKR..","Contribution","Time.frame.for.the.implementation","NA."
"","","","","","N or X","E or Y","","","","","",""
"1","1035","Maussawa","1. Development of natural drains - Alakolamadiththa Kandura","1","7.185702","80.718987","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices"," ","60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
" "," ","","2. Development of natural drains - Muwanpani Ella Kandura","5","7.181115","80.727737","410 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices"," ","41,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","101,000"," "," ",,,,,,,,,
"2","998","Bawlanawaththa ","1. Development of natural drains - Kandura  in Pine forest","5","7.192924","80.717945","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices"," ","40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
" "," ","","2. Development of natural drains - Karagama Oya","5","7.194348","80.710961","400 m","Clearing and planting some trees along the banks (Aracanut, Kumbuk, Bamboo etc.) and other conservation practices"," ","40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
" "," ","","3. Development of natural drains - Bawulanawaththa","5","7.194641","80.717985","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices"," ","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
" "," ","","4. Development of natural drains - Attamale Kandura","5","7.198366","80.715414","750 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices"," ","75,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
" "," ","","5. Development of natural drains - Bawlanawaththa Kandura A","5","7.195627","80.719783","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices"," ","40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
" "," ","","6. Development of natural drains - Kandura near the house of Mr. Ranjith",""," "," ","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices"," ","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","255,000"," "," ",,,,,,,,,
"Grand Total","356,000"," "," ",,,,,,,,,
