"Table 5.18: Proposed interventions MWS-007-1 of the Pathahewaheta Divisional Secretariat","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate..LKR.","Amount..LKR.","Duration"
"Forest Boundary Maintenance (7km) – Clearing surrounding area and painting 394 boundary posts","Dulgolla State Forest ","Clearing land around boundary posts (1m circle)","40","Man days","2,500","100,000","2025"
"","","Cleaning boundary posts","40","Man days","2,500","100,000",""
"","","Painting boundary posts with Red and Yellow colours","28","Man days","2,500","70,000",""
"","","Numbering boundary posts","4","Man days","2,500","10,000",""
"","","Paint, Brushes and thinner","394","Lump sum","100","39,400",""
"",""," ","","","Sub Total","319,400",""
"",""," ","","","","31,940",""
"",""," ","","","Total","351,340",""
"Establishment and maintenance of Fire Belt with “Hana” Plants - (2,400 Plants- 3 km) (spacing 2.5m – Two rows in a zig zag arrangement)","Dulgolla State Forest ","Seedling Production (12\"x8\")","1,200","Seedlings","50","60,000","2025"
"","","Transportation of seedlings to the site, (300 Seedlings / Lorry load)","4","Lorry loads","7,500","30,000",""
"",""," loading and unloading (300 plants/ Man day)","4","Man days","2,500","10,000",""
"","","Seedling transportation within the field 
(1000/6 Man days)","8","Man days","2,500","20,000",""
"","","Clearing the land and holing and planting 
(1000 plants/25 Man days)","30","Man days","2,500","75,000",""
"","","Fertilizer
 (100g /plant)","120","Kg ","300","36,000",""
"","","Applying fertilizer 
(5 Man days /1000 plants)","6","Man days","2,500","15,000",""
"","","Vacancy Planting -Seedling cost (20%) ","240","Seedlings","300","72,000","2026"
"","","Vacancy Planting - Holing & Planting
 (7 Man days)","21","man days","2,500","52,500",""
"","","Vacancy Planting (10%)- Seedling cost ","120","Seedlings","300","36,000","2027"
"","","Vacancy Planting - Holing & Planting 
(4 Man days)","12","Man days","2,500","30,000",""
"","","(1st years 
3 maintenance,","108","Man days","2,500","270,000","2026"
"",""," 2nd year 
2 maintenance, ","72","Man days","2,500","180,000","2027"
"","","3rd year 
2 maintenance,","72","Man days","2,500","180,000","2028"
"",""," 4th year 
1 maintenance)","36","Man days","2,500","90,000","2029"
"","","Fuel (Supervision)","1","Lump sum","60,000","60,000","2025- 2029"
"",""," "," "," ","Sub Total","1,216,500",""
"","","Contingency (10%)"," "," "," ","121,650",""
"",""," "," "," ","Total","1,338,150",""
"Forest Restoration and maintenance – 2 ha – 800 plants ","Dulgolla State Forest","Surveying 
(1.5 Man days/ha)","3","Man days","2,500","7,500","2026"
"","","Seedling production 500 seedling / ha
 (12\" x 18\")","800","Seedlings","300","240,000",""
"","","Transportation of seedlings to the site 
(300 Seedlings/ lorry load)","3","Lorry loads","7,500","22,500",""
"","","Transportation of seedlings inside the field (5 Man days / ha)","10","Man days","2,500","25,000",""
"","","Removal of Mana grasses and other unwanted bushes ","30","Man days","2,500","150,000",""
"","","Holing and planting 
(33 Man days /ha)","66","Man days","2,500","165,000",""
"","","Fertilizer","80","Kg","300","24,000",""
"","","Fertilizer application 
(9 Man days/ ha)","18","Man days","2,500","45,000",""
"","","Vacancy Planting -Seedling cost (20%) ","160","Seedlings","300","48,000","2027"
"","","Vacancy Planting - Holing & Planting 
(7 Man days)","14","Man days","2,500","35,000",""
"","","Vacancy Planting (10%)- Seedling cost ","80","Seedlings","300","24,000","2028"
"","","Vacancy Planting - Holing & Planting 
(4 Man days)","8","Man days","2,500","20,000",""
"","","1st years 3 maintenance, 16 Man days, 3 times/yea","96","Man days","2,500","240,000","2027"
"",""," 2nd year 2 maintenance (2 times /year) 10 Man days","40","Man days","2,500","100,000","2028"
"","","3rd year 2 maintenance (Once only) 10 Man days ","20","Man days","2,500","50,000","2029"
"",""," 4th year 1 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000","2030"
"","","Fuel (Supervision)","1","Lump sum","80,000","80,000","2026 -2030"
"",""," "," "," ","Sub Total","1,326,000",""
"","","Contingency (10%)"," "," "," ","132,600",""
"",""," "," "," ","Total","1,458,600",""
"Distribute woody & fruit Plants to 30 families around the forest ","Around Dulgolla State Forest","Purchasing fruit plants (9\"x6\")","300","Seedlings","300","90,000","2026"
"","","Production of Seedlings         (Forest plants) (9\"x6\")","900","Seedlings","50","45,000",""
"","","Loading                                             (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",""
"","","Unloading                          (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",""
"","","Transportation and distribution (2000 Seedling/Lorry load)","1","Lorry load","7,500","7,500",""
"",""," "," "," ","Sub Total","147,500",""
"","","Contingency (10%)"," "," "," ","14,750",""
"",""," "," "," ","Total","162,250",""
"Conduct Awareness Programs (5 Programmes)","Around Dulgolla State Forest","Refreshments","250","Packs","400","100,000","2025"
"","","Fuel                                                  (Rs 3,750/programs) - Two visits ( for organizing and conducting program)","10","Lump sum","3,750","37,500",""
"","","Stationaries (file covers/ Handouts)","5","Lump sum","2,500","12,500",""
"",""," "," "," ","Sub total","150,000",""
"","","Contingency (10%)"," "," "," ","15,000",""
"",""," "," "," ","Total ","165,000",""
"Erect display boards 
(3 boards)","Around Dulgolla State Forest","Preparation of display Boards (2’x3) (Aluminum sheets and GI pipes)","3","Boards","24,250","72,750","2025"
"","","Transportation of boards","3","Truck load","5,000","15,000",""
"","","Metal, Sand and Cement mixture for erection of board","3","Lump sum","750","2,250",""
"","","Fixing Boards (2 Man days/Board)","6","Man days","2,500","15,000",""
"",""," "," "," ","Sub Total","105,000",""
"","","Contingency (10%)"," "," "," ","10,500",""
"",""," "," "," ","Total","115,500",""
"Surveying demarcation
(21 Boundary posts-1 km) – By  DS
","Yakurungala reservation","Purchase boundary posts","21","Boundary posts","4,500","94,500","2027"
"","","Loading boundary posts","1","Man days ","2,500","2,500",""
"","","Unloading boundary posts","1","Man days ","2,500","2,500",""
"","","Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",""
"","","Head load - Transport boundary posts to the forest boundary","11","Man days ","2,500","27,500",""
"","","Holing (500 mm x 200mm x 200)","3","Man days ","2,500","7,500",""
"","","Preparation field and erection","3","Man days ","2,500","7,500",""
"","","Cost of Cement, metal and sand","21","nr","375","7,875",""
"","","Head load -Transport Cement, metal and sand","9","Man days ","2,500","22,500",""
"",""," "," "," ","Sub Total","174,875",""
"","","Contingency (10%)"," "," "," ","17,488",""
"",""," "," "," "," ","192,363",""
"","","Grand Total","","","","3,783,203",""
