"Table 5.21: Proposed interventions MWS-008-1 of the Pathahewaheta Divisional Secretariat","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Forest Boundary Demarcation 
(21 Boundary Posts)","Kosgahalanda Reserve Forest","Purchase boundary posts (According to the FD approved design)","21","Boundary posts","4,500","94,500","2025"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","11","Man days","2,500","27,500",
,,"Holing (500 mm x 200mm x 200)","3","Man days","2,500","7,500",
,,"Preparation field and erection","3","Man days","2,500","7,500",
,,"Cost of Cement, metal and sand","21","nr","375","7,875",
,,"Head load -Transport Cement, metal and sand","9","Man days","2,500","22,500",
,,,,,"Sub Total","174,875",
,,"Contingency (10%)",,,,"17,488",
,,,,,,"192,363",
"Forest Boundary Demarcation
(118 Boundary posts)","Kakkutumadiththa Reserve Forest","Purchase boundary posts (According to the FD approved design)","118","Boundary posts","4,500","531,000","2026"
,,"Loading boundary posts","2","Man days","2,500","5,000",
,,"Unloading boundary posts","2","Man days","2,500","5,000",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","2","2,500","2,500","5,000",
,,"Head load - Transport boundary posts to the forest boundary","59","Man days","2,500","147,500",
,,"Holing (500 mm x 200mm x 200)","12","Man days","2,500","30,000",
,,"Preparation field and erection","12","Man days","2,500","30,000",
,,"Cost of Cement, metal and sand","118","nr","375","44,250",
,,"Head load  -Transport Cement, metal and sand","48","Man days","2,500","120,000",
,,,,,"Sub Total","917,750",
,,"Contingency (10%)",,,,"91,775",
,,,,,,"1,009,525",
"Forest Boundary Maintenance (150 Boundary posts)","Kosgahalanda Reserve Forest","Clearing land around boundary posts (1m circle)","15","Man days","2,500","37,500","2025"
,,"Cleaning boundary posts","15","Man days","2,500","37,500",
,,"Painting boundary posts with Red and Yellow colours","11","Man days","2,500","27,500",
,,"Numbering boundary posts","2","Man days","2,500","5,000",
,,"Paint, Brushes and thinner","150","Lump sum","100","15,000",
,,,,,"Sub Total","122,500",
,,,,,,"12,250",
,,,,,"Total","134,750",
"Forest Boundary Maintenance 
(202 Boundary posts)","Millapokuna Reserve Forest","Clearing land around boundary posts (1m circle)","21","Man days","2,500","52,500","2025"
,,"Cleaning boundary posts","21","Man days","2,500","52,500",
,,"Painting boundary posts with Red and Yellow colours","15","Man days","2,500","37,500",
,,"Numbering boundary posts","3","Man days","2,500","7,500",
,,"Paint, Brushes and thinner","202","Lump sum","100","20,200",
,,,,,"Sub Total","170,200",
,,,,,,"17,020",
,,,,,"Total","187,220",
"Forest Boundary Maintenance
290 Boundary Posts - 11.6 Km)","Kakkutumadiththa Reserve Forest","Clearing land around boundary posts (1m circle)","29","Man days","2,500","72,500","2025"
,,"Cleaning boundary posts","29","Man days","2,500","72,500",
,,"Painting boundary posts with Red and Yellow colours","21","Man days","2,500","52,500",
,,"Numbering boundary posts","3","Man days","2,500","7,500",
,,"Paint, Brushes and thinner","290","Lump sum","100","29,000",
,,,,,"Sub Total","234,000",
,,,,,,"23,400",
,,,,,"Total","257,400",
"Forest Boundary Maintenance
(81 Boundary Posts -3.2 Km)","Ele Mukalana Reserve Forest","Clearing land around boundary posts (1m circle)","9","Man days","2,500","22,500","2025"
,,"Cleaning boundary posts","9","Man days","2,500","22,500",
,,"Painting boundary posts with Red and Yellow colours","6","Man days","2,500","15,000",
,,"Numbering boundary posts","1","Man days","2,500","2,500",
,,"Paint, Brushes and thinner","81","Lump sum","100","8,100",
,,,,,"Sub Total","70,600",
,,,,,,"7,060",
,,,,,"Total","77,660",
"Forest Restoration and maintenance
 (2 ha)","Ele Mukalana Reserve Forest","Surveying (1.5 Man days/ha)","3","Man days","2,500","7,500","2025"
,,"Seedling production 500 seedling / ha (12\" x 18\")","800","Seedlings","300","240,000",
,,"Transportation of seedlings to the site (300 Seedlings/ lorry load)","3","Lorry loads","7,500","22,500",
,,"Transportation of seedlings inside the field (5 Man days / ha)","10","Man days","2,500","25,000",
,,"Removal of Mana grasses and other unwanted bushes","30","Man days","2,500","150,000",
,,"Holing and planting (33 Man days /ha)","66","Man days","2,500","165,000",
,,"Fertilizer","80","Kg","300","24,000",
,,"Fertilizer application (9 Man days/ ha)","18","Man days","2,500","45,000",
,,"Vacancy Planting -Seedling cost (20%)","160","Seedlings","300","48,000","2026"
,,"Vacancy Planting - Holing & Planting (7 Man days)","14","Man days","2,500","35,000",
,,"Vacancy Planting (10%)- Seedling cost","80","Seedlings","300","24,000","2027"
,,"Vacancy Planting - Holing & Planting (4 Man days)","8","Man days","2,500","20,000",
,,"1st years 3 maintenance, 16 Man days, 3 times/yea","96","Man days","2,500","240,000","2026"
,,"2nd year 2 maintenance (2 times /year) 10 Man days","40","Man days","2,500","100,000","2027"
,,"3rd year 2 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000","2028"
,,"4th year 1 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000","2029"
,,"Fuel (Supervision)","1","Lump sum","80,000","80,000","2025-2026"
,,,,,"Sub Total","1,326,000",
,,"Contingency (10%)",,,,"132,600",
,,,,,"Total","1,458,600",
"Forest Restoration and maintenance 
(02 ha)","Kosgahalanda Reserve Forest","Surveying (1.5 Man days/ha)","3","Man days","2,500","7,500","2025"
,,"Seedling production 500 seedling / ha (12\" x 18\")","800","Seedlings","300","240,000",
,,"Transportation of seedlings to the site (300 Seedlings/ lorry load)","3","Lorry loads","7,500","22,500",
,,"Transportation of seedlings inside the field (5 Man days / ha)","10","Man days","2,500","25,000",
,,"Removal of Mana grasses and other unwanted bushes","30","Man days","2,500","150,000",
,,"Holing and planting (33 Man days /ha)","66","Man days","2,500","165,000",
,,"Fertilizer","80","Kg","300","24,000",
,,"Fertilizer application (9 Man days/ ha)","18","Man days","2,500","45,000",
,,"Vacancy Planting -Seedling cost (20%)","160","Seedlings","300","48,000","2026"
,,"Vacancy Planting - Holing & Planting (7 Man days)","14","Man days","2,500","35,000",
,,"Vacancy Planting (10%)- Seedling cost","80","Seedlings","300","24,000","2027"
,,"Vacancy Planting - Holing & Planting (4 Man days)","8","Man days","2,500","20,000",
,,"1st years 3 maintenance, 16 Man days, 3 times/yea","96","Man days","2,500","240,000","2026"
,,"2nd year 2 maintenance (2 times /year) 10 Man days","40","Man days","2,500","100,000","2027"
,,"3rd year 2 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000","2028"
,,"4th year 1 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000","2029"
,,"Fuel (Supervision)","1","Lump sum","80,000","80,000","2025-2029"
,,,,,"Sub Total","1,326,000",
,,"Contingency (10%)",,,,"132,600",
,,,,,"Total","1,458,600",
"Forest Restoration and maintenance (02 ha)","Millapokuna Reserve Forest","Surveying (1.5 Man days/ha)","3","Man days","2,500","7,500","2025"
,,"Seedling production 500 seedling / ha (12\" x 18\")","800","Seedlings","300","240,000",
,,"Transportation of seedlings to the site (300 Seedlings/ lorry load)","3","Lorry loads","7,500","22,500",
,,"Transportation of seedlings inside the field (5 Man days / ha)","10","Man days","2,500","25,000",
,,"Removal of Mana grasses and other unwanted bushes","30","Man days","2,500","150,000",
,,"Holing and planting (33 Man days /ha)","66","Man days","2,500","165,000",
,,"Fertilizer","80","Kg","300","24,000",
,,"Fertilizer application (9 Man days/ ha)","18","Man days","2,500","45,000",
,,"Vacancy Planting -Seedling cost (20%)","160","Seedlings","300","48,000","2026"
,,"Vacancy Planting - Holing & Planting (7 Man days)","14","Man days","2,500","35,000",
,,"Vacancy Planting (10%)- Seedling cost","80","Seedlings","300","24,000","2027"
,,"Vacancy Planting - Holing & Planting (4 Man days)","8","Man days","2,500","20,000",
,,"1st years 3 maintenance, 16 Man days, 3 times/yea","96","Man days","2,500","240,000","2026"
,,"2nd year 2 maintenance (2 times /year) 10 Man days","40","Man days","2,500","100,000","2027"
,,"3rd year 2 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000","2028"
,,"4th year 1 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000","2029"
,,"Fuel (Supervision)","1","Lump sum","80,000","80,000","2025-2026"
,,,,,"Sub Total","1,326,000",
,,"Contingency (10%)",,,,"132,600",
,,,,,"Total","1,458,600",
"Forest Restoration and maintenance
 (2 ha)","Ele Mukalana Reserve Forest","Surveying (1.5 Man days/ha)","3","Man days","2,500","7,500","2025"
,,"Seedling production 500 seedling / ha (12\" x 18\")","800","Seedlings","300","240,000",
,,"Transportation of seedlings to the site (300 Seedlings/ lorry load)","3","Lorry loads","7,500","22,500",
,,"Transportation of seedlings inside the field (5 Man days / ha)","10","Man days","2,500","25,000",
,,"Removal of Mana grasses and other unwanted bushes","30","Man days","2,500","150,000",
,,"Holing and planting (33 Man days /ha)","66","Man days","2,500","165,000",
,,"Fertilizer","80","Kg","300","24,000",
,,"Fertilizer application (9 Man days/ ha)","18","Man days","2,500","45,000",
,,"Vacancy Planting -Seedling cost (20%)","160","Seedlings","300","48,000","2026"
,,"Vacancy Planting - Holing & Planting (7 Man days)","14","Man days","2,500","35,000",
,,"Vacancy Planting (10%)- Seedling cost","80","Seedlings","300","24,000","2027"
,,"Vacancy Planting - Holing & Planting (4 Man days)","8","Man days","2,500","20,000",
,,"1st years 3 maintenance, 16 Man days, 3 times/yea","96","Man days","2,500","240,000","2026"
,,"2nd year 2 maintenance (2 times /year) 10 Man days","40","Man days","2,500","100,000","2027"
,,"3rd year 2 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000","2028"
,,"4th year 1 maintenance (Once only) 10 Man days","20","Man days","2,500","50,000","2029"
,,"Fuel (Supervision)","1","Lump sum","80,000","80,000","2025-2029"
,,,,,"Sub Total","1,326,000",
,,"Contingency (10%)",,,,"132,600",
,,,,,"Total","1,458,600",
"Establishment and maintenance of Bio Fence with Kithul and Areca nut (1,200 Plants – 3 Km)","Kosgahalanda Reserve Forest","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","1,200","Seedlings","50","60,000","2026"
,,"Transportation of seedlings (300/Lorry load)","4","-","5,000","20,000",
,,"Head transport of seedling within the site (5 Man days)","15","Man days","2,500","37,500",
,,"Holing and planting (33 Man days)","99","Man days","2,500","247,500",
,,"Protection, Covering with polyethene (1.5'x1.5'x3')-","1,200","Wooden boxes","150","180,000",
,,"Fertilizer (50 gr / Seedling)","60","Kg","300","18,000",
,,"Applying fertilizer (9 Man days/ha)","27","Man Days","2,500","67,500",
,,"Vacancy Planting -Seedling cost (20%)","240","Seedlings","50","12,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","21.0","man days","2,500","52,500",
,,"Vacancy Planting (10%)- Seedling cost","40","Seedlings","50","2,000","2028"
,,"Vacancy Planting - Holing & Planting (7 Man days)","11","Man days","2,500","27,500",
,,"1st years 3 maintenance, 10 Man days, 3 times/year","90","Man days","2,500","225,000","2026"
,,"2nd year 2 maintenance (2 times /year) 8 Man days","48","Man days","2,500","120,000","2027"
,,"3rd year 2 maintenance (Once only) 8 Man days","48","Man days","2,500","120,000","2028"
,,"4th year 1 maintenance (Once only) 12 Man days","30","Man days","2,500","75,000","2029"
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2026-2029"
,,,,,"Sub Total","1,274,500",
,,"Contingency (10%)",,,,"127,450",
,,,,,"Total","1,401,950",
"Establishment and maintenance of Bio Fence with Kithul and (Areca nut, 1,200 plants -
3 Km)","Millapokuna Reserve Forest","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","1,200","Seedlings","50","60,000","2026"
,,"Transportation of seedlings (300/Lorry load)","4","-","5,000","20,000",
,,"Head transport of seedling within the site (5 Man days)","15","Man days","2,500","37,500",
,,"Holing and planting (33 Man days)","99","Man days","2,500","247,500",
,,"Protection, Covering with polyethene (1.5'x1.5'x3')-","1,200","Wooden boxes","150","180,000",
,,"Fertilizer (50 gr / Seedling)","60","Kg","300","18,000",
,,"Applying fertilizer (9 Man days/ha)","27","Man Days","2,500","67,500",
,,"Vacancy Planting -Seedling cost (20%)","240","Seedlings","50","12,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","21.0","man days","2,500","52,500",
,,"Vacancy Planting (10%)- Seedling cost","40","Seedlings","50","2,000","2028"
,,"Vacancy Planting - Holing & Planting (7 Man days)","11","Man days","2,500","27,500",
,,"1st years 3 maintenance, 10 Man days, 3 times/year","90","Man days","2,500","225,000","2026"
,,"2nd year 2 maintenance (2 times /year) 8 Man days","48","Man days","2,500","120,000","2027"
,,"3rd year 2 maintenance (Once only) 8 Man days","48","Man days","2,500","120,000","2028"
,,"4th year 1 maintenance (Once only) 12 Man days","30","Man days","2,500","75,000","2029"
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2026-2029"
,,,,,"Sub Total","1,274,500",
,,"Contingency (10%)",,,,"127,450",
,,,,,"Total","1,401,950",
"Establishment and maintenance of Bio Fence with Kithul and Areca nut (1,200 Plants - 3 Km)","Kakkutumadiththa Reserve Forest","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","1,200","Seedlings","50","60,000","2026"
,,"Transportation of seedlings (300/Lorry load)","4","-","5,000","20,000",
,,"Head transport of seedling within the site (5 Man days)","15","Man days","2,500","37,500",
,,"Holing and planting (33 Man days)","99","Man days","2,500","247,500",
,,"Protection, Covering with polyethene (1.5'x1.5'x3')-","1,200","Wooden boxes","150","180,000",
,,"Fertilizer (50 gr / Seedling)","60","Kg","300","18,000",
,,"Applying fertilizer (9 Man days/ha)","27","Man Days","2,500","67,500",
,,"Vacancy Planting -Seedling cost (20%)","240","Seedlings","50","12,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","21.0","man days","2,500","52,500",
,,"Vacancy Planting (10% )- Seedling cost","40","Seedlings","50","2,000","2028"
,,"Vacancy Planting - Holing & Planting (7 Man days)","11","Man days","2,500","27,500",
,,"1st years 3 maintenance, 10 Man days, 3 times/year","90","Man days","2,500","225,000","2026"
,,"2nd year 2 maintenance (2 times /year) 8 Man days","48","Man days","2,500","120,000","2027"
,,"3rd year 2 maintenance (Once only) 8 Man days","48","Man days","2,500","120,000","2028"
,,"4th year 1 maintenance (Once only) 12 Man days","30","Man days","2,500","75,000","2029"
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2026-2029"
,,,,,"Sub Total","1,274,500",
,,"Contingency (10%)",,,,"127,450",
,,,,,"Total","1,401,950",
"Establishment and maintenance of Bio Fence with Kithul and Areca nut (400 plants 
1 Km)","Ele Mukalana Reserve Forest","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","400","Seedlings","50","20,000","2026"
,,"Transportation of seedlings (300/Lorry load)","2","-","5,000","10,000",
,,"Head transport of seedling within the site (5 Man days)","5","Man days","2,500","12,500",
,,"Holing and planting (33 Man days)","33","Man days","2,500","82,500",
,,"Protection, Covering with polyethene (1.5'x1.5'x3')-","400","Wooden boxes","150","60,000",
,,"Fertilizer (50 gr / Seedling)","20","Kg","300","6,000",
,,"Applying fertilizer (9 Man days/ha)","9","Man Days","2,500","22,500",
,,"Vacancy Planting -Seedling cost (20%)","80","Seedlings","50","4,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","7.0","man days","2,500","17,500",
,,"Vacancy Planting (10%)- Seedling cost","40","Seedlings","50","2,000","2028"
,,"Vacancy Planting - Holing & Planting (7 Man days)","4","Man days","2,500","10,000",
,,"1st years 3 maintenance, 10 Man days, 3 times/year","30","Man days","2,500","75,000","2026"
,,"2nd year 2 maintenance (2 times /year) 8 Man days","16","Man days","2,500","40,000","2027"
,,"3rd year 2 maintenance (Once only) 8 Man days","16","Man days","2,500","40,000","2028"
,,"4th year 1 maintenance (Once only) 12 Man days","10","Man days","2,500","25,000","2029"
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2026-2029"
,,,,,"Sub Total","437,000",
,,"Contingency (10%)",,,,"43,700",
,,,,,"Total","480,700",
"Establishment and maintenance of Fire Belt with “Hana” Plants 
(400 Plants – 1km)","Kosgahalanda Reserve Forest","Seedling Production (12\"x8\")","400","Seedlings","50","20,000","2026"
,,"Transportation of seedlings to the site,(300 Seedlings / Lorry load)","2","Lorry loads","7,500","15,000",
,,"loading and unloading (300 plants/ Man day)","2","Man days","2,500","5,000",
,,"Seedling transportation within the field (1000/6 Man days)","3","Man days","2,500","7,500",
,,"Clearing the land and holing and planting (1000 plants/25 Man days)","10","Man days","2,500","25,000",
,,"Fertilizer (100g /plant)","40","Kg","300","12,000",
,,"Applying fertilizer (5 Man days /1000 plants)","2","Man days","2,500","5,000",
,,"Vacancy Planting -Seedling cost (20%)","80","Seedlings","300","24,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","7","man days","2,500","17,500",
,,"Vacancy Planting (10%)- Seedling cost","40","Seedlings","300","12,000","2028"
,,"Vacancy Planting - Holing & Planting (4 Man days)","4","Man days","2,500","10,000",
,,"(1st years 3 maintenance,","36","Man days","2,500","90,000","2027"
,,"2nd year 2 maintenance,","24","Man days","2,500","60,000","2028"
,,"3rd year 2 maintenance,","24","Man days","2,500","60,000","2029"
,,"4th year 1 maintenance)","12","Man days","2,500","30,000","2030"
,,"Fuel (Supervision)","1","Lump sum","60,000","60,000","2026-2030"
,,,,,"Sub Total","453,000",
,,"Contingency (10%)",,,,"45,300",
,,,,,"Total","498,300",
"Establishment and maintenance of Fire Belt with “Hana” Plants (800 Plants – 2km)","Millapokuna Reserve Forest","Seedling Production (12\"x8\")","800","Seedlings","50","40,000","2026"
,,"Transportation of seedlings to the site, (300 Seedlings / Lorry load)","3","Lorry loads","7,500","22,500",
,,"loading and unloading (300 plants/ Man day)","3","Man days","2,500","7,500",
,,"Seedling transportation within the field (1000/6 Man days)","5","Man days","2,500","12,500",
,,"Clearing the land and holing and planting (1000 plants/25 Man days)","20","Man days","2,500","50,000",
,,"Fertilizer (100g /plant)","80","Kg","300","24,000",
,,"Applying fertilizer (5 Man days /1000 plants)","4","Man days","2,500","10,000",
,,"Vacancy Planting -Seedling cost (20%)","160","Seedlings","300","48,000","2027"
,,"Vacancy Planting - Holing & Planting (7 Man days)","14","man days","2,500","35,000",
,,"Vacancy Planting (10%)- Seedling cost","80","Seedlings","300","24,000","2028"
,,"Vacancy Planting - Holing & Planting (4 Man days)","8","Man days","2,500","20,000",
,,"(1st years 3 maintenance,","72","Man days","2,500","180,000","2027"
,,"2nd year 2 maintenance,","48","Man days","2,500","120,000","2028"
,,"3rd year 2 maintenance,","48","Man days","2,500","120,000","2029"
,,"4th year 1 maintenance)","24","Man days","2,500","60,000","2030"
,,"Fuel (Supervision)","1","Lump sum","60,000","60,000","2026-2030"
,,,,,"Sub Total","833,500",
,,"Contingency (10%)",,,,"83,350",
,,,,,"Total","916,850",
"Distribute woody & fruit Plants to the families around the forest (300 Plants)","Around Kosgahalanda Reserve Forest","Purchasing fruit plants (9\"x6\")","300","Seedlings","300","90,000","2026"
,,"Production of Seedlings (9\"x6”) (Forest plants)","900","Seedlings","50","45,000",
,,"Loading                                             (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",
,,"Unloading                          (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",
