"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-008-1","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","ON OFF Site","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,,"N or X","E or Y",,,,,,
"1","1003","Udamailapitiya South","1. Development of natural drain - Alawaththaketiya Kandura","4","OFF","7.2129407.218444","80.75610180.764013","500 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"2. Development of natural drain - Mallapokona Kandura","4","OFF","7.213018","80.757158","500 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"50,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"3. Development of natural drain - Keppetiyawa Kandura","4","OFF","7.22109","80.758112","150 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"15,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
"Sub Total","115,000",,,,,,,,,,,,
"2","1005","Patha Mailapitiya North","1. Developemnt of natural dain - Akkara 5 Kandura","3","OFF","7.244801","80.753467","300 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"30,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"2. Developemnt of natural dain - Samurdhi Mawatha Kandura","1","OFF","7.237578","80.757065","800 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"80,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"3. Developemnt of natural dain - Galdiya Kandura","5","OFF","7.237769","80.750322","800 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"80,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
"Sub Total","190,000",,,,,,,,,,,,
"3","1019","Poththagoda","1. Developemnt of natural dain - Mullahena Kandura","3","OFF","7.199382","80.750933","700 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"70,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"2. Developemnt of natural dain - Thikaththawela Kandura","4","OFF","7.198716","80.751806","60 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"6,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"3. Developemnt of natural dain - Pothgoda Kandura","3","OFF","7.194358","80.751681","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"20,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"5. Establishing a retaining wall - Thikaththawela Pahala Wewa","3","OFF","7.199109","80.751476","20 m x 3 m","Retaining Wall (Concrete)",,"2,332,000","By the project","0.25 Years"
,,,"6. Establishing a retaining wall - Thikaththawela","1","OFF","7.199257","80.750615","6 m x 3 m","Retaining Wall (Concrete)",,"704,000","By the project","0.25 Years"
"Sub Total","3,132,000",,,,,,,,,,,,
"4","1020","Neelawala","1. Developemnt of natural dain - Kandura near Neelawala Devalaya","1","OFF","7.187487","80.741621","2350 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"235,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"2. Developemnt of natural dain - Pihiathala Kandura 1","5","OFF","7.187526","80.741049","1.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"150,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
