No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost Per GN (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,1003,Udamailapitiya South,1. Development of natural drain - Alawaththaketiya Kandura,4,1,7.21294,80.756101,500 m,Clearing and planting some trees along the banks (Aracanut),,"50,000.00",,Labour and other basic services by the Local community,0.25 Years
2,1003,Udamailapitiya South,,1,,7.218444,80.764013,,,,,,,
3,1003,Udamailapitiya South,2. Development of natural drain - Mallapokona Kandura,4,1,7.213018,80.757158,500 m,Clearing and planting some trees along the banks (Aracanut),,"50,000.00",,Labour and other basic services by the Local community,0.25 Years
4,1003,Udamailapitiya South,3. Development of natural drain - Keppetiyawa Kandura,4,1,7.22109,80.758112,150 m,Clearing and planting some trees along the banks (Aracanut),,"15,000.00",,Labour and other basic services by the Local community,0.25 Years
5,1003,Udamailapitiya South,4. Soil conservation practices - Alawaththaketiya (75°),3,1,7.213243,80.7575502,3 ha,Live fencing/SALT,250.00 m-1,"750,000.00",,Labour and other basic services by the Local community,0.25 Years
6,1003,Udamailapitiya South,,1,2,7.214036,80.758544,2 ha,Live fencing/SALT,250.00 m-1,"500,000.00",,,
7,1003,Udamailapitiya South,5. Soil conservation practices - Millapokuna (40°),5,1,7.214648,80.759287,2 ha,Live fencing/SALT,250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.25 Years
8,1003,Udamailapitiya South,6. Soil conservation practices - Alawaththaketiya (75°),1,1,7.212947,80.755531,26 ha,Live fencing/SALT,250.00 m-1,"6,500,000.00",,Labour and other basic services by the Local community,0.25 Years
9,1003,Udamailapitiya South,7. Soil conservation practices - Keppetiyawa (70°),4,1,7.22145,80.757904,14 ha,Live fencing/SALT,250.00 m-1,"3,500,000.00","11,865,000.00",Labour and other basic services by the Local community,0.25 Years
10,1005,Patha Mailapitiya North,1. Developemnt of natural dain - Akkara 5 Kandura,3,1,7.244801,80.753467,300 m,Clearing and planting some trees along the banks (Aracanut),,"30,000.00",,Labour and other basic services by the Local community,0.25 Years
11,1005,Patha Mailapitiya North,2. Developemnt of natural dain - Samurdhi Mawatha Kandura,1,1,7.237578,80.757065,800 m,Clearing and planting some trees along the banks (Aracanut),,"80,000.00",,Labour and other basic services by the Local community,0.25 Years
12,1005,Patha Mailapitiya North,3. Developemnt of natural dain - Galdiya Kandura,5,1,7.237769,80.750322,800 m,Clearing and planting some trees along the banks (Aracanut),,"80,000.00",,Labour and other basic services by the Local community,0.25 Years
13,1005,Patha Mailapitiya North,4. Soil conservation practices - No. 4 (40 - 65°),5,1,7.24509,80.75298,16 ha,Live fencing/SALT,250.00 m-1,"4,000,000.00",,Labour and other basic services by the Local community,0.5 Years
14,1005,Patha Mailapitiya North,,1,2,7.248677,80.750718,4 ha,Live fencing/SALT,250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
15,1005,Patha Mailapitiya North,5. Soil conservation practices - Galliinda (30°,3,1,7.237892,80.750297,9 ha,Lock and spills,400.00 m-1,"3,600,000.00",,Labour and other basic services by the Local community,0.25 Years
16,1005,Patha Mailapitiya North,6. Soil conservation practices - Other (35°),4,1,7.234364,80.746473,2.25 ha,Lock and spills,400.00 m-1,"900,000.00","9,690,000.00",Labour and other basic services by the Local community,0.25 Years
17,1019,Poththagoda,1. Developemnt of natural dain - Mullahena Kandura,3,1,7.199382,80.750933,700 m,Clearing and planting some trees along the banks (Aracanut),,"70,000.00",,Labour and other basic services by the Local community,0.25 Years
18,1019,Poththagoda,2. Developemnt of natural dain - Thikaththawela Kandura,4,1,7.198716,80.751806,60 m,Clearing and planting some trees along the banks (Aracanut),,"6,000.00",,Labour and other basic services by the Local community,0.25 Years
19,1019,Poththagoda,3. Developemnt of natural dain - Pothgoda Kandura,3,1,7.194358,80.751681,200 m,Clearing and planting some trees along the banks (Aracanut),,"20,000.00",,Labour and other basic services by the Local community,0.25 Years
20,1019,Poththagoda,4. Soil conservation practices (45°),1,1,7.19668,80.747564,5 ha,Live fencing/SALT,250.00 m-1,"1,250,000.00",,Labour and other basic services by the Local community,0.25 Years
21,1019,Poththagoda,5. Establishing a retaining wall - Thikaththawela Pahala Wewa,3,1,7.199109,80.751476,20 m x 3.5 m,Retaining wall,"2,000.00 m-2","140,000.00",,Labour and other basic services by the Local community,0.25 Years
22,1019,Poththagoda,6. Establishing a retaining wall - Thikaththawela,1,1,7.199257,80.750615,6 m x 3 m,Retaining wall,"2,000.00 m-2","36,000.00","1,522,000.00",Labour and other basic services by the Local community,0.25 Years
23,1020,Neelawala,1. Developemnt of natural dain - Kandura near Neelawala Devalaya,1,1,7.187487,80.741621,2350 m,Clearing and planting some trees along the banks (Aracanut),,"235,000.00",,Labour and other basic services by the Local community,0.25 Years
24,1020,Neelawala,2. Developemnt of natural dain - Pihiathala Kandura 1,5,1,7.187526,80.741049,1.5 km,Clearing and planting some trees along the banks (Aracanut),,"150,000.00",,Labour and other basic services by the Local community,0.25 Years
25,1020,Neelawala,3. Developemnt of natural dain - Pihiathala Kandura 2,1,1,7.190599,80.739448,400 m,Clearing and planting some trees along the banks (Aracanut),,"40,000.00",,Labour and other basic services by the Local community,0.25 Years
26,1020,Neelawala,4. Developemnt of natural dain - Pihiathala Kandura 3,5,1,7.191039,80.739794,400 m,Clearing and planting some trees along the banks (Aracanut),,"40,000.00",,Labour and other basic services by the Local community,0.25 Years
27,1020,Neelawala,5. Developemnt of natural dain - Pihiathala Kandura 4,5,1,7.191346,80.740012,400 m,Clearing and planting some trees along the banks (Aracanut),,"40,000.00",,Labour and other basic services by the Local community,0.25 Years
28,1020,Neelawala,6. Developemnt of natural dain - Havan Madiththa Kandura,4,1,7.188415,80.752867,100 m,Clearing and planting some trees along the banks (Aracanut),,"10,000.00",,Labour and other basic services by the Local community,0.25 Years
29,1020,Neelawala,7. Soil conservation practices - Pihathalawa (60 - 80°),1,1,7.187839,80.739298,10 ha,Live fencing/SALT,250.00 m-1,"2,500,000.00",,Labour and other basic services by the Local community,0.25 Years
30,1020,Neelawala,,5,2,7.188602,80.739591,2.25 ha,Live fencing/SALT,250.00 m-1,"562,500.00",,Labour and other basic services by the Local community,0.25 Years
31,1020,Neelawala,,1,3,7.189273,80.739657,6 ha,Live fencing/SALT,250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.25 Years
32,1020,Neelawala,,5,4,7.189699,80.73958,0.5 ha,Live fencing/SALT,250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
33,1020,Neelawala,8. Soil conservation practices - Pihathalawa Tigolgoda (65 - 70°),5,1,7.191497,80.740229,17 ha,Live fencing/SALT,250.00 m-1,"4,250,000.00",,Labour and other basic services by the Local community,0.25 Years
34,1020,Neelawala,,5,2,7.192989,80.74096,17 ha,Live fencing/SALT,250.00 m-1,"4,250,000.00",,Labour and other basic services by the Local community,0.25 Years
35,1020,Neelawala,9. Soil conservation practices - Neelawala Polwaththa (35°),1,1,7.190304,80.745855,5 ha,Lock and spills,400.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.25 Years
36,1020,Neelawala,10. Soil conservation practices - Ethpanthiya Waththa (30°),1,1,7.190957,80.748479,2 ha,Lock and spills,400.00 m-1,"800,000.00",,Labour and other basic services by the Local community,0.25 Years
37,1020,Neelawala,11. Establishing a retaining wall,2,1,7.190387,80.748812,20 m x 2 m,Retaining wall,"2,000.00 m-2","80,000.00","16,582,500.00",Labour and other basic services by the Local community,0.25 Years
38,1021,Kahambiliyawa,1. Developemnt of natural dain - Kahambiliyawa Kandura 1,5,2,7.18858,80.75758,200 m,Clearing and planting some trees along the banks (Aracanut),,"20,000.00",,Labour and other basic services by the Local community,0.25 Years
39,1021,Kahambiliyawa,2. Developemnt of natural dain - Kahambiliyawa Kandura 2,4,2,7.188698,80.757592,100 m,Clearing and planting some trees along the banks (Aracanut),,"10,000.00",,Labour and other basic services by the Local community,0.25 Years
40,1021,Kahambiliyawa,3. Soil conservation practices - Rajasingha Nursery School (70°),3,1,7.18981,80.757265,0.5 ha,Live fencing/SALT,250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
41,1021,Kahambiliyawa,4. Soil conservation practices - Area above the Hunuwatawala Ela (30°),1,1,7.191268,80.75797,1.25 ha,"Lock and spills
Planting trees ",400.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.25 Years
42,1021,Kahambiliyawa,5. Soil conservation practices - Kahambiliyawa (30°),2,1,7.186334,80.752447,10 ha,Lock and spills,400.00 m-1,"4,000,000.00",,Labour and other basic services by the Local community,0.25 Years
43,1021,Kahambiliyawa,6. Soil conservation in Kurudiya Forest Reserve,2,1,7.188341,80.759748,0.5 ha,Planting trees,,"50,000.00","4,705,000.00",Labour and other basic services by the Local community,0.25 Years
44,1024,Unuvinna East,1. Developemnt of natural dain - Kandura near Pwer Station,5,1,7.2087,80.767099,1 km,Clearing and planting some trees along the banks (Aracanut),,"100,000.00",,Labour and other basic services by the Local community,0.25 Years
45,1024,Unuvinna East,2. Developemnt of natural dain - Asweduma Kandura,4,1,7.207132,80.768327,1 km,Clearing and planting some trees along the banks (Aracanut),,"100,000.00",,Labour and other basic services by the Local community,0.25 Years
46,1024,Unuvinna East,3. Soil conservation practices - Magahamadiththa (50°),4,1,7.208601,80.761755,12 ha,Live fencing/SALT,250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,0.25 Years
47,1024,Unuvinna East,4. Soil conservation practices - Ele Mukalana (70°),1,1,7.205088,80.769034,7 ha,Live fencing/SALT,250.00 m-1,"1,750,000.00",,Labour and other basic services by the Local community,0.25 Years
48,1024,Unuvinna East,5. Soil conservation practices - Pallema Oya (70°),4,1,7.210367,80.767393,18 ha,Live fencing/SALT,250.00 m-1,"4,500,000.00","9,450,000.00",Labour and other basic services by the Local community,0.25 Years
49,1025,Unuvinna West,1. Developemnt of natural dain - Hunukotawela Kandura,4,1,7.190253,80.762076,2 km,Clearing and planting some trees along the banks (Aracanut),,"200,000.00",,Labour and other basic services by the Local community,0.25 Years
50,1025,Unuvinna West,2. Soil conservation practices - Munamale (60°),4,1,7.200566,80.756105,0.5 ha,Live fencing/SALT,250.00 m-1,"125,000.00",,Labour and other basic services by the Local community,0.25 Years
51,1025,Unuvinna West,3. Soil conservation practices - Unuvinna School (65°),5,1,7.196817,80.759989,0.75 ha,Live fencing/SALT,250.00 m-1,"187,500.00",,Labour and other basic services by the Local community,0.25 Years
52,1025,Unuvinna West,4. Soil conservation practices - Hunukotawela (80°),5,1,7.193058,80.764443,1.5 ha,Live fencing/SALT,250.00 m-1,"375,000.00","887,500.00",Labour and other basic services by the Local community,0.25 Years
