"Table 5.26: Proposed interventions MWS-008-2 of the Deltota Divisional Secretariat","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Distribute 300 woody & fruit Plants to the families around the forest","Around Bopitiya Pinus Plantation","Purchasing fruit plants (9\"x6\")","300","Seedlings","300","90,000","2025"
,,"Production of Seedlings ( 9\"x6\") (Forest plants)","900","Seedlings","50","45,000",
,,"Loading (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",
,,"Unloading (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",
,,"Transportation and distribution (2000 Seedling/Lorry load)","1","Lorry load","7,500","7,500",
,," "," "," ","Sub Total","147,500",
,,"Contingency (10%)"," "," "," ","14,750",
,," "," "," ","Total","162,250",
"Conduct 05 Awareness Programs","Around Bopitiya Pinus Plantation","Refreshments","250","Packs","400","100,000","2025"
,,"Fuel (Rs 3,750/programs) - Two visits ( for organizing and conducting program)","10","Lump sum","3,750","37,500",
,,"Stationaries (file covers/ Handouts)","5","Lump sum","2,500","12,500",
,," "," "," ","Sub total","150,000",
,,"Contingency (10%)"," "," "," ","15,000",
,," "," "," ","Total","165,000",
"Erect 01 display board","Around Bopitiya Pinus Plantation","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","1","Boards","24,250","24,250","2025"
,,"Transportation of boards","1","Truck load","5,000","5,000",
,,"Metal, Sand and Cement mixture for erection of board","1","Lump sum","750","750",
,,"Fixing Boards
(2 Man days/Board)","2","Man days","2,500","5,000",
,," "," "," ","Sub Total","35,000",
,,"Contingency (10%)"," "," "," ","3,500",
,," "," "," ","Total","38,500",
"Watershed Conservation around streams 100 Plants (DS)","Along Maoya","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","100","Seedlings","300","30,000","2025"
,,"Transportation of seedlings (300/Lorry load)","1","-","5,000","5,000",
,,"Head transport of seedling within the site (5 Man days)","3","Man days","2,500","7,500",
,,"Holing and planting (33 Man days)","17","Man days","2,500","41,250",
,,"Protection wooden structures-\"Koodu\" (1.5'x1.5'x5')-","100","Wooden boxes","250","25,000",
,,"Fertilizer
(110 gr / Seedling)","10","Kg","300","3,000",
,,"Applying fertilizer
(9 Man days/ha)","5","Man Days","2,500","11,250",
,,"Vacancy Planting -Seedling cost (20%)","20","Seedlings","300","6,000","2026"
,,"Vacancy Planting - Holing & Planting
(7 Man days)","4.0","Man days","2,500","10,000",
,,"Vacancy Planting (10% )- Seedling cost","20","Seedlings","300","6,000","2027"
,,"Vacancy Planting - Holing & Planting (
7 Man days)","2","Man days","2,500","5,000",
,,"1st years
3 maintenance, 12Man days,
3 times/year","18","Man days","2,500","45,000","2026"
,,"2nd year
2 maintenance
(2 times /year)
10 Man days","10","Man days","2,500","25,000","2027"
,,"3rd year
2 maintenance (Once only)
8 Man days","10","Man days","2,500","25,000","2028"
,,"4th year
1 maintenance (Once only)
12 Man days","6","Man days","2,500","15,000","2029"
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2025-2029"
,," "," "," ","Sub Total","270,000",
,,"Contingency"," "," "," ","27,000",
,," "," "," ","Total","297,000",
"Restoration of tank reservation","Wanahapuwa tank reservation","Producing 100 seedlings (12\"x18”) (Kumbuk and Mee)","300","Seedlings","300","90,000","2025"
,,"Transportation of seedlings (300/Lorry load)","1","-","5,000","5,000",
,,"Head transport of seedling within the site (5 Man days)","8","Man days","2,500","20,000",
,,"Holing and planting (33 Man days)","50","Man days","2,500","123,750",
,,"Protection wooden structures-\"Koodu\" (1.5'x1.5'x5')-","300","Wooden boxes","250","75,000",
,,"Fertilizer
(110 gr / Seedling)","30","Kg","300","9,000",
,,"Applying fertilizer
(9 Man days/ha)","14","Man Days","2,500","33,750",
,,"Vacancy Planting -Seedling cost (20%)","60","Seedlings","300","18,000","2026"
,,"Vacancy Planting - Holing & Planting
(7 Man days)","11.0","Man days","2,500","27,500",
,,"Vacancy Planting (10% )- Seedling cost","20","Seedlings","300","6,000","2027"
,,"Vacancy Planting - Holing & Planting
(7 Man days)","6","Man days","2,500","15,000",
,,"1st years
3 maintenance, 12Man days,
3 times/year","54","Man days","2,500","135,000","2026"
,,"2nd year
2 maintenance
(2 times /year)
10 Man days","30","Man days","2,500","75,000","2027"
,,"3rd year
maintenance (Once only) 8 Man days","30","Man days","2,500","75,000","2028"
,,"4th year
1 maintenance (Once only)
12 Man days","18","Man days","2,500","45,000","2029"
,,"Fuel cost (Supervision)","1","Lump sum","10,000","10,000","2025-2029"
,," "," "," ","Sub Total","763,000",
,,"Contingency"," "," "," ","76,300",
,," "," "," ","Total","839,300",
"Establishment and maintenance of fire Belt with “Hana” plants - (Two rows in a zig zag arrangement- (1 Km)","Bopitiya Pinus Plantation","Seedling Production (12\"x8\")","600","Seedlings","100","60,000","2025"
,,"Transportation of seedlings to the site, (300 Seedlings / Lorry load)","2","Lorry loads","7,500","15,000",
,,"loading and unloading (300 plants/ Man day)","2","Man days","2,500","5,000",
,,"Seedling transportation within the field (1000/6 Man days)","4","Man days","2,500","10,000",
,,"Clearing the land, holing and planting (1000 plants/15 Man days)","15","Man days","2,500","37,500",
,,"Protective net /plant (repurposed fishnet)","600","Net","60","36,000",
,,"Vacancy Planting -Seedling cost (20%) - Plant cost includes transportation, loading, unloading, transportation within the site","120","Seedlings","150","18,000","2026"
,,"Vacancy Planting - Holing & Planting (7 Man days)","7","Nan days","2,500","17,500",
,,"1st year 3 maintenance,","60","Man days","2,500","150,000",
,,"Repairing protective net","200","Net","60","12,000",
,," "," "," ","Sub Total","349,000",
,,"Contingency (10%)"," "," "," ","34,900",
,," "," "," ","Total","383,900",
"Boundary demarcation (DS)","Kele tank reservation","Purchase boundary posts","40","Boundary posts","4,500","180,000","2025"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
