"Table 5.28: GNDs in MWS-008-2","","","","","","","","","","",""
"X","GN Division","Extent ha","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8"
,,"2024","2025","2026","2027","2028",,,,,
,,"RP","DP","RP","DP","RP","DP","RP","DP","RP","DP"
"1021","Bopitiya Nawa Nagaraya","01","01","01","01","01","01","01","-","-","01"
"1020","Kiriwanaketiya","01","02","-","01",".5","01","-","01","-","01"
"1005","Nawaneliya",".5",".5","-",".5","01",".5","01","--","01",".5"
"1019","Pattiyagama Pallegama","01","01","01","01","-","-","01","01","01","-"
"1024","Wanahapuwa","01","01","01","01","01","01","01","01","-","-"
"1025","Kolombissa West",".5",".5",".5",".5","01","-","01","-","01",".5"
,"Total","05","06","3.5","05","4.5","3.5","05","03","03","03"
