"Table 5.3: Key OFF FARM activities proposed for soil and water conservation in MWS-008-2","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N or X","E or Y",,,,,
"1","1026","Nawaneliya","1. Development of natural drains - Kandura near the house of Mr. Dissanayake","5","7.165474","80.729414","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Development of natural drains - Yakkawana Kandura","1","7.170761","80.732059","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Development of natural drains - Kandura near EDO Office","3","7.168365","80.729005","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","300,000",,,,,,,,,,
"2","1027","Kirivanaketiya","1. Development of natural drains - Kandura near Malaboda Forest reserve","4","7.179496","80.736173","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Development of natural drains - Kele Tankiya Kandura I","5, 4","7.1757567.177732","80.73718480.735544","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Development of natural drains - Kele Tankiya Kandura II","4,5","7.17511187.177249","80.73524280.734448","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Development of natural drains - Gomadiya Pokuna Tankiya Kandura","5","7.178028","80.733524","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Development of natural drains - Kandura near Janawasama I","1","7.177696","80.732426","50 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","5,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
