"Table 5.11: Total Cost Estimate for Stream Reservation Proposals","","","","",""
"GND No","Scheme","Problem to be addressed   Recommendation","N","E","Estimated Cost"
"499","Hali Ela Narangasthenna stream","Soil erosion of land on both sides(500m). Recommend 1. Construct (2mx2mx1m) Three SABO- boulder dams across the stream where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 600 m2.","7.14278","80.733868","664,560"
"499","Divulgate stream","Soil erosion of land on both sides(500m). Recommend 1. Construct (2mx2mx1m) Three SABO- boulder dams across the stream where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 700 m2.","7.144242","80.632216","736,320"
"499","Greatweliya Waththa towards Wanahapuwa tank","Soil erosion of land on both sides(500m). Recommend 1. Construct (2mx2mx1m) Three SABO- boulder dams across the stream where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.","7.141193","80.730705","592,800"
"499C","Daara Oya sub stream","Soil erosion of land on both sides(100m). Recommend 1. To repair existing 1mx1mx1m x100m long leader drain 2. Areca nut rows and vetiver grass with pepper or betel cultivation strip of 1m wide and 200m long.","7.121564","80.734288","108,550"
"499C","Daara oya","Soil erosion of land on both sides(200m) and endangering the bridge. Recommend 1. Areca nut rows and vetiver grass with pepper or betel cultivation strip of 1m wide and 200m long. 2. Construct (3mx2mx1m) two SABO- boulder dams across the stream where canal is steep 3. make dense planting of mixed vegetation of 200 sq.m comprising Riparian varieties / Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval and maintain for six months","7.120905","80.734843","440,700"
"499D","Watastenna Daara Oya","Soil erosion of land on both sides(1.4km). Recommend 1.to make dense planting of mixed vegetation comprising Riparian varieties / Areca nut trees /Kithul/Coconut/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 1200 m2 3. Construct (3mx2mx1m) three SABO- boulder dams across the stream where canal is steep","7.125428","80.74003","1,184,040"
"499E","Arawe kandura","Soil erosion of land on both sides(800m). Recommend to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 400m long.","7.13885","80.739536","122,200"
"499E","Uda Ela kadura","Soil erosion of land on both sides(500m). Recommend 1. to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 300m long. 2. To construct (2mx2mx1m) two SABO- boulder dams","7.14197","80.73955","247,650"
"499F","Bambaragama stream 1","Soil erosion of land on both sides(600m). Recommend 1. to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 500m long. 2. Construct two numbers of SABO dams of 3mx2mx1m.","7.136079","80.733765","539,500"
"499F","Stream of Neluwa springs","Soil erosion of land on both sides(300m). Recommend 1. to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 300m long.","7.135233","80.735586","183,300"
