"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-009 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","499","Bambaragama","1. Soil conservation practices - Gedarakumbura (70°)","4","7.138633","80.734611","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Gedarakumbura (65°)","1","7.139339","80.735123","6.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,700,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Delumgaha Kotuwa (40°)","2","7.143206","80.735280","1.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","300,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,500,000",,,,,,,,,,,
"2","499E","Bambaragama East","1. Soil conservation practices - Arawelanda (70°)","4","7.139631","80.736897","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Arawelanda  (80°)","5","7.137713","80.739716","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Arawelanda  (90°)","4","7.137219","80.740205","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,200,000",,,,,,,,,,,
"3","499F","Bambaragama West","1. Soil conservation practices - Mukalana reservation (65°)","1","7.139039","80.729900","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Bambaragama West (65°)","3","7.136","80.733783","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Digapathana (70°)","1","7.133987","80.736622","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Bambaragama West (75°)","1","7.134781","80.734830","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Bambaragama West (40°)","1","7.139323","80.732595","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Bambaragama West (75°)","5","7.135372","80.731303","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,300,000",,,,,,,,,,,
"4","500","Bowala","1. Soil conservation practices - Uda Bowala (55°)","2","7.149084","80.734066","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Uda Bowala (35°)","3","7.148771","80.733413","2.8 ha","Lock and spills and live fencing/SALT and stone terracing, as applied","400 m-1","1,120,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,620,000",,,,,,,,,,,
"5","499C","Daraoya","1. Soil conservation practices - Daraoya Gama (60°)","4","7.126295","80.736577","40 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Daraoya Gama (50°)","4","7.125962","80.736063","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Daraoya Gama (55°)","5","7.125966","80.734","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Akkara 100 Gama (65°)","4","7.119385","80.737504","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,175,000",,,,,,,,,,,
"6","503","Gannewa Udagama","1. Soil conservation practices - Gannewa Udagama (65°)","2","7.138657","80.721672","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Gannewa Udagama (40°)","1","7.138732","80.722961","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","1,750,000",,,,,,,,,,,
"7","499A","Handawalapitiya","1. Soil conservation practices - Handawalapitiya (65°)","4","7.126854","80.737379","1.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","300,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Handawalapitiya School (60°)","3","7.127639","80.737314","0.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","100,000","Labour and other basic services by the Local community","0.25 Years"
