"Table 5.29: Three plan MWS-009","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2025","2026","2027",,,
,,"RP","DP","RP","DP","RP","DP"
"501 A","Bulugahapitiya","1","1","-","1","1","1"
"502 B","Diggalpotta","1","2","1","1","1","1"
"502","Ekiriya","1.5","1","1","1","1","1"
"501 E","Enasal Arawa","1","1.5","1","1","1","1"
"502 A","Hapugasdeniya","1","1","0.5","1","0.5","1"
"499 B","Karamidula","1","1.5","1.5","2","1","1"
"501 D","Kawatayamana","1","1","1.5","1","0.5","1"
"500 D","Kosgaha Debala","1.5","2","1","1.5","1","1"
"498 F","Labuhena","1","2","1","1.5","0.5","1"
"501 C","Madumana 2","1.5","2","1","2","1","1.5"
"498 C","Makempe","1","2","1","1.5","1","1"
"498 A","Poramadulla","1","1","1","1",".5","1"
"498 E","Puranagama","1","1.5","1","1","1","1"
"498","Wegama","1.5","2","1","1.5","0.5","1"
,"Total","16","21.5","13.5","18","11.5","14.5"
