"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-009 belongs to Hanguranketha DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","499","Bambaragama","1. Renovation of natural drains - Hali Ela Narangasthenna torrent (Kandura)","1","7.14278","80.733868","1.5 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Diwulgete torrent (Kandura)","1","7.144242","80.632216","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Hethbewe torrent (Kandura)","4","7.141193","80.730705","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Establishing a reatining wall","1","7.139369","80.734907","5 m x 3 m","Retaining Wall (Concrete)","588,500","By the project","0.25 Years"
"Sub Total","1,188,500",,,,,,,,,,
"2","499E","Bambaragama East","1. Renovation of natural drains - Arawe Kandura","4","7.13885","80.739536","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","120,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Uda Ela Kadura","3","7.14197","80.739550","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","320,000",,,,,,,,,,
"3","499F","Bambaragama West","1. Renovation of natural drains - Torrent/Kandura","3","7.136079","80.733765","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent from Neluwa spring","4","7.135233","80.735586","900 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","90,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Hapugasdowa torrent/Kandura","3","7.132363","80.736575","800 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","80,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Galpeille Oya","4","7.135703","80.734311","800 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","80,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Heendheduwa torrent/Kandura","5","7.136884","80.732887","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Construction of a retaining wall - Heendheduwa torrent/Kandura","5","7.136884","80.732887","400 m x 2 m","Retaining Wall (Masonary)","17,600,000","By the project","0.5 Years"
,,,"7. Rehabilitation of retaining wall - Bokotuwe Viharaya","3","7.137871","80.732505","30 m x 2 m","Retaining Wall (Masonary)","1,320,000","By the project","0.25 Years"
"Sub Total","19,570,000",,,,,,,,,,
"4","500","Bowala","1. Renovation of natural drains - Udapitiya Arawa","5","7.15014","80.73601","1.1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","110,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Hel Arawa","5","7.147386","80.734954","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","250,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Kuda Oya","2","7.145523","80.736379","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Udagahamadiththa torrent/kandura","1","7.14124","80.732136","3.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","350,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Uda Patti Arawa torrent/kandura","3","7.153034","80.73701","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Establishing a retaining wall - Kadurata sewing center","1","7.150467","80.734474","40 m x 2 m","Retaining Wall (Masonary)","1,760,000","By the project","0.25 Years"
"Sub Total","2,920,000",,,,,,,,,,
"5","499C","Daraoya","1. Renovation of natural drains - Torrent near Daraoya","3","7.121564","80.734288","150 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","15,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Daraoya","3","7.120905","80.734843","250 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","25,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","40,000",,,,,,,,,,
"6","503","Gannewa Udagama","1. Renovation of natural drains - Torrent/kandura from Udagama Colony","4","7.137349","80.723169","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Seasonal torrent/kandura near the above torrent","4","7.137349","80.723169","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Torrent/kandura created from the two above torrents","4","7.137349","80.723169","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Torrent/kandura near the Palle Maussawa Oya","1","7.138506","80.720242","175 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","17,500","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Gurugal Oya","3","7.13776","80.719354","3.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","350,000","Labour and other basic services by the Local community/ Shramadana","0.75 Years"
"Sub Total","667,500",,,,,,,,,,
"7","499A","Handawalapitiya","1. Establishing a retaining wall - Handawalapitiya","2","7.127388","80.736036","15 m x 2 m","Retaining Wall (Masonary)","660,000","By the project","0.25 Years"
,,,"2. Establishing a retaining wall - Handawalapitiya","1","7.127448","80.736334","20 m x 3 m","Retaining Wall (Concrete)","2,332,000","By the project","0.25 Years"
"Sub Total","2,992,000",,,,,,,,,,
"8","501G","Hope","No special issues are reported.",,,,,,,,
"9","500A","Kithulpe","1. Renovation of natural drains - Mul Oya","2","7.151235","80.746757","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Uda Ela Kadura","1","7.148827","80.746798","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Ellabada torrent/kandura","1","7.152524","80.743449","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Galkotuwa torrent","3","7.152789","80.742378","900 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","90,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","390,000",,,,,,,,,,
"10","503A","Malanwatta","1. Renovation of natural drains - Gurugal Oya","3","7.13819","80.719669","11 km","Planting some trees along the banks and other conservation practices","1,100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","1,100,000",,,,,,,,,,
"11","500B","Medagama","No special issues are reported.",,,,,,,,
"12","500C","Warapitiya","1. Renovation of natural drains - Andeniyawaththa torrent/kandura 1","1","7.154209","80.736946","150 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","15,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Andeniyawaththa torrent/kandura 2","2","7.154606","80.73717","150 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Darawa Oya","2","7.15718","80.738997","1.2 Km","Planting some trees along the banks and other conservation practices","120,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Establishing a drain - Dikarawa division","1","7.153331","80.73677","150 m","Concrete Drain","9,025,500","By the project","0.5 Years"
,,,"5. Establishing a retaining wall - Road near the Palle Bowala Primary School","1","7.155533","80.736339","100 m x 2 m","Retaining Wall (Masonary)","4,400,000","By the project","0.5 Years"
,,,"6. Establishing a retaining wall - Playground of the Palle Bowala Primary School","1","7.155535","80.736395","100 m x 2 m","Retaining Wall (Masonary)","4,400,000","By the project","0.5 Years"
,,,"7. Establishing a retaining wall - Palle Bowala Secondary School","1","7.154492","80.736031","10 m x 2 m","Retaining Wall (Masonary)","440,000","By the project","0.25 Years"
,,,"8. Establishing a drain - Palle Bowala Secondary School","1","7.155297","80.735902","10 m","Concrete Drain","605,000","By the project","0.25 Years"
,,,"9. Establishing a retaining wall - Palle Bowala Secondary School","1","7.155666","80.736301","75 m x 2 m","Retaining Wall (Masonary)","3,300,000","By the project","0.5 Years"
,,,"10. Establishing a retaining wall - Makumbura Waththa","2","7.156644","80.736338","100 m x 2 m","Retaining Wall (Masonary)","4,400,000","By the project","0.5 Years"
"Sub Total","26,855,500",,,,,,,,,,
"13","499D","Wetesthenna","1. Renovation of natural drains - Dara Oya","2","7.125428","80.74003","2.6 km","Planting some trees along the banks and other conservation practices","260,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","260,000",,,,,,,,,,
,,,,,,,,"Grand Total","56,303,500",,
