"Table 5.5: Estimate of domestic water supply and water source protection-related activities.","","","","",""
"GND No","Scheme","Problem to be addressed Recommendation","N","E","Estimated Cost"
"499 A","Warakalawita Upper Division Springs","No Storage tank, No reservation for the spring, Bad water quality. (20/50 families) 1. to construct a ferro cement storage tank of 35 m3 capacity 2. Demarcate an area of 10 perch as a reservation around. 3. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/Wal del/ Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2. 5. Establishing a CBO and awareness and training programs for operation and maintenance.
6. Install a Solar operated pump. 7. Install 63mm Dia delivery pipe and 18mm lateral pipes to consumers and 50% of pipe cost contribution to be obtained from the users.","7.128145","80.728495","1,129,050"
"499","Gedarapatana Spring","•No reservation. Recommended 1. Demarcate an area of 10 perch as a reservation around. 3. Make riparian buffer strip and dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/ Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 300","7.138699","80.734174","208,260"
"499","Udagaha Ella Spring","No well or storage. Recommended 1. to construct a 2mx2mx2.5m Deep random rubble masonry dug well with 125mm thick reinforced concrete top slab and smooth cement sand plastering to walls.","7.139016","80.734246","318,396"
"499","Pabalketiya spring","No well or storage, No reservation. Recommended 1. to construct a 2mx2mx2.5m Deep random rubble masonry dug well with 125mm thick reinforced concrete top slab and smooth cement sand plastering to wall. Demarcate an area of 5perch as a reservation around. 3. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 100","7.14229","80.733678","387,010"
"499","Lewdeninya springs","No well or storage, No reservation. Recommended 1. 1. to construct a 2mx2mx2.5m Deep random rubble masonry dug well with 125mm thick reinforced concrete top slab and smooth cement sand plastering to walls. 2. Demarcate an area of 5perch as a reservation around. 3. Make dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 100","7.14282","80.729818","387,010"
"499C","Daaraoya Springs","Reservation available but no fencing. Recommend 1. Make Areca nut fence planting along the perimeter of the reservation and establish mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2","7.123566","80.733079","204,100"
"499C","Daaraoya Akkara Siyaya Springs","Reservation not marked. Damaged insufficient tank. Recommend 1. Make Areca nut fence planting along the perimeter of the reservation and establish mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2. 5. To construct a ferro cement tank of 35 m3 capacity","7.181508","80.730741","626,600"
"499D","Watastenna water tank","The tank plastering is damaged. (120 families). Recommend 1. Chip off all internal and external plastering (80 sq.m including retaining walls) and re plaster with 1:3 cement sand mortar and finish smooth with cement float 2. Improve surrounding with dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered reservation area 250 m2","7.124612","80.740118","302,900"
"499F","Samagi Water Project Tank and surrounding","Contamination is due to accumulation of animal waste and domestic refuse. Recommend 1. Demarcate an area of 6 perches as a reservation around the tank area . 2. Make riparian buffer strip and dense planting of mixed vegetation comprising /Agave/Vetiver/Canas/Areca nut trees /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.3. Apply mulching, organic manure and NPK fertilizer. Covered area 150 m2 .4. Establish a CBO and awareness and training programs for waste management and disposal 5. To construct 15m long (4m +11m) X 1.5m (H) x125mm thick RCC retaining walls 6. To fabricate 5m diameter protective cover with 50mm x50mm GI welded mesh and 32mm GI pipe frame","7.135012","80.73125","920,400"
"1030","Spring near the Rewel Wanguwa (Bend)","Contamination of water and lack of proper maintenance.1. Make dense planting of mixed vegetation comprising /Agave/ Vetiver/Canas/Areca nut trees /Kumbuk/Mee/Godapara/Kaduru/ Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval. 4. Apply mulching, organic manure and NPK fertilizer. Covered area 250 m2. 5. Establishing a CBO and awareness and training programs for operation and maintenance .3. 50% of pipe cost contribution to be obtained from the users.","7.180683","80.737663","238,550"
"499E","Aladeniya Kumbura springs","No storage tank. Recommend to construct 2mx3mx 2m(Deep) tank with rubble masonry and cement sand plastering smooth with neat cement float.","7.139822","80.738192","304,850"
"499E","Bambaragama Matale Gedera Springs","Bathing space is not sufficient. Recommend constructing new spacing with rubble masonry and cement sand plastering smooth.","7.1384","80.738414","166,400"
"499E","Uduwela Gedera springs","Walls are not strong. Recommend to chip off old, damaged surfaces and new plastering and finish smooth with cement float. (25 sq.m)","7.1419","80.740625","61,100"
"499E","Gallanthenna Springs","The storage tank is not sufficient and leaks through the walls. Recommend 1. demolish one wall and excavate to enhance the capacity by three times. 
2. Construct new rubble wall (2.5 Cu.m) 3. Re plastering to wall (16 sq.m)","7.1421","80.742043","140,114"
"499F","Bambaragama West - Neluwa Spring","No reservation and dilapidated tank. Elevation is not enough to deliver water to all houses. Recommend 1. to Construct ferro cement tank of 30 cu.m 2. Reforestation by dense planting of mixed vegetation comprising Agave/Vetiver/Canas/Areca nut/Kumbuk/Mee/Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruit varieties randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered reservation area 150 m2. 5. Supply and install solar operated low head pump with 40% cost contribution from the stake holders 6. Establishing a CBO for maintenance","7.134781","80.73483","1,020,760"
"500A","Dunuka Arawa spring","Bathing trough unserviceable and requested to improve reservation. Recommend repairing the bathing arrangement only. No improvement possible to reservation as the area is fully cultivated.","7.153194","80.744663","35,100"
"500A","Dunuka Arawa spring","Request to demarcate a reservation. No improvement possible to reservation as the area is fully cultivated.","7.152941","80.745024","0"
"500A","Gal Mulla spring","Mixing of agro chemicals from the surrounding and request improvement. Recommend constructing a tank only. No improvement possible to reservation as the area is fully cultivated.","7.15194","80.745326","59,800"
"500A","Ellabada spring","Mixing of agro chemicals from the surrounding and tank need repairs. Recommend 1. to raise walls by 300mm using RR masonry and place the existing cover on fresh mortar to seal properly. 2. To grow mixed vegetation with riparian plants about 100 sq.m area around the source.","7.150773","80.745132","98,150"
"500B","Prajakola springs","Unprotected well and erosion around. Recommend 1. to dig the well and insert 2m diameter concrete well rings for a depth of 2.5 m below the ground and 0.5m above the ground level. 2. fabricate a 2m diameter protective cover using 32 mm dia GI pipe and 50mm x50mm GI welded mesh.","7.156693","80.730867","221,650"
"500","Palle Bowala springs","The protective cover is damaged. Spring water quality is influenced by cultivation in the catchment. Recommend 1. to fabricate 6.m x5m cover using 32mm dia GI pipes and 50mm x50mm GI welded mesh with nylon net 2. Awareness and assist settlers in the catchment to cultivate perineal crops and cover crops.","7.152718","80.734515","48,750"
"500","Bowala meda springs","The dug well protective walls are damaged. Recommend to construct rubble masonry walls and neat cement sand plastering (16 sq.m) with bathing pipes","7.153178","80.734925","58,500"
"500C","Kurudiya springs","Contamination from agro chemicals. Recommend dense planting of mixed vegetation comprising Agave/Vetiver/Canas/ Areca nut/Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/ randomly mixed seedlings at 500 mm grid interval. 4. Apply mulching, organic manure and NPK fertilizer. Covered area 150 m2","7.1567237.15786","80.73925480.738539","104,000"
"500c","Polosliyadda springs","Contamination from agro chemicals. Recommend dense planting of mixed vegetation comprising Agave/Vetiver/ Canas/Areca nut/Kumbuk/ Mee/ Godapara/Kaduru/Aththikka/ randomly mixed seedlings at 500 mm grid interval. 4. Apply mulching, organic manure and NPK fertilizer. Covered reservation area 150 m2 . Testing water quality","7.154049","80.737431","114,400"
"503","Gannewa Udugama Medamaana springs.","No reservation and protected storage tank. Recommend 1.to construct random rubble masonry tank (2mx 3m x2m High), 300mm wall thickness and cement sand plastering smooth with top reinforced concrete slab. 2. To plant Kumbuk, Mee, Vetiver, Canas plants about 30 sq.m area around the spring at very close intervals.","7.138599","80.721831","323,050"
"503A","Malanwaththa bathing spot","Leaks in the tank. Recommend repairing the tank with community support as labor. Material cost only recommend.","7.143669","80.730122","23,400"
"503A","Amunuwela springs","Leaks in the tank. Recommend 1. to make dense planting of mixed vegetation comprising Agave/ Areca nut trees /Kithul/Kumbuk/ Mee/ Godapara/Kaduru/ Aththikka/ Wal del/Kekuna /riparian varieties randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. The covered area 250 Sq.m. 2.to repair the tank with community support as labor. Material cost only recommend.","7.13808","80.719998","193,700"
,"Total cost","LKR 7,696,000",,,
