No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,499,Bambaragama,1. Renovation of natural drains - Hali Ela Narangasthenna torrent (Kandura),1,Off,7.14278,80.733868,1.5 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
2,499,Bambaragama,2. Renovation of natural drains - Diwulgete torrent (Kandura),1,Off,7.144242,80.732216,3 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
3,499,Bambaragama,3. Renovation of natural drains - Hethbewe torrent (Kandura),4,Off,7.141193,80.730705,1.5 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
4,499,Bambaragama,4. Soil conservation practices - Gedarakumbura (70°),4,On,7.138633,80.734611,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.5 Years
5,499,Bambaragama,5. Soil conservation practices - Gedarakumbura (65°),1,On,7.139339,80.735123,6.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,700,000.00",,Labour and other basic services by the Local community,0.5 Years
6,499,Bambaragama,6. Soil conservation practices - Delumgaha Kotuwa (40°),2,On,7.143206,80.73528,1.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"300,000.00",,Labour and other basic services by the Local community,0.5 Years
7,499,Bambaragama,7. Establishing a reatining wall,1,Off,7.139369,80.734907,5 m x 3 m,Retaining wall,"2,000.00 m-2","30,000.00","4,130,000.00",Labour and other basic services by the Local community,0.25 Years
8,499E,Bambaragama East,1. Renovation of natural drains - Arawe Kandura,4,Off,7.13885,80.739536,1.2 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"120,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
9,499E,Bambaragama East,2. Renovation of natural drains - Uda Ela Kadura,3,Off,7.14197,80.73955,2 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
10,499E,Bambaragama East,3. Soil conservation practices - Arawelanda (70°),4,On,7.139631,80.736897,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.5 Years
11,499E,Bambaragama East,4. Soil conservation practices - Arawelanda  (80°),5,On,7.137713,80.739716,4.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,200,000.00",,Labour and other basic services by the Local community,0.5 Years
12,499E,Bambaragama East,5. Soil conservation practices - Arawelanda  (90°),4,On,7.137219,80.740205,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00","4,520,000.00",Labour and other basic services by the Local community,0.5 Years
13,499E,Bambaragama East,,,,,,,,,,,,
14,499F,Bambaragama West,1. Renovation of natural drains - Torrent/Kandura,3,Off,7.136079,80.733765,1 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
