Activity,Location,Number and Units,Unit Cost (LKR),Cost (LKR),Duration
Conduct awareness programmes,"Bowala,",16,"15,000","240,000",2025/2028
,"Yakadagoda, Bambaragama, Watasthenna, Handawalapitiya, Gannewa- Udugama, Warakalawita, Delpathkanda",,,,
Establish forest protection action groups (With fire protection items),"Bowala,",8,"25,000","200,000",2025
,"Yakadagoda, Bambaragama, Watasthenna, Handawalapitiya, Gannewa- Udugama, Warakalawita, Delpathkanda",,,,
Maintain forest boundaries,"Piduruthalagala conservation forest, ",5 Km ,Rs200/,"80,000",2025 and 2030
,,(200 Boundary posts),Boundary post,,
,"Warakalawita forest, ",Included in the MWS 002,,,
,"Karamidula forest, ",7.1 Km ,Rs 200/,"96,000",2025 and 2030
,,(240 Boundary posts),Boundary post,,
,Watasthenna forest reserve,1.75 Km ,Rs 170/,"25,000",2025 and 2030
,,(75 Boundary posts),Boundary post,,
Erect display boards,"Bowala,",8 Boards,"20,000","160,000",2025
,"Yakadagoda, Bambaragama, Watasthenna, Handawalapitiya, Gannewa- Udugama, Warakalawita, Delpathkanda",,,,
Distribute energy efficient stows,"Bowala,",320 units,500,160000,2025
,"Yakadagoda, Bambaragama, Watasthenna, Handawalapitiya, Gannewa- Udugama, Warakalawita, Delpathkanda",,,,
,Warakalawita,1.6,,,2025
Live fence with Hana,,,,,
Maintenance of live fence,Warakalawita,1.6,,,2006-2008
Establish farmers woodlot,Warakalawita,1 ha,"200,000","200,000",2026
Maintenance of farmer woodlot,Warakalawita,1ha (6 times),"40,000","240,000",2060-2030
Total,,,,"1,401,000",
