Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution line agency/,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,"Babaragama-1500, Babaragama west-300, Bowala-1500, Medagama-1300, Warapitiya-200,Wetesthenna-1500",6300,80,"504,000.00",50%,"252,000.00"
,Electric fence,"Babaragama-6, Babaragama west-10, Bowala-15 Medagama-5,Hadawalpitiya-15 Warapitiya-8,Wetesthenna-10",69,"36,000.00","2,484,000.00",50%,"1,242,000.00"
Vegetable,Cabbage,"Babaragama, Medagama, Bowala, Malanwatta",Perch 720,"40/perches unit - 20g. 6,000.00","10,800.00",100%,"10,800.00"
,Green chili,"Bambaragama, Medagama, Bowala, Kithulpe",Perch 960,"40/perches unit - 50g. 1,500.00","36,000.00",100%,"36,000.00"
,Tomato,"Babatagama west, Medagama",Perch 600,"40/perches unit - 10g. 6,000.00","90,000.00",100%,"90,000.00"
Fruits,Banana,"Babaragama East- 100, Babaragama West- 15, Bowala-8, Daraoya-225,Gannewa Udugama-50, Kithulpe-7, Malanwaththe-6, Warapitiya-3, Wetesthenna-100 ",514,120,"61,680.00",100%,"61,680.00"
,Avocado,"Babaragama East-100, Babaragama West- 100, Daraoya - 80, Gannewa Udugama-50, Malanwatta-100, Warapitiya-100, Wetesthenna- 50 ",580,200,"116,000.00",100%,"116,000.00"
,Mango,"Babaragama-15, Babaragama East-50, Babaragama West-100,Daraoya-50, Gannewa Udugama- 100, Malanwaththe-20, Wetesthenna-100 ",435,300,"130,500.00",100%,"130,500.00"
Export Crops,Coffee,"Babaragama-100, Bambaragama East-1000, Daraoya-1000, Gannewa Udugama-1000, Kithulpe-2100, Warapitiya-1200, Wetesthenna-1000",7400,30,"222,000.00",100%,"222,000.00"
,Pepper,"Babaragama-7250, Babaragama East-2000, Babaragama west-500, Bowala-2040, Daraoya- 700, Gannewa Udugama-500, Kithulpe-1400, Malanwatta- 300, warapitiya-2100, wetesthenna-500",17290,40,"691,600.00",100%,"691,600.00"
,Vanila,"Babaragama East -3000, Babaragama West- 300, bowala-760, gannewa udugama- 200, Malanwaththe-200, Warapitiya -100 Wetesthenna-250 ",4810,40,"192,400.00",100%,"192,400.00"
,Clove,"Babaragama-15, Bambaragama East- 200, Bowala-200, Daraoya- 200,Gannewa Udugama-100, Kithulpe-200,Warapitiya- 80, wetesthenna-50 ",1045,130,"135,850.00",100%,"135,850.00"
,Ginger,"Babaragama East-800 Babaragama West- 300, Bowala- 500 Daraoya - 400 Gannewa Udugama-500, Kithulpe-400 Malanwatta-200 Medagama- 150 Warapitiya-250 Wetesthenna- 250 ",3750,18,"67,500.00",100%,"67,500.00"
Livestock,No of cow,Babaragama-2 Babaragama East- 5 Bowala- 1 Medagama-5 Kithulpe-5 Wetesthenna-5 ,23,"250,000.00","5,750,000.00",50%,"2,875,000.00"
,No of chicks,"Babaragama- 30 Babaragama West- 100 Bowala- 60, Daraoya- 20 Gannewa Udugama- 150 Hadawalapitiya-100 Medagama- 80 Warapitiya- 75 Wetesthenna-50 ",665,"1,500.00","997,500.00",50%,"498,750.00"
,Incubator,"Bambaragama East-5, Daraoya-10, Gannewa Udugama-10, Hadawalapitiya-5, wetesthenna-10, ",40,"60,000.00","2,400,000.00",50%,"1,200,000.00"
,No of sheds - cow,"Babaragama-7 Babaragama East- 15 Babaragama West- 3 Bowala-1, - Gannewa Udugama- 3 Hadawalapitiya-10 Kithulpe- 10 Medagama- 5 Warapitiya- 2 Wetesthenna-7 ",62,"300,000.00","18,600,000.00",50%,"9,300,000.00"
,No of sheds - goat,"Babaragama west-1, Daraoya-20, Hadawalapitiya-30, Kithulpe-12",63,"150,000.00","9,450,000.00",50%,"4,725,000.00"
Value added products,Bee keeping (Box 4000/= & 4000/= bees),"Babaragama East -5 Daraoya -10 Gannewa Udugama-10, Kithulpe-10, Malanwatta-2, Medagama-5, Warapitiya-10 ",52,"8,000.00","416,000.00",75%,"312,000.00"
,Black Pepper making machines (Balancing kit),Babaragama West-1,1,"10,000.00","10,000.00",50%,"5,000.00"
,Jackfruit drying machines,"Bambaragama East-1, Hadawalapitiya-1, Kithulpe-1",3,"850,000.00","2,550,000.00",50%,"1,275,000.00"
,Ginger slicing machine,"Babaragama west-1, Gannewa Udugama-1, Kithulpe-1",3,"150,000.00","450,000.00",50%,"225,000.00"
Total Cost,,,,,"45,365,830.00",,"23,664,080.00"
