No,GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Total Cost
1,499A,Handawalapitiya Watastenna Ela,Soil erosion of land on both sides(750m). Recommend 1. Areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 750m long. 2. To construct (2mx2mx1m) four SABO- boulder dams across the stream .,7.126949,80.737442,"416,250"
2,499A,Handawalapitiya Watastenna Ela,Canal spilling during rainy days and draining towards houses. 1. Earth filling to both embankment of 1.5m wide x 750mm high and length about 300 m 2. Protection by turfing sods with multiple vetiver grass rows,7.127192,80.73854,"537,300"
3,499,Hurewela Canal,"Request concrete lining for 450m length. Recommend 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 400 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. ",7.141967,80.736102,"452,200"
4,499,Pabali Ela,"Request concrete lining for 350m length. Recommend 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 300 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",7.14229,80.733667,"339,150"
5,499,Pabalketiya Ela,"Request concrete lining for 650m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 600 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",7.142838,80.733236,"678,300"
6,499,Dimbulgate Anicut,Completely damaged unserviceable structure. Recommend to construct 5m long x1.2m high x 0.6m wide RR masonry structure with 0.9m wide anicut planks.,7.144042,80.732216,"125,700"
7,499,Dimbulgate Canal,"Request concrete lining for 250m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 200 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",7.144035,80.732259,"226,100"
8,499,Lewdeniya anicut,Completely damaged unserviceable structure. Recommend constructing 6.5m long x1.2m high x 0.6m wide RR masonry structure with 0.9m wide anicut planks.,7.14406,80.730271,"161,200"
9,499,Lokkandarawa canal,"Request concrete lining for 150m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 150 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",7.144848,80.733059,"170,000"
10,499,Yapa Ella anicut,Completely damaged unserviceable structure. Recommend to construct 5m long x1.2m high x 0.6m wide RR masonry structure with 0.9m wide anicut planks.,7.144936,80.73313,"125,700"
11,499,Yapa Ella canal,"Request concrete lining for 150m length. Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 150 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.",7.144936,80.733313,"170,000"
