"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-010 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,"N or X","E or Y",,,,,,
"1","501G","Hope","No special issues are reported",,,,,,,,,
"2","499 G","Kirimetiya2","1. Soil conservation practices - Aluthgama (70°)","3","7.116992","80.744619","5 ha","The boundaries of the reservation need to be demarcated and a fence needs to be constructed.",,"500,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - Government lands (70°)",,"Not given","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years",
,,,"3. Soil conservation practices - Devalapathana  (75°)","4","7.116538","80.745188","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Kirimetiya (65°)","1","7.122623","80.745175","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","8,000,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","11,300,000",,,,,,,,,,,
"3","501B","Muloya","No special issues are reported",,,,,,,,,
"4","501","Rahathungoda","1. Soil conservation practices - Rahathungoda (60°)","5","7.110655","80.76249","40 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","10,000,000","Labour and other basic services by the Local community","1 Year"
,,,"2. Soil conservation practices - Rahathungoda (45°)","5","7.112706","80.766320","3.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","850,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Rahathungoda (60°)","5","7.107671","80.764355","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","15,850,000",,,,,,,,,,,
"5","501F","Rookwood Estate","1. Soil conservation practices - Rookwood Estate (45°)","4","7.084622","80.761246","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","5,000,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"32,150,000",,
