"Table 5.20: Cost estimates and Time frame","","","","","","","","","","","",""
"X","Item","Responsibility","Supervision","Total Cost  LKR","GOSL LA Contr","GOSL LA Contr   LKR","X 1","X 2","X 3","NA","NA  1","NA  2"
,"Marketing /Product/ Entrepreneurship Development",,,,"24","25","26",,,,,
"1","Marketing and Development of Agricultural products",,,,,,,,,,,
"1.1","Mapping of value chain and collection/processing centres","LUPO","AD (P)","125000","100%","125000",,,,,,
"1.2","Forming producer associations/Farmer groups","AD (P)/AI/LDI/ EDO","AD (P)","75000","100%","75000",,,,,,
"1.3","MoUs with Line Agencies","DS","DS","125000","75%","93750",,,,,,
"1.4","Contract Buying/ Sales Agreements - Local/Export firms","DS/Private sector","DS","125000","75%","93750",,,,,,
"1.5","Packaging and Branding",,,,,,,,,,,
"1.5.1","Agreement with IDB for branding","IDB","AD (P)",,,,,,,,,
"1.5.2","Contracts with the private sector for branding","AD (P)/Firms","AD (P)","125000","25%","31250",,,,,,
"1.6","Monitoring & Evaluation","AD (P)","AD (P)",,,,,,,,,
"2","Market Linkage Development",,,,,,,,,,,
"2.1","Briefing session on contracts/agreements with LA/PP","AD (P)/LA/PP","AD (P)",,,,,,,,,
"2.2","Promote MWS products/services with existing websites","AD (P)/LA/PP","AD (P)",,,,,,,,,
"2.3","Creating E-market links for products/services","AD (P)/LA/PP","AD (P)",,,,,,,,,
"2.4","Develop Database and marketing information system","AD (P)","AD (P)","250000","100%","250000",,,,,,
"2.5","Participation in regional trade and consumer fairs","AD (P)/LA","AD (P)","750000","50%","375000",,,,,,
"2.6","Link producers to financial institutions","AD (P)/LA","DS","37500","100%","37500",,,,,,
"2.7","Register youth on existing job sites","HRDO","AD (P)","25000","75%","18750",,,,,,
"2.8","Monitoring & Evaluation","MWMC","AD (P)",,,,,,,,,
"3","Infrastructure Development",,,,,,,,,,,
"3.1","Identify sites for economic hubs and sales centres","DS/AD (P)/ MDMWPC","DS","50000","100%","50000",,,,,,
"3.2","Renovation of unoccupied building/Infrastructure (Storage, handling drying, aggregation)","DS/AD (P)","DS","2500000","100%","2500000",,,,,,
"3.3","Identify farmer clusters","MWPC","AD (P)","0",,"0",,,,,,
"3.4","Refurbish polytunnels for seed nurseries","AI/LDI/EDO","AD (P)","2500000","50%","1250000",,,,,,
"3.5","Monitoring & Evaluation","MWPC","AD (P)",,,,,,,,,
"4","Marketing and Development of Non-agricultural products",,,,,,,,,,,
"4.1","Mapping of value chain and collection/processing centers","LUPO","AD (P)","125000","100%","125000",,,,,,
"4.2","Forming producer associations","AD (P)/EDO","AD (P)","75000","50%","37500",,,,,,
"4.3","MoUs with Line Agencies","DS","DS",,,,,,,,,
"4.4","Contract Buying/ Sales Agreements - Local/Export firms","DS/Private sector","DS","125000","100%","125000",,,,,,
"4.5","Packaging and Branding",,,,,,,,,,,
"4.5.1","Agreement with IDB for branding","IDB","AD (P)",,,,,,,,,
"4.5.2","Contracts with the private sector for branding","DS/Firms","DS","125000","25%","31250",,,,,,
"4.6","Monitoring & Evaluation","MWPC","AD (P)",,,,,,,,,
"5","Tourism Development",,,,,,,,,,,
"5.1","MoUs with Line Agencies","DS","DS",,,,,,,,,
"5.2","Promote MWS tourism on existing websites","DS",,,,,,,,,,
"5.3","Agreements with private sector firms","AD (P)","250000","50%","125000",,,,,,,
"5.4","Tourism infrastructure Development","AD (P)","200000","100%","200000",,,,,,,
"5.5","Monitoring & Evaluation","MWPC","AD (P)",,,,,,,,,
,,,,"7587500",,"5543750",,,,,,
