"Table 5.41: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
"paddy yaya development program","Supply of parachute Trays",,"10,000","80","800,000.00","75%","600,000.00"
,"Supply of certified seed paddy (bu)",,"10","4200","42,000.00","100%","42,000.00"
,"Soil testing",,"20","290","5,800.00","100%","5,800.00"
,"Supply of Bio films (1 Liter) Bottles",,"20","900","18,000.00","100%","18,000.00"
,"supply of Cruiser as seed Treatments",,"10","900","9,000.00","100%","9,000.00"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence",,"30","7500","225,000.00","75%","168,750.00"
,"Supply of Electric fence",,"10","40,000","400,000.00","75%","300,000.00"
,"Supply of Brush Cutters",,"5","30,000","150,000.00","75%","112,500.00"
,"Supply of Knapsac Sprayers (16L)",,"6","30,000","180,000.00","75%","135,000.00"
"Improvement of Cultivation practices of Cabbage (15 Farmers with 1/4 ac)","Soil testing",,"15","290","4,350.00","100%","4,350.00"
,"Supply of Quality seeds (Variety Volcano or Oxilus) g",,"400","250,000.00","100,000.00","100%","100,000.00"
,"Supply of Neem (400ml bottles)",,"30","750.00","22,500.00","100%","22,500.00"
"Improvement of Cultivation Practices of Chilli (10 Farmers with 1/4 ac)","Supply of chill hybrid seeds (MICH hy 1)",,"500g","130,000","65,000.00","100%","65,000.00"
,"Supply of Seedling trays with 72 holes",,"100","150","15,000.00","100%","15,000.00"
,"Supply of Poly mulch roles (1.2m*400m)",,"2","20,000","40,000.00","100%","40,000.00"
,"Supply of Trichoderma (1-liter bottles)",,"30","1,000","30,000.00","100%","30,000.00"
,"Supply of sticky Traps (blue and Yellow) 20 Pack of 6x8 inches",,"10","12,000","120,000.00","100%","120,000.00"
,"Supply of Insect Proof nets (3mx50m)",,"20","30,000","600,000.00","75%","450,000.00"
"Improvement of Cultivation Practices of Tomato (10 Farmers with 1/4 ac)","Soil testing",,"15","290","4,350.00","100%","4,350.00"
,"supply of Plant covers (0.8\"x200m",,"20","15000","300,000.00","100%","300,000.00"
,"Supply of Trichoderma (1-liter bottles)",,"30","1,000","30,000.00","100%","30,000.00"
,"Supply of Seedling trays with 72 holes",,"150","150","22,500.00","100%","22,500.00"
,"Supply of organic Pesticides",,"15","500","7,500.00","100%","7,500.00"
,"Supply of plastic Crates (Medium size)",,"50","4,000","200,000.00","75%","150,000.00"
,"Pheromone Traps for Tuta",,"15","900","13,500.00","100%","13,500.00"
,"yellow bulb system",,"1","90,000","90,000.00","75%","67,500.00"
"Improvement of Cultivation Practices of Bean (15 Farmers with 1/4 ac)","Supply seeds of Black Cora",,"30","4,000","120,000.00","100%","120,000.00"
,"supply of Cruiser as seed Treatments (5g Packs)",,"75","900","67,500.00","100%","67,500.00"
,"Supply of Rhizobium Inoculum 100g packs",,"75","400","30,000.00","100%","30,000.00"
,"Supply of Insect Proof nets (3mx50m)",,"20","30,000","600,000.00","75%","450,000.00"
,"Supply of Bio films (500ml) bottles",,"30","1,250","37,500.00","100%","37,500.00"
,"Supply of Trichoderma (1-liter bottles)",,"15","1,000","15,000.00","100%","15,000.00"
,"Supply of Lakgrow neem 100ml bottles",,"30","1,000","30,000.00","100%","30,000.00"
"Fruit Zoning","Supply of Banana Tissue Culture Seedlings- Amban",,"200","130","26,000.00","100%","26,000.00"
