No. ,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N or X,E or Y,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
1,501G,Hope,No special issues are reported,,,,,,,,,,,
2,499 G,Kirimetiya2,1. Renovation of natural drains - Dara Oya - torrent/kandura at the boundary of the Kirimetiya GND,1,Off,7.117447,80.741565,500 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
3,499 G,Kirimetiya3,2. Renovation of natural drains - Pussala Oya,5,Off,7.115768,80.746258,1.2 km,Planting some trees along the banks and other conservation practices,,"120,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
4,499 G,Kirimetiya4,3. Soil conservation practices - Devalapathana reservation (60°),3,Off,7.116992,80.744619,14 ha,A fence needs to be constructed at the boundary of the reservation.,,"1,000,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
5,499 G,Kirimetiya5,4. Soil conservation practices - Aluthgama (70°),3,On,7.116992,80.744619,5 ha,The boundaries of the reservation need to be demarcated and a fence needs to be constructed.,,"500,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
6,499 G,Kirimetiya6,5. Soil conservation practices - Government lands (70°),,On,Not given,,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.5 Years
7,499 G,Kirimetiya7,6. Soil conservation practices - Devalapathana  (75°),4,On,7.116538,80.745188,3.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"800,000.00",,Labour and other basic services by the Local community,0.5 Years
8,499 G,Kirimetiya8,7. Soil conservation practices - Kirimetiya (65°),1,On,7.122623,80.745175,32 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"8,000,000.00","12,470,000.00",Labour and other basic services by the Local community,1 Year
9,501B,Muloya,1. Renovation of natural drains - Mul Oya,2,Off,7.101766,80.754391,10 km,Planting some trees along the banks and other conservation practices,,"1,000,000.00",,Labour and other basic services by the Local community/ Shramadana,1 Year
10,501B,Muloya,2. Renovation of natural drains - Mul Oya tributary 1,2,Off,7.101766,80.754391,10 km,Planting some trees along the banks and other conservation practices,,"1,000,000.00",,Labour and other basic services by the Local community/ Shramadana,1 Year
11,501B,Muloya,3. Renovation of natural drains - Opwaththa Oya,5,Off,7.101357,80.753072,20 km,Planting some trees along the banks and other conservation practices,,"2,000,000.00",,Labour and other basic services by the Local community/ Shramadana,1 Year
12,501B,Muloya,4. Establishing a  rubble masonory wall - Muloya Regional Hospital,5,On,7.09745,80.750984,30 m x 3.6 m,Retaining wall,"2,000.00 m-2","216,000.00","4,216,000.00",Labour and other basic services by the Local community,0.5 Years
13,501,Rahathungoda,1. Renovation of natural drains - Makul Oya,4,Off,7.107724,80.766451,1.5 km,Planting some trees along the banks and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
14,501,Rahathungoda,2. Renovation of natural drains - Mal Oya,5,Off,7.105964,80.76076,750 m,Planting some trees along the banks and other conservation practices,,"75,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
15,501,Rahathungoda,3. Renovation of natural drains - Dungolla Oya,5,Off,7.10746,80.757538,1.2 km,Planting some trees along the banks and other conservation practices,,"120,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
16,501,Rahathungoda,4. Renovation of natural drains - Ma Ela,4,Off,7.107642,80.766199,10 m,Planting some trees along the banks and other conservation practices,,"1,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
17,501,Rahathungoda,5. Renovation of natural drains - Kuda Kadura,5,Off,7.107602,80.757294,100 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"10,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
18,501,Rahathungoda,6. Soil conservation practices - Rahathungoda (60°),5,On,7.110655,80.76249,40 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"10,000,000.00",,Labour and other basic services by the Local community,1 Year
19,501,Rahathungoda,7. Soil conservation practices - Rahathungoda (45°),5,On,7.112706,80.76632,3.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"850,000.00",,Labour and other basic services by the Local community,0.5 Years
20,501,Rahathungoda,8. Soil conservation practices - Rahathungoda (60°),5,On,7.107671,80.764355,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00","16,206,000.00",Labour and other basic services by the Local community,0.5 Years
21,501F,Rookwood Estate,1. Renovation of natural drains - Rookwood Oya,4,Off,7.084579,80.76112,3 km,Planting some trees along the banks and other conservation practices,,"300,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
22,501F,Rookwood Estate,2. Soil conservation practices - Rookwood Estate (45°),4,On,7.084622,80.761246,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00","5,300,000.00",Labour and other basic services by the Local community,1 Year
,,,,,,,,,Grand Total,,"38,192,000.00",,,
