Item,Description,Qty,Unit,Cost (Rs),Amount (Rs)
Estimate for Construction of Garbage trap with 600mm Dia &4m wide concrete spun pipe culvert ,,,,,
1,Excavation for 600mm Dia 2m pipe -labour,1.5,nos,2000,"3,000.00"
2,Supplying of 600mm Dia spun pipe,4,m,4100,"16,400.00"
3,Joining and laying of concrete pipe DAD K5,4,sqm,1154,"4,616.00"
4,Supplying and fixing of PVC coated GI gabion mesh box to pipe end,2,Cu.m,12250,"24,500.00"
5,"Allow for Nut and bolts, washers etc.",,,,"2,500.00"
6,Allow for tools and contingencies,,,,"1,984.00"
,Total,,,,"53,000.00"
Item,Description,Qty,Unit,Cost (Rs),Amount (Rs)
Estimate for Construction of Garbage trap with 900mm Dia & 5m wide concrete spun pipe culvert,,,,,
1,Excavation for 900mm Dia 5m pipe -labour,4,nos,2000,"8,000.00"
2,Supplying 900mm Dia spun pipe,5,m,9800,"49,000.00"
3,Joining and laying of concrete pipe DAD K5,5,m,1154,"5,770.00"
4,Supplying and fixing of PVC coated GI gabion mesh box to pipe end,2,Cu.m,12250,"24,500.00"
5,"Allow for Nut and bolts, washers etc.",,,,"2,230.00"
6,Allow for head wall & joints concreting,2.5,cum,37000,"92,500.00"
,Total,,,,"182,000.00"
Item,Description,Qty,Unit,Cost (Rs),Amount (Rs)
Construction of Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m(L)x2m(W)x1m(H),,,,,
1,Excavation at ends and bottom to stack boulders-Labour,3,nos,2000,6000
2,Supplying of boulder and selected rubble (locally),8,cum,2500,20000
3,Placing and aligning boulders in stable positions-Labour,7,nos,2000,14000
4,Supplying of 3mx1mx1m Gabion box,2,nos,25000,50000
,Total,,,,"90,000.00"
Item,Description,Qty,Unit,Cost (Rs),Amount (Rs)
Estimate for construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5,,,,,
1,Ground preparation -labour,2,nos,2000,"4,000.00"
2,"1:2:4 (3/4"") Cement concrete, machine mixing and placing DAD E4",5.063,cum,38000,"192,375.00"
3,"Shuttering in 12 mm(1/2"") thick Plywood sheet and 2""x2"" joists DAD F2",64.53,sqm,2182,"140,807.19"
4,Labour for curing concrete etc.,2,Days,2000,"4,000.00"
5,Internal and external plastering finish smooth,71.5,sqm,1205,"86,157.50"
6,10mm Reinforcement,210,kg,474,"99,540.00"
7,Top GI frame with Welded mesh and nylon net,1,nos,23000,"23,000.00"
8,adjustment,,,,120.31
,Total,,,RS ,"550,000.00"
Item,Description,Qty,Unit,Cost (Rs),Amount (Rs)
Estimate for construction of ferro cement storage tank of 35 cum - size internal 3m Dia x4m high,,,,,
1,Ground preparation -labour,2,nos,2000,4000
2,"1:2:4 (3/4"") Cement concrete, DAD E4 for bottom slab",1.256,cum,38000,47728
3,Plastering 1:4 in three layers and internal smooth finish,150.72,sqm,1050,158256
4,10mm Reinforcement bars,28.26,Days,1050,29673
5,50x50x3mm GI welded mesh ,7,nos,9500,62501
6,6mm mild steel wire,37.68,kg,275,10362
7,Centre pivot bar for erection and rolling forms,,,,15000
8,Chicken mesh ,,,,10000
,Total,,,RS,325000
Item,Description,Qty,Unit,Cost (Rs),Amount (Rs)
Construction of Leader drain across streams -Size 100 m(L)x1m(W)x1m(H),,,,,
1,Excavation at stream ends and bottom to stack boulders-Labour,5,nos,2000,10000
2,Supplying of boulder/rubble locally or from the stream with community support,100,cum,1500,150000
3,Placing and aligning boulders in stable positions-Labour,20,nos,2000,40000
,Total,,,RS ,"200,000.00"
Item,Description,Qty,Unit,Cost (Rs),Amount (Rs)
Construction of RR masonry Dug well for springs -Size 2m(L)x2m(W)x2.5m(D) X300mm thick wall,,,,,
1,Excavation and clearing - labour,6,nos,2000,12000
2,Construction of rubble masonry wall with 1:5 C/S mortar,6.7,Cu.m,26268,175990
3,Plastering smooth to wall with1:3 C/S mortar,20,nos,1205,24100
4,Grade 25 concrete for top slab,0.5,Cu.m,38000,19000
5,Form work ,3.15,Sq.m,2840,8946
6,Reinforcements,9,kg,474,4264
,Total ,,RND,RS ,"244,300.00"
