Name,Work description,Qty,Rate,Amount (Rs.)
Muloya Wewa,1. Dense planting of mixed vegetation comprising Kumbuk/Mee/Madan /Nelli /Guava/Mango/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid intervals for 2000 m2. ,40x(50m2),26700,"1,068,000"
Muloya Wewa,"And apply mulching, organic manure, and NPK fertilizer.",,,
Muloya Wewa,"2.Planting of Areca nut tree s, Vetiver grass, and riparian plants. Covered area 1000 m2. ",,,
Muloya Wewa,3.Agro forestry fruits and associated shade tree planting. Covered area 2000 m2,,,
Muloya Wewa,4. Construction of 6 numbers or more of 3mx2mx1m Sabo dams using available boulders.,,,
Muloya Wewa,5.Excavate and remove sediment deposits and earth of tank bed. (DAD J05A+J06A) Estimated qty 2400 m3,,,
Muloya Wewa,6.Transport of excavator J10A,,,
Muloya Wewa,"7. Capacity building programs on agro forestry, poly tunnels, micro irrigation etc. ",20x(50m2),23500,"447,000"
Muloya Wewa,"7. Capacity building programs on agro forestry, poly tunnels, micro irrigation etc. ",40x(50m2),12000,"480,000"
Muloya Wewa,"7. Capacity building programs on agro forestry, poly tunnels, micro irrigation etc. ",6 nos,90000,"540,000"
Muloya Wewa,"7. Capacity building programs on agro forestry, poly tunnels, micro irrigation etc. ",2400 m3,631,"1,514,400"
Muloya Wewa,"7. Capacity building programs on agro forestry, poly tunnels, micro irrigation etc. ",1 way,18500,"18,600"
Muloya Wewa,"7. Capacity building programs on agro forestry, poly tunnels, micro irrigation etc. ",Item allow,,"300,000"
Total,,,,"4,368,000"
