"Table 5.12: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the irrigation","N","E","Observed problems","Best solution","Estimate  Rs"
"498 B","Besatt Ela/ බැසට් ඇල","7.146715","80.743483","•Seepages from the canal. (L- 1000m)","•A rubble masonry wall need to be constructed. (L- 1000m, W- 0.3m, H- 1.5m)•The canal need to be concrete lined with U section. (L- 1000m, W- 0.75m, H- 0.3m, T- 9\")","1,869,400"
"501 A","Mahanawatha Ela","7.126673","80.775127","•Seepages from the canal towards the field side. (L- 700m)","•The canal need to be concrete lined with U section. (L- 700m, W- 0.45m, H- 0.3m, T- 6\")","453,700"
"501 A","Kapatagas Pela Ela /කපාටගස් පෑල ඇල","7.125482","80.774064","•Seepages from the canal towards the field side. (L- 500m)","•The canal need to be concrete lined with U section. (L- 500m, W- 0.3m, H- 0.3m, T- 4\")","383,500"
"501 A","Keselwaththa Ela","7.124161","80.774856","•Bank erosion of the canal. (L- 15m)","•A side wall needs to be constructed. (L- 15m, W- 0.3m, H-3.6m)","624,000"
"501 A","Ma Ela","7.12225","80.774756","•Overflow from the both sides of the canal.","•The canal needs to be widened by digging 0.6m on one side.","477,100"
"501 A","Keth Ela near to the pre school","7.122115","80.774294","•Bank erosion on both sides of the canal. (L- 500m)","•Side walls need to be constructed. (L- 500m, W- 0.15m, H-1.2m, No of walls- 2)","1,137,500"
"502 B","Pallegedara Waththe Ela","7.15444","80.75625","•Seepages from the canal towards the field side. (L- 260m)","•The canal need to be concrete lined with U section. (L- 260m, W- 0.3m, H- 0.3m, T- 6\")","383,500"
"502 B","Niwandankada (Hikathalawa Ela)","7.152326","80.753826","•A part of the canal is not in the operational condition. (L- 150m)","Construction of 0.30 dia x 2.5 m long under crossing and 100mm thick concrete lining of 25 m.","239,200"
"502 B","Kolongasthenna Ela","7.149437","80.750113","•Seepages from the canal towards the field side. (L- 510m)","•A side wall need to be constructed at field side. (L- 510m, W- 0.15m, H- 0.3m)","648,700"
"502","Daraanakubura Ela","7.145704","80.760941","•Seepages from the side wall of the anicut. (L- 4.5m)","Construction of 4.5mx1.0m curtaion wall with 1.2.4 concrete and construction of 4.5 m long 1.8m high concrete wall (1.3.6 concrete)","187,200"
"502","Daraanakubura anicut","7.144678","80.761994","•Seepages towards the field side.","•The canal need to be concrete lined with U section. (L- 1000m, W- 0.3m, H- 0.3m, T- 4\")•A reservation needs to be allocated at field side.(W- 0.6m)","1,028,300"
"502","Athapanawela Athuru Ela","7.145451","80.760302","•Overflows towards the field side.","•The canal need to be concrete lined with U section. (L- 500m, W- 0.3m, H- 0.3m, T- 4\")•A reservation needs to be allocated at field side.(W- 0.6m)","291,200"
"502","Abethota Ela","7.143355","80.756708","•Seepages from the canal towards the field side. (L- 450m)","•The canal need to be concrete lined with U section. (L- 450m, W- 0.45m, H- 0.3m, T- 6\")","1,114,100"
"502","Etabilla Uda Ela","7.147436","80.75755","•Seepages from the canal towards the field side. (L- 750m)","•The canal need to be concrete lined with U section. (L- 750m, W- 0.3m, H- 0.3m, T- 6\")","669,500"
"502","Elamure Yata Ela","7.14745","80.758734","•Seepages from the canal towards the field side. (L- 200m)","•The canal need to be concrete lined with U section. (L- 200m, W- 0.3m, H- 0.3m, T- 4\")","291,200"
"501 E","Pattiya Arawa Ela","7.12068","80.76839","•The canal is concrete lined yet, seepages occurring in several places. (Length of the canal- 1500m)","Cement plastering of lining for entire length. Canal reservation protection by earth filling with vegetative cover and Areca nut seedling plantation.","605,800"
"501 E","Panwala Ela","7.124612","80.766816","•Seepages towards the field side.","•A Side wall needs to be constructed. (L- 150m, W- 0.15m, H-0.45m)","409,500"
"501 E","Panwaththa Ela","7.125882","80.766566","•The canal's capacity is insufficient for distributing water and, seepages occurring towards the field side.","•The canal need to be concrete lined with side walls. (L- 300m, W- 0.3m, H- 0.45m, T-6\") the H measured at inside of the canal","549,900"
"502 A","Orukandawela anicut 1","7.155494","80.757988","•Seepage from the anicut.•Erosion of the side wall of the anicut.","•Construction of curtain wall for the anicut.•construction of concrete wall (L- 1.8m, H- 1.8m)","88,400"
"502 A","Orukandawela Ela","7.155641","80.757964","•Bank erosion towards the field side. (L- 45m)","•Plastering to prevent leakages in the lining.•Allocate the reservation and earth fill of a strip of 1.5m to 2m wide. And establish vegetative cover","139,100"
"502 A","Orukandawela anicut 2","7.155238","80.7576","•Seepage from the side wall of the anicut.","• Plastering to prevent leakage and construction of a concrete wall","22,100"
"499 B","Udathenna Pathana","7.122112","80.745296","•A part of the canal is not  concrete lined. (L- 1500m)","•Concrete lining of canal for 25m. Canal reservation protection by earth filling and vegetative cover with Arica nut planting.","393,900"
"499 B","Pussala ela","7.122012","80.749878","•Bank erosion towards the field side. (L- 30m)","•Concrete lining of canal for 30m. Canal reservation protection by earth filling and planting Areca nut trees.","656,500"
