"Table 5.2: Key ON-FARM proposed for soil and water conservation in MWS-011 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","498B","Agappala","1. Soil conservation practices - Agappala  (75°)","1","7.148087","80.743162","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1 Year"
,,,"2. Soil conservation practices - Hewan Idala reservation  (60°)","4","7.146166","80.743736","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Agappala  (50°)","5","7.143119","80.744862","64 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","16,000,000","Labour and other basic services by the Local community","2 Years"
"Sub Total","21,000,000",,,,,,,,,,,
"2","501A","Bulugahapitiya","1. Soil conservation practices - Bulugahapitiya  (65°)","2","7.12225","80.774756","1.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","400,000",,,,,,,,,,,
"3","502B","Diggalpotta","1. Soil conservation practices - Diggalpoththa  (40°)","1","7.155416","80.757537","0.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","200,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Hapuwalaheena  (65°)","1","7.156829","80.757249","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Gal Wala  (85°)","1","7.160552","80.757084","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Nikathenna  (70°)","5","7.150873","80.754212","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,950,000",,,,,,,,,,,
"4","502","Ekiriya","1. Soil conservation practices - Etambilla (60°)","1","7.147315","80.757897","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,000,000",,,,,,,,,,,
"5","501E","Enasal Arawa","1. Soil conservation practices - Enasal Arawa (60°)","4","7.120214","80.769448","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Enasal Arawa (45°)","2","7.12023","80.769017","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Panwaththa (60°)","1","7.12517","80.766762","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Panwaththa (60°)","1","7.124603","80.767913","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Enasal Arawa (55°)","5","7.125382","80.768584","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","7,800,000",,,,,,,,,,,
"6","502A","Hapugasdeniya","1. Soil conservation practices - Damakadura reservation (60°)","4","7.154485","80.763058","2.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","700,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Deekirilla reservation (65°)","2","7.15736","80.762965","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,200,000",,,,,,,,,,,
"7","499B","Karamidula","1. Soil conservation practices - Karamidula (70°)","5","7.124004","80.745206","7 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,750,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Karamidula (60°) (50 m above from this point)","1","7.123365","80.747663","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Reservation (85°)","1","7.122929","80.747746","2.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","700,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Karamidula (60°)","3","7.126702","80.748352","0.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","200,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,150,000",,,,,,,,,,,
"8","501D","Kawatayamana","1. Soil conservation practices - Kawatayamana (45°)","1","7.115856","80.772725","1.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Kawatayamana (50°)","1","7.1153","80.773152","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Kawatiyamana Finus Kanda (60°)","5","7.113843","80.772556","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Rahathungoda Waththa  (50°)","5","7.111656","80.771402","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Kawatayamana (65°)","4","7.112917","80.776929","0.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","200,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,800,000",,,,,,,,,,,
"9","500D","Kosgaha Debala","1. Soil conservation practices - Beeriella reservation (70°) -  (15m above from the given point)","1","7.159315","80.743091","8.4","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,100,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Gallida reservation (45°)","5","7.159313","80.746875","0.8","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","200,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Kosgaha Debala (40°)","4","7.157259","80.744403","8","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Kosgaha Debala (30°)","4","7.157259","80.744403","0.8","Lock and spills and stone terracing/live fencing, as applied","400 m-1","320,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Kosgaha Debala (85°)","4","7.159334","80.747267","0.4","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","100,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,720,000",,,,,,,,,,,
"10","498F","Labuhena","1. Soil conservation practices - Labuhena Meda Kotasa (Mahathenna) (70°)","3","7.146937","80.771538","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Imbuldanda Pathana (50°)","1","7.146145","80.768663","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Poramadulla (45°)","1","7.139623","80.77607","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Labuhena (60°)","1","7.148222","80.77169","24 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"5. Soil conservation practices - Labuhena (60°)","4","7.14749","80.76491","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Labuhena Janapadaya (45°)","3","7.14514","80.776595","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"7. Soil conservation practices - Kosgaha Debala (60°)","1","7.145201","80.776073","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","12,650,000",,,,,,,,,,,
"11","501C","Madumana2","1. Soil conservation practices - Mul Oya (65°)","1","7.121425","80.752753","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
