Item,Description,Qty,Unit,Cost (Rs),Amount (Rs)
Estimate for Construction of Garbage trap with 600mm Dia & 4m wide concrete spun pipe culvert ,,,,,
1,Excavation for 600mm dia 2m pipe -labour,1.5,nos,2000,"3, 000.00"
2,Supplying of 600mm dia spun pipe,4,m,4100,"16, 400.00"
3,Joining and Laying of concrete pipe DAD K5,4,sqm,1154,"4, 616.00"
4,Supplying and fixing of pvc coated GI gabion mesh box to pipe end,2,cu.m,12250,"24, 500.00"
5,"Allow for Nut and bolts, washers etc.",,,,"2, 500.00"
6,Allow for tools and contingencies,,,,"1, 984.00"
,Total,,,,"53, 000.00"
Estimate for Construction of Garbage trap with 900mm Dia & 5m wide concrete spun pipe culvert,,,,,
1,Excavation for 900mm dia 5m pipe -labour,4,nos,2000,"8, 000.00"
2,Supplying of 900mm dia spun pipe,5,m,9800,"49, 000.00"
3,Joining and Laying of concrete pipe DAD K5,5,m,1154,"5, 770.00"
4,Supplying and fixing of pvc coated GI gabion mesh box to pipe end,2,cu.m,12250,"24, 500.00"
5,"Allow for Nut and bolts, washers etc.",,,,"2, 230.00"
6,Allow for head wall & joints concreting,2.5,cum,37000,"92, 500.00"
7,Total,,,,"182, 000.00"
