No,GND No.,Name of the irrigation,N,E,Observed problems,Best solution,Estimate (Rs)
1,498 B,Besatt Ela/ ????? ??,7.146715,80.743483,Seepages from the canal. (L- 1000m),"A rubble masonry wall need to be constructed. (L- 1000m, W- 0.3m, H- 1.5m)
The canal need to be concrete lined with U section. (L- 1000m, W- 0.75m, H- 0.3m, T- 9"")","1,438,000.00"
2,501 A,Mahanawatha Ela,7.126673,80.775127,Seepages from the canal towards the field side. (L- 700m),"The canal need to be concrete lined with U section. (L- 700m, W- 0.45m, H- 0.3m, T- 6"")","349,000.00"
3,501 A,Kapatagas Pela Ela /??????? ??? ??,7.125482,80.774064,Seepages from the canal towards the field side. (L- 500m),"The canal need to be concrete lined with U section. (L- 500m, W- 0.3m, H- 0.3m, T- 4"")","295,000.00"
4,501 A,Keselwaththa Ela,7.124161,80.774856,Bank erosion of the canal. (L- 15m),"A side wall needs to be constructed. (L- 15m, W- 0.3m, H-3.6m)","480,000.00"
5,501 A,Ma Ela,7.12225,80.774756,Overflow from the both sides of the canal.,The canal needs to be widened by digging 0.6m on one side.,"367,000.00"
6,501 A,Keth Ela near to the pre school,7.122115,80.774294,Bank erosion on both sides of the canal. (L- 500m),"Side walls need to be constructed. (L- 500m, W- 0.15m, H-1.2m, No of walls- 2)","875,000.00"
7,502 B,Pallegedara Waththe Ela,7.15444,80.75625,Seepages from the canal towards the field side. (L- 260m),"The canal need to be concrete lined with U section. (L- 260m, W- 0.3m, H- 0.3m, T- 6"")","295,000.00"
8,502 B,Niwandankada (Hikathalawa Ela),7.152326,80.753826,A part of the canal is not in the operational condition. (L- 150m),Construction of 0.30 dia x 2.5 m long under crossing and 100mm thick concrete lining of 25 m.,"184,000.00"
9,502 B,Kolongasthenna Ela,7.149437,80.750113,Seepages from the canal towards the field side. (L- 510m),"A side wall need to be constructed at field side. (L- 510m, W- 0.15m, H- 0.3m)","499,000.00"
10,502,Daraanakubura Ela,7.145704,80.760941,Seepages from the side wall of the anicut. (L- 4.5m),Construction of 4.5mx1.0m curtaion wall with 1.2.4 concrete and construction of 4.5 m long 1.8m high concrete wall (1.3.6 concrete),"144,000.00"
11,502,Daraanakubura anicut,7.144678,80.761994,Seepages towards the field side.,"The canal need to be concrete lined with U section. (L- 1000m, W- 0.3m, H- 0.3m, T- 4"")
A reservation needs to be allocated at field side.(W- 0.6m)","791,000.00"
12,502,Athapanawela Athuru Ela,7.145451,80.760302,Overflows towards the field side.,"The canal need to be concrete lined with U section. (L- 500m, W- 0.3m, H- 0.3m, T- 4"")
A reservation needs to be allocated at field side.(W- 0.6m)","224,000.00"
13,502,Abethota Ela,7.143355,80.756708,Seepages from the canal towards the field side. (L- 450m),"The canal need to be concrete lined with U section. (L- 450m, W- 0.45m, H- 0.3m, T- 6"")","857,000.00"
14,502,Etabilla Uda Ela,7.147436,80.75755,Seepages from the canal towards the field side. (L- 750m),"The canal need to be concrete lined with U section. (L- 750m, W- 0.3m, H- 0.3m, T- 6"")","515,000.00"
15,502,Elamure Yata Ela,7.14745,80.758734,Seepages from the canal towards the field side. (L- 200m),"The canal need to be concrete lined with U section. (L- 200m, W- 0.3m, H- 0.3m, T- 4"")","224,000.00"
16,501 E,Pattiya Arawa Ela,7.12068,80.76839,"The canal is concrete lined yet, seepages occurring in several places. (Length of the canal- 1500m)",Cement plastering of lining for entire length. Canal reservation protection by earth filling with vegetative cover and Areca nut seedling plantation.,"466,000.00"
17,501 E,Panwala Ela,7.124612,80.766816,Seepages towards the field side.,"A Side wall needs to be constructed. (L- 150m, W- 0.15m, H-0.45m)","315,000.00"
18,501 E,Panwaththa Ela,7.125882,80.766566,"The canal's capacity is insufficient for distributing water and, seepages occurring towards the field side.","The canal need to be concrete lined with side walls. (L- 300m, W- 0.3m, H- 0.45m, T-6"") the H measured at inside of the canal","423,000.00"
19,502 A,Orukandawela anicut 1,7.155494,80.757988,"Seepage from the anicut.
Erosion of the side wall of the anicut.","Construction of curtain wall for the anicut.
construction of concrete wall (L- 1.8m, H- 1.8m)","68,000.00"
20,502 A,Orukandawela Ela,7.155641,80.757964,Bank erosion towards the field side. (L- 45m),"Plastering to prevent leakages in the lining.
Allocate the reservation and earth fill of a strip of 1.5m to 2m wide. And establish vegetative cover ","107,000.00"
21,502 A,Orukandawela anicut 2,7.155238,80.7576,Seepage from the side wall of the anicut., Plastering to prevent leakage and construction of a concrete wall,"17,000.00"
22,499 B,Udathenna Pathana,7.122112,80.745296,A part of the canal is not  concrete lined. (L- 1500m),Concrete lining of canal for 25m. Canal reservation protection by earth filling and vegetative cover with Arica nut planting.,"303,000.00"
23,499 B,Pussala ela,7.122012,80.749878,Bank erosion towards the field side. (L- 30m),Concrete lining of canal for 30m. Canal reservation protection by earth filling and planting Areca nut trees.,"505,000.00"
24,499 B,Bambaragala Uda Ela,7.128399,80.747597,The canal is subsiding towards field side.,Need to provide a technical solution to prevent subsiding.,"35,000.00"
25,499 B,Uguressa Gaha Thenna Ela,7.128742,80.748122,The canal is subsiding towards field side.,RCC retaining wall 20m in length and canal reservation protection by concrete lining with tree plnting,"62,000.00"
26,499 B,Pihili Arawa Ela,7.127148,80.746565,"The upper lands are sliding toward the canal, and there are seepages from the canal toward the field side.",RCC retaining wall 15m in length and canal reservation protection by earth filling with tree plnting,"506,000.00"
27,500 D,Kolongasthenna Ela,7.155519,80.74477,"Seepages from the canal towards the field side (L- 1500m) and, cannot distribute water properly.",Concrete lining of canal in essential chainages and earth filling the reservation and establishing vegetative cover with Arica nut trees.,"810,000.00"
28,500 D,Kithuple irrigation canal,7.157183,80.742705,Bank erosion on both sides of the canal. (L- 800m),Reservations need to be allocated and Bamboo plants need to be planted as lines.,"60,000.00"
29,498 F,Galwala Hena Ela,7.14669,80.767563,The capacity of the canal is insufficient and overflow.,"The canal need to be concrete lined with U section. (L- 300m, W- 0.15m, H- 0.45m, T- 4"")","423,000.00"
30,501 C,Ginisarawa anicut,_,_,Seepages from the dam of the anicut.,"A supporting wall needs to be constructed for the anicut. (L- 9m, W- 0.15m, H- 1.2m)","327,000.00"
31,501 C,Panis Arawa 2 Ela,7.12375,80.750579,Seepages from the canal and bank erosion.,"The canal need to be concrete lined with side walls. (L- 20m, W- 10"", H- 0.3m, T-4"")","132,000.00"
32,501 C,Madumana 2 Ela,7.120513,80.754905,Side walls are dilapidating of the canal.,"A Side wall needs to be constructed. (L- 5m, W- 0.45m, H-0.9m)","47,000.00"
33,501 C,Madumana 2 Ela,7.116534,80.756799,The side wall of the canal on the field side is dilapidated.,"Water need to be distributed through a pipe. (L- 30m, D- 8"")","48,000.00"
34,501 C,Madumana 2 Ela anicut,7.116463,80.756937,Seepages from the dam of the anicut.,"A wall needs to be constructed. (L- 6m, W- 0.45m, H-0.6m)","26,000.00"
35,501 C,Madumana Amuna Ela,7.116639,80.757053,Seepages towards the field side.,"A Side wall needs to be constructed. (L- 15m, W- 4"", H-0.45m)","49,000.00"
36,498 C,Palle Hiran Ella,7.135797,80.75533,Seepages from the canal towards the field side. (L- 4125m),"The canal need to be concrete lined with U section. (L- 4125m, W- 0.6m, H- 0.3m, T- 6"") ","683,000.00"
37,498 C,Uda Hiran Ella,7.137824,80.755427,Seepages from the canal towards the field side. (L- 3750m),"The canal need to be concrete lined with U section. (L- 3750m, W- 0.45m, H- 0.3m, T- 6"")","469,000.00"
38,498 C,Dorakada Ela,7.13758,80.76199,Seepages from the canal towards the field side. (L- 800m),"The canal need to be concrete lined with U section. (L- 800m, W- 0.3m, H- 0.3m, T- 4"")","2,114,000.00"
39,498 C,Katuel Arawa,7.1384,80.760212,Seepages from the canal towards the field side. (L- 500m),"The canal need to be concrete lined with U section. (L- 500m, W- 0.45m, H- 0.3m, T- 6"")","1,348,000.00"
40,498 C,Amupola Ela,7.13443,80.762585,The canal is not in proper operational condition. Water should be distributed through a pipe.,"The canal needs to be constructed with drainage crossings and concrete lining. (L- 9m, W- 0.3m, H- 0.3m, T- 6"", D.crossing L- 3m)","139,000.00"
41,498 A,Naran Kadura Ela,7.143288,80.766676,The nearby houses are damaged by the water flow from the canal.,"The canal need to be concrete lined with U section. (L- 400m, W- 0.3m, H- 0.3m, T- 6"")","145,000.00"
42,498 A,Naran Kadura Ela,7.142266,80.767754,The side wall of the canal is dilapidated on the field side.,"A wall needs to be constructed on the field side using earth filling. (L- 10.5m, W- 0.6m, H- 1.8m)","72,000.00"
43,498 A,Ukgalpoththa Ela,7.141628,80.767173,Seepages from the canal towards the field side.,"Water need to be distributed using a pipe. (L- 4.5m)
The canal need to be concrete lined with U section. (L- 200m, W- 0.3m, H- 0.3m, T- 4"")","158,000.00"
44,498 A,Dehiaththamulla Ela,7.144928,80.763773,The canal is prone to subsidence and is in a high-risk situation.,Need to provide a technical solution to prevent subsiding.,"35,000.00"
