No.,GN Division No.,GN Division,Non-point sources of pollution,N or X,E or Y,Point sources of pollution,N or X,E or Y,Recommended water quality improvement measures,Unit Cost (Rs.),Total Cost (Rs.),"Contributions (Local Community, LA, Project)",Time frame for the implementation
1,498B,Agappala,No special issues reported,,,,,,,,,,
2,501A,Bulugahapitiya,No special issues reported,,,,,,,,,,
3,502B,Diggalpotta,No special issues reported,,,,,,,,,,
4,502,Ekiriya,No special issues reported,,,,,,,,,,
5,501E,Enasal Arawa,No special issues reported,,,,,,,,,,
6,502A,Hapugasdeniya,Addition of non-decomposable but recyclable wastes (E.g.: soap/shampoo containers) Near Orukandawela Well,7.155231,80.757645,,,,"Providing trash bins to collect categorized wastes.
Awareness program on how to dispose these waste containers properly and potential methods for recycling the containers",,"   50, 000.00 ",Local/Central governments ,0.5 Years
7,499B,Karamidula,No special issues reported,,,,,,,,,,
8,501D,Kawatayamana,No special issues reported,,,,,,,,,,
9,500D,Kosgaha Debala,No special issues reported,,,,,,,,,,
10,498F,Labuhena,No special issues reported,,,,,,,,,,
11,501C,Madumana2,No special issues reported,,,,,,,,,,
12,498C,Makempe,No special issues reported,,,,,,,,,,
13,498A,Poramadulla,Improper disposal of household waste into a torrent,7.14346,80.765334,,,,"Preparing a separate place in home gardens for disposing household waste
Awareness program on how to disposal household waste properly and converting them to usable products such as compost
Facilitating garbage collection",,"   50, 000.00 ",Local/Central governments ,0.5 Years
14,498E,Puranagama,No special issues reported,,,,,,,,,,
15,497,Unanthenna,No special issues reported,,,,,,,,,,
16,498,Wegama,No special issues reported,,,,,,,,,,
Grand Total,,,,,,,,,,,"100,000.00",,
